Bandeira,Data da Coleta,Produto,Valor de Venda
AIR BP,11/04/2023,DIESEL,5.98
AIR BP,28/03/2023,DIESEL S10,6.23
AIR BP,11/04/2023,ETANOL,4.76
AIR BP,11/04/2023,GASOLINA ADITIVADA,6.04
AIR BP,28/03/2023,ETANOL,4.76
AIR BP,04/04/2023,GASOLINA ADITIVADA,6.14
AIR BP,04/04/2023,ETANOL,4.76
AIR BP,04/04/2023,DIESEL S10,6.19
AIR BP,04/04/2023,DIESEL,5.98
AIR BP,11/04/2023,DIESEL S10,6.16
AIR BP,28/03/2023,DIESEL,5.98
AIR BP,11/04/2023,GASOLINA,5.98
AIR BP,04/04/2023,GASOLINA,6.08
AIR BP,28/03/2023,GASOLINA,5.78
AIR BP,28/03/2023,GASOLINA ADITIVADA,5.84
AIR BP,03/05/2023,DIESEL S10,5.79
AIR BP,18/04/2023,DIESEL S10,6.14
AIR BP,03/05/2023,GASOLINA,5.74
AIR BP,18/04/2023,GASOLINA ADITIVADA,6.03
AIR BP,25/04/2023,GASOLINA ADITIVADA,5.83
AIR BP,18/04/2023,ETANOL,4.73
AIR BP,03/05/2023,GASOLINA ADITIVADA,5.8
AIR BP,25/04/2023,ETANOL,4.67
AIR BP,18/04/2023,GASOLINA,5.97
AIR BP,25/04/2023,DIESEL,5.98
AIR BP,03/05/2023,DIESEL,5.69
AIR BP,18/04/2023,DIESEL,5.98
AIR BP,03/05/2023,ETANOL,4.78
AIR BP,25/04/2023,GASOLINA,5.77
AIR BP,25/04/2023,DIESEL S10,6.09
AIR BP,23/05/2023,DIESEL S10,5.25
AIR BP,10/05/2023,GASOLINA ADITIVADA,5.69
AIR BP,10/05/2023,DIESEL,5.25
AIR BP,17/05/2023,DIESEL S10,5.34
AIR BP,10/05/2023,ETANOL,4.78
AIR BP,23/05/2023,GASOLINA,5.53
AIR BP,17/05/2023,GASOLINA,5.63
AIR BP,23/05/2023,ETANOL,4.78
AIR BP,23/05/2023,DIESEL,5.15
AIR BP,23/05/2023,GASOLINA ADITIVADA,5.56
AIR BP,10/05/2023,DIESEL S10,5.34
AIR BP,10/05/2023,GASOLINA,5.63
AIR BP,17/05/2023,DIESEL,5.25
AIR BP,17/05/2023,GASOLINA ADITIVADA,5.69
AIR BP,17/05/2023,ETANOL,4.78
AIR BP,30/05/2023,DIESEL S10,5.25
AIR BP,30/05/2023,ETANOL,4.65
AIR BP,30/05/2023,GASOLINA ADITIVADA,5.56
AIR BP,30/05/2023,GASOLINA,5.53
AIR BP,30/05/2023,DIESEL,5.15
