Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
NE,BA,PAULO AFONSO,JOSE CARLOS DOS SANTOS DE PAULO AFONSO,13.911.722/0001-40,AVENIDA LANDULFO ALVES,S/N,SALA,VILA DE FATIMA,48600-000,ETANOL,18/04/2023,4.73,,R$ / litro,AIR BP,2023-11-21
NE,BA,PAULO AFONSO,JOSE CARLOS DOS SANTOS DE PAULO AFONSO,13.911.722/0001-40,AVENIDA LANDULFO ALVES,S/N,SALA,VILA DE FATIMA,48600-000,DIESEL S10,18/04/2023,6.14,,R$ / litro,AIR BP,2023-11-21
NE,BA,PAULO AFONSO,JOSE CARLOS DOS SANTOS DE PAULO AFONSO,13.911.722/0001-40,AVENIDA LANDULFO ALVES,S/N,SALA,VILA DE FATIMA,48600-000,DIESEL,18/04/2023,5.98,,R$ / litro,AIR BP,2023-11-21
NE,BA,PAULO AFONSO,JOSE CARLOS DOS SANTOS DE PAULO AFONSO,13.911.722/0001-40,AVENIDA LANDULFO ALVES,S/N,SALA,VILA DE FATIMA,48600-000,GASOLINA ADITIVADA,18/04/2023,6.03,,R$ / litro,AIR BP,2023-11-21
NE,BA,PAULO AFONSO,JOSE CARLOS DOS SANTOS DE PAULO AFONSO,13.911.722/0001-40,AVENIDA LANDULFO ALVES,S/N,SALA,VILA DE FATIMA,48600-000,GASOLINA,18/04/2023,5.97,,R$ / litro,AIR BP,2023-11-21
NE,BA,PAULO AFONSO,JOSE CARLOS DOS SANTOS DE PAULO AFONSO,13.911.722/0001-40,AVENIDA LANDULFO ALVES,S/N,SALA,VILA DE FATIMA,48600-000,ETANOL,25/04/2023,4.67,,R$ / litro,AIR BP,2023-11-21
NE,BA,PAULO AFONSO,JOSE CARLOS DOS SANTOS DE PAULO AFONSO,13.911.722/0001-40,AVENIDA LANDULFO ALVES,S/N,SALA,VILA DE FATIMA,48600-000,DIESEL S10,25/04/2023,6.09,,R$ / litro,AIR BP,2023-11-21
NE,BA,PAULO AFONSO,JOSE CARLOS DOS SANTOS DE PAULO AFONSO,13.911.722/0001-40,AVENIDA LANDULFO ALVES,S/N,SALA,VILA DE FATIMA,48600-000,DIESEL,25/04/2023,5.98,,R$ / litro,AIR BP,2023-11-21
NE,BA,PAULO AFONSO,JOSE CARLOS DOS SANTOS DE PAULO AFONSO,13.911.722/0001-40,AVENIDA LANDULFO ALVES,S/N,SALA,VILA DE FATIMA,48600-000,GASOLINA ADITIVADA,25/04/2023,5.83,,R$ / litro,AIR BP,2023-11-21
NE,BA,PAULO AFONSO,JOSE CARLOS DOS SANTOS DE PAULO AFONSO,13.911.722/0001-40,AVENIDA LANDULFO ALVES,S/N,SALA,VILA DE FATIMA,48600-000,GASOLINA,25/04/2023,5.77,,R$ / litro,AIR BP,2023-11-21
NE,BA,PAULO AFONSO,JOSE CARLOS DOS SANTOS DE PAULO AFONSO,13.911.722/0001-40,AVENIDA LANDULFO ALVES,S/N,SALA,VILA DE FATIMA,48600-000,ETANOL,03/05/2023,4.78,,R$ / litro,AIR BP,2023-11-21
NE,BA,PAULO AFONSO,JOSE CARLOS DOS SANTOS DE PAULO AFONSO,13.911.722/0001-40,AVENIDA LANDULFO ALVES,S/N,SALA,VILA DE FATIMA,48600-000,DIESEL S10,03/05/2023,5.79,,R$ / litro,AIR BP,2023-11-21
NE,BA,PAULO AFONSO,JOSE CARLOS DOS SANTOS DE PAULO AFONSO,13.911.722/0001-40,AVENIDA LANDULFO ALVES,S/N,SALA,VILA DE FATIMA,48600-000,DIESEL,03/05/2023,5.69,,R$ / litro,AIR BP,2023-11-21
NE,BA,PAULO AFONSO,JOSE CARLOS DOS SANTOS DE PAULO AFONSO,13.911.722/0001-40,AVENIDA LANDULFO ALVES,S/N,SALA,VILA DE FATIMA,48600-000,GASOLINA ADITIVADA,03/05/2023,5.8,,R$ / litro,AIR BP,2023-11-21
NE,BA,PAULO AFONSO,JOSE CARLOS DOS SANTOS DE PAULO AFONSO,13.911.722/0001-40,AVENIDA LANDULFO ALVES,S/N,SALA,VILA DE FATIMA,48600-000,GASOLINA,03/05/2023,5.74,,R$ / litro,AIR BP,2023-11-21
