Bandeira,Data da Coleta,Produto,Valor de Venda
ALESAT,02/01/2023,DIESEL S10,244.75
ALESAT,16/01/2023,DIESEL,141.16
ALESAT,17/01/2023,DIESEL,140.21
ALESAT,17/01/2023,ETANOL,193.52
ALESAT,11/01/2023,DIESEL,108.29
ALESAT,10/01/2023,ETANOL,132.27
ALESAT,25/01/2023,DIESEL,119.78
ALESAT,03/01/2023,DIESEL S10,247.49
ALESAT,17/01/2023,GNV,25.26
ALESAT,16/01/2023,GASOLINA,236.15
ALESAT,12/01/2023,GASOLINA ADITIVADA,52.67
ALESAT,05/01/2023,DIESEL S10,181.68
ALESAT,24/01/2023,DIESEL,124.61
ALESAT,09/01/2023,GNV,14.72
ALESAT,18/01/2023,GNV,13.88
ALESAT,09/01/2023,DIESEL,165.83
ALESAT,25/01/2023,GNV,5.49
ALESAT,23/01/2023,GASOLINA,255.15
ALESAT,26/01/2023,DIESEL S10,123.99
ALESAT,25/01/2023,GASOLINA,214.55
ALESAT,23/01/2023,GNV,18.29
ALESAT,10/01/2023,DIESEL,65.33
ALESAT,17/01/2023,DIESEL S10,301.3
ALESAT,11/01/2023,GASOLINA,184.09
ALESAT,03/01/2023,GASOLINA,218.18
ALESAT,02/01/2023,ETANOL,157.8
ALESAT,12/01/2023,DIESEL,75.12
ALESAT,16/01/2023,DIESEL S10,246.12
ALESAT,26/01/2023,ETANOL,83.98
ALESAT,19/01/2023,GASOLINA,127.84
ALESAT,24/01/2023,GNV,14.81
ALESAT,04/01/2023,GASOLINA,79.92
ALESAT,09/01/2023,GASOLINA ADITIVADA,168.16
ALESAT,18/01/2023,ETANOL,118.74
ALESAT,18/01/2023,GASOLINA ADITIVADA,83.26
ALESAT,20/01/2023,GASOLINA,14.85
ALESAT,20/01/2023,GASOLINA ADITIVADA,10.16
ALESAT,20/01/2023,ETANOL,7.91
ALESAT,03/01/2023,GNV,30.19
ALESAT,02/01/2023,GASOLINA ADITIVADA,136.89
ALESAT,12/01/2023,GASOLINA,105.63
