Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
SE,SP,BRAGANCA PAULISTA,VISTA PRINCIPAL AUTO POSTO LTDA.,07.466.764/0001-16,AVENIDA - DR JOSE DE AGUIAR LEME,52,,JD DO LAGO,12914-495,ETANOL,20/02/2023,3.57,,R$ / litro,ALESAT,2023-11-21
SE,SP,BRAGANCA PAULISTA,VISTA PRINCIPAL AUTO POSTO LTDA.,07.466.764/0001-16,AVENIDA - DR JOSE DE AGUIAR LEME,52,,JD DO LAGO,12914-495,GASOLINA ADITIVADA,20/02/2023,4.75,,R$ / litro,ALESAT,2023-11-21
SE,SP,BRAGANCA PAULISTA,VISTA PRINCIPAL AUTO POSTO LTDA.,07.466.764/0001-16,AVENIDA - DR JOSE DE AGUIAR LEME,52,,JD DO LAGO,12914-495,GASOLINA,20/02/2023,4.59,,R$ / litro,ALESAT,2023-11-21
SE,SP,SALTO,POSTO DE SERVICOS LOSPER LTDA .,09.406.683/0001-56,RODOVIA SALTO ITU,300,LOTE  GLEBA 1 - A .,PORTO GOES,13324-100,ETANOL,22/02/2023,3.54,,R$ / litro,ALESAT,2023-11-21
SE,SP,SALTO,POSTO DE SERVICOS LOSPER LTDA .,09.406.683/0001-56,RODOVIA SALTO ITU,300,LOTE  GLEBA 1 - A .,PORTO GOES,13324-100,DIESEL S10,22/02/2023,6.59,,R$ / litro,ALESAT,2023-11-21
SE,SP,SALTO,POSTO DE SERVICOS LOSPER LTDA .,09.406.683/0001-56,RODOVIA SALTO ITU,300,LOTE  GLEBA 1 - A .,PORTO GOES,13324-100,DIESEL,22/02/2023,6.49,,R$ / litro,ALESAT,2023-11-21
SE,SP,SALTO,POSTO DE SERVICOS LOSPER LTDA .,09.406.683/0001-56,RODOVIA SALTO ITU,300,LOTE  GLEBA 1 - A .,PORTO GOES,13324-100,GASOLINA,22/02/2023,4.77,,R$ / litro,ALESAT,2023-11-21
SE,SP,GUARUJA,POSTO DE SERVICOS PEROLA DO ATLANTICO LTDA.,09.345.937/0001-73,RUA OLIMPIA SAMPAIO,15,,ENSEADA,11443-150,ETANOL,20/02/2023,3.99,,R$ / litro,ALESAT,2023-11-21
SE,SP,GUARUJA,POSTO DE SERVICOS PEROLA DO ATLANTICO LTDA.,09.345.937/0001-73,RUA OLIMPIA SAMPAIO,15,,ENSEADA,11443-150,DIESEL S10,20/02/2023,6.59,,R$ / litro,ALESAT,2023-11-21
SE,SP,GUARUJA,POSTO DE SERVICOS PEROLA DO ATLANTICO LTDA.,09.345.937/0001-73,RUA OLIMPIA SAMPAIO,15,,ENSEADA,11443-150,GASOLINA ADITIVADA,20/02/2023,5.19,,R$ / litro,ALESAT,2023-11-21
SE,SP,GUARUJA,POSTO DE SERVICOS PEROLA DO ATLANTICO LTDA.,09.345.937/0001-73,RUA OLIMPIA SAMPAIO,15,,ENSEADA,11443-150,GASOLINA,20/02/2023,4.99,,R$ / litro,ALESAT,2023-11-21
N,PA,CAMETA,J. E. G. BATISTA,08.003.016/0001-60,RUA CORONEL RAIMUNDO LEAO,1253,ESQ. C/ TRAV. SANTA CRUZ,BRASILIA,68400-000,DIESEL S10,20/02/2023,7,,R$ / litro,ALESAT,2023-11-21
