Bandeira,Data da Coleta,Produto,Valor de Venda
AMERICANOIL,24/01/2023,GASOLINA,5.15
AMERICANOIL,24/01/2023,GNV,5.34
AMERICANOIL,17/01/2023,GNV,5.74
AMERICANOIL,02/01/2023,GASOLINA,5.15
AMERICANOIL,17/01/2023,GASOLINA,5.15
AMERICANOIL,02/01/2023,GNV,5.74
AMERICANOIL,01/02/2023,GNV,5.34
AMERICANOIL,13/02/2023,GNV,5.34
AMERICANOIL,07/02/2023,GASOLINA,5.29
AMERICANOIL,01/02/2023,GASOLINA,5.29
AMERICANOIL,13/02/2023,GASOLINA,5.29
AMERICANOIL,07/02/2023,GNV,5.34
AMERICANOIL,27/02/2023,GASOLINA,5.29
AMERICANOIL,13/03/2023,GASOLINA,5.69
AMERICANOIL,13/03/2023,GNV,5.34
AMERICANOIL,13/03/2023,DIESEL S10,5.99
AMERICANOIL,13/03/2023,DIESEL,5.89
AMERICANOIL,27/02/2023,GNV,5.34
AMERICANOIL,21/03/2023,GASOLINA,5.69
AMERICANOIL,21/03/2023,GNV,5.34
AMERICANOIL,29/03/2023,GNV,5.34
AMERICANOIL,29/03/2023,GASOLINA,5.69
AMERICANOIL,18/04/2023,GNV,5.34
AMERICANOIL,12/04/2023,GNV,5.34
AMERICANOIL,18/04/2023,GASOLINA,5.59
AMERICANOIL,02/05/2023,GASOLINA,5.59
AMERICANOIL,12/04/2023,GASOLINA,5.69
AMERICANOIL,02/05/2023,GNV,5.34
AMERICANOIL,12/04/2023,ETANOL,4.59
AMERICANOIL,12/04/2023,GASOLINA ADITIVADA,5.79
AMERICANOIL,12/04/2023,DIESEL,5.49
AMERICANOIL,12/04/2023,DIESEL S10,5.59
AMERICANOIL,18/05/2023,GASOLINA,5.79
AMERICANOIL,18/05/2023,GNV,5.34
AMERICANOIL,30/05/2023,DIESEL S10,5.39
AMERICANOIL,30/05/2023,GASOLINA ADITIVADA,5.49
AMERICANOIL,30/05/2023,GNV,5.34
AMERICANOIL,30/05/2023,DIESEL,5.29
AMERICANOIL,30/05/2023,ETANOL,4.59
AMERICANOIL,13/06/2023,GNV,5.34
AMERICANOIL,30/05/2023,GASOLINA,5.39
AMERICANOIL,13/06/2023,GASOLINA,5.39
AMERICANOIL,19/06/2023,DIESEL S10,4.99
AMERICANOIL,19/06/2023,DIESEL,4.89
AMERICANOIL,27/06/2023,DIESEL,4.79
AMERICANOIL,27/06/2023,GASOLINA,5.39
AMERICANOIL,19/06/2023,GNV,5.34
AMERICANOIL,19/06/2023,GASOLINA,5.39
AMERICANOIL,27/06/2023,DIESEL S10,4.99
AMERICANOIL,27/06/2023,GNV,5.34
