Bandeira,Data da Coleta,Produto,Valor de Venda
ATEM' S,10/01/2023,ETANOL,23.84
ATEM' S,03/01/2023,ETANOL,28.24
ATEM' S,25/01/2023,GASOLINA ADITIVADA,6.0
ATEM' S,25/01/2023,DIESEL S10,7.5
ATEM' S,10/01/2023,DIESEL S10,47.43
ATEM' S,04/01/2023,GASOLINA ADITIVADA,6.0
ATEM' S,16/01/2023,ETANOL,27.12
ATEM' S,02/01/2023,GASOLINA,34.91
ATEM' S,03/01/2023,GNV,4.19
ATEM' S,19/01/2023,DIESEL S10,7.24
ATEM' S,23/01/2023,ETANOL,30.87
ATEM' S,24/01/2023,GASOLINA,20.17
ATEM' S,17/01/2023,DIESEL S10,39.74
ATEM' S,10/01/2023,GNV,4.19
ATEM' S,10/01/2023,DIESEL,40.22
ATEM' S,04/01/2023,DIESEL S10,7.24
ATEM' S,19/01/2023,GASOLINA,5.2
ATEM' S,24/01/2023,DIESEL,26.76
ATEM' S,09/01/2023,DIESEL S10,34.15
ATEM' S,24/01/2023,GNV,4.19
ATEM' S,09/01/2023,ETANOL,27.72
ATEM' S,17/01/2023,ETANOL,19.35
ATEM' S,23/01/2023,DIESEL S10,39.44
ATEM' S,17/01/2023,DIESEL,32.65
ATEM' S,02/01/2023,DIESEL S10,34.95
ATEM' S,10/01/2023,GASOLINA ADITIVADA,41.03
ATEM' S,16/01/2023,DIESEL,26.36
ATEM' S,09/01/2023,GASOLINA ADITIVADA,29.92
ATEM' S,23/01/2023,GASOLINA,39.9
ATEM' S,24/01/2023,GASOLINA ADITIVADA,14.97
ATEM' S,17/01/2023,GASOLINA,35.63
ATEM' S,16/01/2023,GASOLINA,34.91
ATEM' S,03/01/2023,GASOLINA ADITIVADA,34.93
ATEM' S,09/01/2023,GASOLINA,34.91
ATEM' S,03/01/2023,GASOLINA,34.93
ATEM' S,16/01/2023,DIESEL S10,33.25
ATEM' S,25/01/2023,GASOLINA,5.99
ATEM' S,04/01/2023,DIESEL,7.19
ATEM' S,02/01/2023,DIESEL,27.26
ATEM' S,03/01/2023,DIESEL,47.73
ATEM' S,02/01/2023,GASOLINA ADITIVADA,30.32
ATEM' S,04/01/2023,GASOLINA,11.35
ATEM' S,17/01/2023,GNV,4.19
ATEM' S,23/01/2023,DIESEL,32.65
ATEM' S,02/01/2023,ETANOL,27.92
ATEM' S,10/01/2023,GASOLINA,40.92
ATEM' S,24/01/2023,ETANOL,11.97
ATEM' S,09/01/2023,DIESEL,26.96
ATEM' S,24/01/2023,DIESEL S10,26.81
ATEM' S,23/01/2023,GASOLINA ADITIVADA,34.91
ATEM' S,17/01/2023,GASOLINA ADITIVADA,35.74
ATEM' S,16/01/2023,GASOLINA ADITIVADA,24.95
ATEM' S,19/01/2023,DIESEL,7.19
ATEM' S,03/01/2023,DIESEL S10,41.54
ATEM' S,31/01/2023,ETANOL,31.51
ATEM' S,06/02/2023,DIESEL S10,39.74
ATEM' S,08/02/2023,DIESEL,13.58
ATEM' S,01/02/2023,ETANOL,3.88
ATEM' S,14/02/2023,GASOLINA,26.35
ATEM' S,13/02/2023,ETANOL,23.59
ATEM' S,20/02/2023,GASOLINA,44.46
ATEM' S,14/02/2023,ETANOL,16.05
ATEM' S,13/02/2023,DIESEL,18.57
ATEM' S,23/02/2023,GASOLINA ADITIVADA,10.89
ATEM' S,21/02/2023,GASOLINA,49.03
ATEM' S,15/02/2023,DIESEL S10,40.26
ATEM' S,08/02/2023,DIESEL S10,7.24
ATEM' S,14/02/2023,GASOLINA ADITIVADA,20.94
ATEM' S,31/01/2023,GNV,4.19
ATEM' S,31/01/2023,GASOLINA ADITIVADA,33.35
ATEM' S,13/02/2023,DIESEL S10,24.26
ATEM' S,14/02/2023,DIESEL S10,24.62
ATEM' S,30/01/2023,GASOLINA,33.54
ATEM' S,20/02/2023,DIESEL S10,36.62
ATEM' S,21/02/2023,DIESEL,50.16
ATEM' S,31/01/2023,DIESEL,46.39
ATEM' S,21/02/2023,GASOLINA ADITIVADA,33.54
ATEM' S,21/02/2023,DIESEL S10,50.48
ATEM' S,13/02/2023,GASOLINA,33.53
ATEM' S,06/02/2023,GASOLINA ADITIVADA,33.54
ATEM' S,31/01/2023,DIESEL S10,47.64
ATEM' S,07/02/2023,GNV,4.19
ATEM' S,23/02/2023,GASOLINA,10.78
ATEM' S,07/02/2023,DIESEL S10,25.95
ATEM' S,13/02/2023,GASOLINA ADITIVADA,27.94
ATEM' S,15/02/2023,GASOLINA,38.0
ATEM' S,30/01/2023,ETANOL,26.98
ATEM' S,06/02/2023,GASOLINA,49.5
ATEM' S,20/02/2023,ETANOL,27.38
ATEM' S,30/01/2023,DIESEL,26.06
ATEM' S,08/02/2023,GASOLINA,10.29
ATEM' S,06/02/2023,DIESEL,32.81
ATEM' S,21/02/2023,ETANOL,35.27
ATEM' S,20/02/2023,DIESEL,31.09
ATEM' S,01/02/2023,GASOLINA,4.89
ATEM' S,15/02/2023,ETANOL,15.72
ATEM' S,07/02/2023,GASOLINA,21.46
ATEM' S,08/02/2023,GASOLINA ADITIVADA,4.97
ATEM' S,23/02/2023,DIESEL S10,13.45
ATEM' S,06/02/2023,ETANOL,35.29
ATEM' S,30/01/2023,GASOLINA ADITIVADA,32.94
ATEM' S,07/02/2023,DIESEL,19.77
ATEM' S,15/02/2023,GASOLINA ADITIVADA,17.18
ATEM' S,01/02/2023,DIESEL,6.39
ATEM' S,07/02/2023,ETANOL,11.77
ATEM' S,30/01/2023,DIESEL S10,33.35
ATEM' S,14/02/2023,DIESEL,24.96
ATEM' S,31/01/2023,GASOLINA,48.79
ATEM' S,20/02/2023,GASOLINA ADITIVADA,27.95
ATEM' S,07/02/2023,GASOLINA ADITIVADA,21.56
ATEM' S,01/02/2023,GASOLINA ADITIVADA,4.97
ATEM' S,08/02/2023,ETANOL,3.88
ATEM' S,15/02/2023,DIESEL,39.0
ATEM' S,15/03/2023,ETANOL,9.08
ATEM' S,27/02/2023,ETANOL,23.49
ATEM' S,06/03/2023,ETANOL,36.62
ATEM' S,28/02/2023,GASOLINA,51.21
ATEM' S,28/02/2023,ETANOL,37.07
ATEM' S,14/03/2023,GASOLINA,62.6
ATEM' S,15/03/2023,GASOLINA,26.05
ATEM' S,13/03/2023,ETANOL,18.26
ATEM' S,28/02/2023,GASOLINA ADITIVADA,34.94
ATEM' S,07/03/2023,GNV,4.19
ATEM' S,01/03/2023,DIESEL S10,14.37
ATEM' S,07/03/2023,DIESEL,26.06
ATEM' S,01/03/2023,ETANOL,3.88
ATEM' S,07/03/2023,DIESEL S10,32.41
ATEM' S,13/03/2023,DIESEL S10,19.77
ATEM' S,14/03/2023,DIESEL S10,51.48
ATEM' S,15/03/2023,DIESEL,13.42
ATEM' S,07/03/2023,GASOLINA ADITIVADA,31.15
ATEM' S,01/03/2023,DIESEL,12.87
ATEM' S,06/03/2023,DIESEL,31.85
ATEM' S,08/03/2023,GASOLINA,25.0
ATEM' S,06/03/2023,DIESEL S10,39.34
ATEM' S,27/02/2023,DIESEL S10,23.56
ATEM' S,08/03/2023,DIESEL,13.28
ATEM' S,13/03/2023,DIESEL,25.86
ATEM' S,27/02/2023,DIESEL,17.67
ATEM' S,08/03/2023,GASOLINA ADITIVADA,7.09
ATEM' S,14/03/2023,GNV,4.19
ATEM' S,14/03/2023,DIESEL,51.64
ATEM' S,07/03/2023,GASOLINA,31.05
ATEM' S,28/02/2023,DIESEL S10,49.9
ATEM' S,08/03/2023,ETANOL,3.97
ATEM' S,13/03/2023,GASOLINA ADITIVADA,26.36
ATEM' S,27/02/2023,GASOLINA ADITIVADA,27.94
ATEM' S,01/03/2023,GASOLINA,17.06
ATEM' S,06/03/2023,GASOLINA,52.72
ATEM' S,14/03/2023,ETANOL,36.6
ATEM' S,28/02/2023,DIESEL,49.48
ATEM' S,01/03/2023,GASOLINA ADITIVADA,10.97
ATEM' S,21/02/2023,GNV,4.19
ATEM' S,13/03/2023,GASOLINA,26.36
ATEM' S,27/02/2023,GASOLINA,33.53
ATEM' S,08/03/2023,DIESEL S10,20.85
ATEM' S,07/03/2023,ETANOL,18.06
ATEM' S,06/03/2023,GASOLINA ADITIVADA,39.54
ATEM' S,14/03/2023,GASOLINA ADITIVADA,56.81
ATEM' S,28/02/2023,GNV,4.19
ATEM' S,15/03/2023,DIESEL S10,27.35
ATEM' S,15/03/2023,GASOLINA ADITIVADA,13.58
ATEM' S,11/04/2023,DIESEL,37.14
ATEM' S,03/04/2023,GASOLINA ADITIVADA,37.74
ATEM' S,11/04/2023,DIESEL S10,37.14
ATEM' S,04/04/2023,GASOLINA,36.8
ATEM' S,29/03/2023,GASOLINA,10.85
ATEM' S,04/04/2023,DIESEL,30.54
ATEM' S,05/04/2023,GASOLINA ADITIVADA,12.89
ATEM' S,04/04/2023,ETANOL,23.65
ATEM' S,21/03/2023,GASOLINA ADITIVADA,37.64
ATEM' S,05/04/2023,DIESEL,12.88
ATEM' S,03/04/2023,DIESEL,24.26
ATEM' S,10/04/2023,GASOLINA ADITIVADA,39.54
ATEM' S,21/03/2023,DIESEL,37.6
ATEM' S,11/04/2023,ETANOL,28.74
ATEM' S,29/03/2023,GASOLINA ADITIVADA,5.36
ATEM' S,05/04/2023,DIESEL S10,32.97
ATEM' S,11/04/2023,GASOLINA,43.89
ATEM' S,27/03/2023,DIESEL,24.26
ATEM' S,28/03/2023,GASOLINA,55.84
ATEM' S,28/03/2023,ETANOL,32.75
ATEM' S,03/04/2023,GASOLINA,44.03
ATEM' S,04/04/2023,GASOLINA ADITIVADA,36.9
ATEM' S,28/03/2023,GNV,4.19
ATEM' S,29/03/2023,ETANOL,3.85
ATEM' S,21/03/2023,ETANOL,22.41
ATEM' S,29/03/2023,DIESEL,12.8
ATEM' S,05/04/2023,ETANOL,4.35
ATEM' S,04/04/2023,DIESEL S10,30.61
ATEM' S,28/03/2023,GASOLINA ADITIVADA,44.12
ATEM' S,20/03/2023,ETANOL,30.63
ATEM' S,21/03/2023,GNV,4.19
ATEM' S,27/03/2023,ETANOL,30.43
ATEM' S,10/04/2023,ETANOL,34.53
ATEM' S,21/03/2023,GASOLINA,49.29
ATEM' S,28/03/2023,DIESEL S10,50.39
ATEM' S,20/03/2023,DIESEL,25.16
ATEM' S,28/03/2023,DIESEL,50.45
ATEM' S,20/03/2023,GASOLINA,46.13
ATEM' S,05/04/2023,GASOLINA,31.1
ATEM' S,10/04/2023,GASOLINA,52.78
ATEM' S,27/03/2023,GASOLINA ADITIVADA,37.74
ATEM' S,03/04/2023,ETANOL,30.03
ATEM' S,20/03/2023,DIESEL S10,31.15
ATEM' S,27/03/2023,DIESEL S10,30.25
ATEM' S,29/03/2023,DIESEL S10,6.98
ATEM' S,03/04/2023,DIESEL S10,30.25
ATEM' S,27/03/2023,GASOLINA,44.03
ATEM' S,21/03/2023,DIESEL S10,37.66
ATEM' S,11/04/2023,GASOLINA ADITIVADA,43.99
ATEM' S,10/04/2023,DIESEL S10,39.84
ATEM' S,20/03/2023,GASOLINA ADITIVADA,39.54
ATEM' S,17/04/2023,DIESEL S10,31.45
ATEM' S,17/04/2023,GASOLINA ADITIVADA,39.24
ATEM' S,17/04/2023,DIESEL,25.16
ATEM' S,12/04/2023,GASOLINA ADITIVADA,6.99
ATEM' S,26/04/2023,GASOLINA,18.78
ATEM' S,04/05/2023,ETANOL,8.92
ATEM' S,27/04/2023,GASOLINA,18.28
ATEM' S,25/04/2023,DIESEL,24.26
ATEM' S,12/04/2023,DIESEL,6.43
ATEM' S,01/05/2023,DIESEL,23.96
ATEM' S,26/04/2023,ETANOL,4.99
ATEM' S,18/04/2023,GNV,4.19
ATEM' S,24/04/2023,DIESEL S10,30.85
ATEM' S,18/04/2023,DIESEL,24.86
ATEM' S,03/05/2023,DIESEL S10,12.58
ATEM' S,27/04/2023,ETANOL,8.92
ATEM' S,19/04/2023,GASOLINA,19.63
ATEM' S,24/04/2023,GASOLINA ADITIVADA,46.87
ATEM' S,25/04/2023,ETANOL,19.96
ATEM' S,26/04/2023,GASOLINA ADITIVADA,13.08
ATEM' S,17/04/2023,ETANOL,24.65
ATEM' S,26/04/2023,DIESEL,12.48
ATEM' S,24/04/2023,ETANOL,34.83
ATEM' S,01/05/2023,DIESEL S10,29.95
ATEM' S,27/04/2023,GASOLINA ADITIVADA,5.87
ATEM' S,01/05/2023,ETANOL,34.33
ATEM' S,11/04/2023,GNV,4.19
ATEM' S,26/04/2023,DIESEL S10,20.01
ATEM' S,17/04/2023,GASOLINA,45.83
ATEM' S,01/05/2023,GASOLINA ADITIVADA,32.95
ATEM' S,19/04/2023,ETANOL,4.99
ATEM' S,02/05/2023,GASOLINA,38.88
ATEM' S,03/05/2023,DIESEL,12.48
ATEM' S,02/05/2023,GASOLINA ADITIVADA,38.98
ATEM' S,02/05/2023,DIESEL,31.31
ATEM' S,25/04/2023,GASOLINA,31.55
ATEM' S,25/04/2023,DIESEL S10,23.96
ATEM' S,24/04/2023,GASOLINA,53.46
ATEM' S,24/04/2023,DIESEL,31.91
ATEM' S,18/04/2023,DIESEL S10,24.86
ATEM' S,19/04/2023,GASOLINA ADITIVADA,13.08
ATEM' S,02/05/2023,ETANOL,19.56
ATEM' S,18/04/2023,ETANOL,14.97
ATEM' S,27/04/2023,DIESEL,6.25
ATEM' S,03/05/2023,GASOLINA,11.89
ATEM' S,12/04/2023,GASOLINA,12.8
ATEM' S,19/04/2023,DIESEL S10,21.67
ATEM' S,19/04/2023,DIESEL,6.19
ATEM' S,25/04/2023,GNV,4.19
ATEM' S,04/05/2023,DIESEL S10,33.97
ATEM' S,12/04/2023,DIESEL S10,13.92
ATEM' S,25/04/2023,GASOLINA ADITIVADA,31.65
ATEM' S,04/05/2023,GASOLINA,31.82
ATEM' S,18/04/2023,GASOLINA ADITIVADA,31.65
ATEM' S,03/05/2023,ETANOL,4.99
ATEM' S,27/04/2023,DIESEL S10,18.85
ATEM' S,18/04/2023,GASOLINA,31.55
ATEM' S,02/05/2023,DIESEL S10,30.95
ATEM' S,10/04/2023,DIESEL,25.46
ATEM' S,03/05/2023,GASOLINA ADITIVADA,6.09
ATEM' S,01/05/2023,GASOLINA,46.11
ATEM' S,15/05/2023,DIESEL S10,25.95
ATEM' S,08/05/2023,GASOLINA,46.11
ATEM' S,04/05/2023,GASOLINA ADITIVADA,12.86
ATEM' S,08/05/2023,DIESEL S10,27.85
ATEM' S,24/05/2023,GASOLINA,18.38
ATEM' S,25/05/2023,GASOLINA,18.88
ATEM' S,18/05/2023,GASOLINA ADITIVADA,19.85
ATEM' S,05/05/2023,DIESEL,5.87
ATEM' S,09/05/2023,DIESEL S10,54.81
ATEM' S,08/05/2023,GASOLINA ADITIVADA,39.52
ATEM' S,18/05/2023,DIESEL S10,25.26
ATEM' S,23/05/2023,ETANOL,18.76
ATEM' S,15/05/2023,GASOLINA ADITIVADA,39.52
ATEM' S,09/05/2023,GASOLINA,68.46
ATEM' S,10/05/2023,DIESEL S10,11.86
ATEM' S,23/05/2023,GNV,4.59
ATEM' S,11/05/2023,GASOLINA ADITIVADA,6.99
ATEM' S,11/05/2023,GASOLINA,12.69
ATEM' S,09/05/2023,DIESEL,44.31
ATEM' S,18/05/2023,GASOLINA,37.4
ATEM' S,22/05/2023,DIESEL S10,30.94
ATEM' S,16/05/2023,GNV,4.19
ATEM' S,18/05/2023,DIESEL,19.14
ATEM' S,17/05/2023,DIESEL S10,7.99
ATEM' S,22/05/2023,GASOLINA,50.31
ATEM' S,09/05/2023,ETANOL,31.79
ATEM' S,24/05/2023,GASOLINA ADITIVADA,6.39
ATEM' S,05/05/2023,GASOLINA ADITIVADA,5.36
ATEM' S,22/05/2023,ETANOL,37.12
ATEM' S,24/05/2023,DIESEL S10,17.47
ATEM' S,09/05/2023,GASOLINA ADITIVADA,49.75
ATEM' S,23/05/2023,GASOLINA,36.74
ATEM' S,05/05/2023,ETANOL,3.85
ATEM' S,16/05/2023,DIESEL,26.31
ATEM' S,22/05/2023,DIESEL,25.15
ATEM' S,15/05/2023,ETANOL,27.54
ATEM' S,15/05/2023,GASOLINA,46.11
ATEM' S,25/05/2023,ETANOL,4.85
ATEM' S,25/05/2023,GASOLINA ADITIVADA,12.74
ATEM' S,05/05/2023,GASOLINA,5.07
ATEM' S,23/05/2023,DIESEL,27.51
ATEM' S,17/05/2023,GASOLINA,6.55
ATEM' S,16/05/2023,GASOLINA ADITIVADA,37.8
ATEM' S,10/05/2023,GASOLINA ADITIVADA,5.87
ATEM' S,09/05/2023,GNV,4.19
ATEM' S,18/05/2023,ETANOL,9.42
ATEM' S,16/05/2023,DIESEL S10,31.94
ATEM' S,08/05/2023,ETANOL,32.73
ATEM' S,16/05/2023,ETANOL,18.76
ATEM' S,15/05/2023,DIESEL,20.16
ATEM' S,10/05/2023,ETANOL,8.92
ATEM' S,25/05/2023,DIESEL,6.25
ATEM' S,22/05/2023,GASOLINA ADITIVADA,44.02
ATEM' S,02/05/2023,GNV,4.19
ATEM' S,23/05/2023,DIESEL S10,25.55
ATEM' S,10/05/2023,GASOLINA,11.69
ATEM' S,08/05/2023,DIESEL,22.46
ATEM' S,24/05/2023,DIESEL,5.44
ATEM' S,23/05/2023,GASOLINA ADITIVADA,30.55
ATEM' S,10/05/2023,DIESEL,6.25
ATEM' S,16/05/2023,GASOLINA,37.7
ATEM' S,04/05/2023,DIESEL,6.25
ATEM' S,25/05/2023,DIESEL S10,6.99
ATEM' S,11/05/2023,DIESEL S10,13.72
ATEM' S,13/06/2023,DIESEL S10,26.4
ATEM' S,15/06/2023,DIESEL,5.2
ATEM' S,14/06/2023,GASOLINA ADITIVADA,5.42
ATEM' S,06/06/2023,DIESEL S10,30.24
ATEM' S,08/06/2023,DIESEL S10,12.19
ATEM' S,29/05/2023,GASOLINA,41.92
ATEM' S,05/06/2023,DIESEL,19.76
ATEM' S,05/06/2023,DIESEL S10,37.73
ATEM' S,15/06/2023,ETANOL,4.75
ATEM' S,21/06/2023,DIESEL S10,18.7
ATEM' S,12/06/2023,DIESEL,31.54
ATEM' S,08/06/2023,DIESEL,6.97
ATEM' S,13/06/2023,GASOLINA ADITIVADA,29.15
ATEM' S,21/06/2023,GASOLINA,19.07
ATEM' S,31/05/2023,DIESEL S10,23.06
ATEM' S,12/06/2023,GASOLINA,66.81
ATEM' S,07/06/2023,GASOLINA,5.79
ATEM' S,13/06/2023,ETANOL,18.16
ATEM' S,30/05/2023,GASOLINA,40.85
ATEM' S,30/05/2023,DIESEL,25.16
ATEM' S,14/06/2023,DIESEL S10,11.78
