Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
N,RO,JI-PARANA,AUTO POSTO T 14 LTDA,06.038.204/0001-06,RUA EDSON LIMA DO NASCIMENTO,2771,,CAFEZINHO,76913-163,DIESEL S10,12/04/2023,6.49,,R$ / litro,ATEM' S,2023-11-21
N,RO,JI-PARANA,AUTO POSTO T 14 LTDA,06.038.204/0001-06,RUA EDSON LIMA DO NASCIMENTO,2771,,CAFEZINHO,76913-163,DIESEL,12/04/2023,6.43,,R$ / litro,ATEM' S,2023-11-21
N,RO,JI-PARANA,AUTO POSTO T 14 LTDA,06.038.204/0001-06,RUA EDSON LIMA DO NASCIMENTO,2771,,CAFEZINHO,76913-163,GASOLINA,12/04/2023,5.91,,R$ / litro,ATEM' S,2023-11-21
N,AM,MANAUS,M. S. COMBUSTIVEIS LTDA.,10.570.884/0001-73,RUA MARIA ANDRADE,1240,,CRESPO,69073-010,ETANOL,10/04/2023,4.89,,R$ / litro,ATEM' S,2023-11-21
N,AM,MANAUS,M. S. COMBUSTIVEIS LTDA.,10.570.884/0001-73,RUA MARIA ANDRADE,1240,,CRESPO,69073-010,DIESEL,10/04/2023,6.29,,R$ / litro,ATEM' S,2023-11-21
N,AM,MANAUS,M. S. COMBUSTIVEIS LTDA.,10.570.884/0001-73,RUA MARIA ANDRADE,1240,,CRESPO,69073-010,GASOLINA ADITIVADA,10/04/2023,6.59,,R$ / litro,ATEM' S,2023-11-21
N,AM,MANAUS,M. S. COMBUSTIVEIS LTDA.,10.570.884/0001-73,RUA MARIA ANDRADE,1240,,CRESPO,69073-010,GASOLINA,10/04/2023,6.59,,R$ / litro,ATEM' S,2023-11-21
N,AM,MANAUS,IGAPÓ COMÉRCIO DE DERIVADOS DE PETRÓLEO LTDA.,10.897.820/0001-81,AVENIDA MARGARITA,1147,CONJUNTO HABITACIONAL NOVA CIDADE.,CIDADE NOVA,69094-770,ETANOL,11/04/2023,4.99,,R$ / litro,ATEM' S,2023-11-21
N,AM,MANAUS,IGAPÓ COMÉRCIO DE DERIVADOS DE PETRÓLEO LTDA.,10.897.820/0001-81,AVENIDA MARGARITA,1147,CONJUNTO HABITACIONAL NOVA CIDADE.,CIDADE NOVA,69094-770,DIESEL S10,11/04/2023,6.39,,R$ / litro,ATEM' S,2023-11-21
N,AM,MANAUS,IGAPÓ COMÉRCIO DE DERIVADOS DE PETRÓLEO LTDA.,10.897.820/0001-81,AVENIDA MARGARITA,1147,CONJUNTO HABITACIONAL NOVA CIDADE.,CIDADE NOVA,69094-770,DIESEL,11/04/2023,6.39,,R$ / litro,ATEM' S,2023-11-21
N,AM,MANAUS,IGAPÓ COMÉRCIO DE DERIVADOS DE PETRÓLEO LTDA.,10.897.820/0001-81,AVENIDA MARGARITA,1147,CONJUNTO HABITACIONAL NOVA CIDADE.,CIDADE NOVA,69094-770,GASOLINA ADITIVADA,11/04/2023,6.59,,R$ / litro,ATEM' S,2023-11-21
N,AM,MANAUS,IGAPÓ COMÉRCIO DE DERIVADOS DE PETRÓLEO LTDA.,10.897.820/0001-81,AVENIDA MARGARITA,1147,CONJUNTO HABITACIONAL NOVA CIDADE.,CIDADE NOVA,69094-770,GASOLINA,11/04/2023,6.59,,R$ / litro,ATEM' S,2023-11-21
N,AM,MANAUS,AMAZON COMBUSTIVEIS PARA VEICULOS E CONSTRUCOES LTDA,10.988.014/0001-19,AVENIDA GRANDE OTELO,1902,CJ. CASTELO BRANCO,PARQUE 10,69055-021,DIESEL,10/04/2023,6.39,,R$ / litro,ATEM' S,2023-11-21
N,AM,MANAUS,AMAZON COMBUSTIVEIS PARA VEICULOS E CONSTRUCOES LTDA,10.988.014/0001-19,AVENIDA GRANDE OTELO,1902,CJ. CASTELO BRANCO,PARQUE 10,69055-021,GASOLINA ADITIVADA,10/04/2023,6.59,,R$ / litro,ATEM' S,2023-11-21
N,AM,MANAUS,AMAZON COMBUSTIVEIS PARA VEICULOS E CONSTRUCOES LTDA,10.988.014/0001-19,AVENIDA GRANDE OTELO,1902,CJ. CASTELO BRANCO,PARQUE 10,69055-021,GASOLINA,10/04/2023,6.59,,R$ / litro,ATEM' S,2023-11-21
N,AM,MANAUS,AMAZON COMBUSTIVEIS PARA VEICULOS E CONSTRUCOES LTDA,10.988.014/0001-19,AVENIDA GRANDE OTELO,1902,CJ. CASTELO BRANCO,PARQUE 10,69055-021,ETANOL,10/04/2023,4.99,,R$ / litro,ATEM' S,2023-11-21
N,AM,MANAUS,AMAZON COMBUSTIVEIS PARA VEICULOS E CONSTRUCOES LTDA,10.988.014/0001-19,AVENIDA GRANDE OTELO,1902,CJ. CASTELO BRANCO,PARQUE 10,69055-021,DIESEL S10,10/04/2023,6.39,,R$ / litro,ATEM' S,2023-11-21
N,AM,MANAUS,A. M. MOURA DOS SANTOS & CIA. LTDA.,11.519.227/0001-64,AVENIDA ARQ JOSE HENRIQUE B. RODRIGUES,15,,COLONIA TERRA NOVA,69030-000,ETANOL,11/04/2023,4.59,,R$ / litro,ATEM' S,2023-11-21
N,AM,MANAUS,A. M. MOURA DOS SANTOS & CIA. LTDA.,11.519.227/0001-64,AVENIDA ARQ JOSE HENRIQUE B. RODRIGUES,15,,COLONIA TERRA NOVA,69030-000,DIESEL,11/04/2023,5.99,,R$ / litro,ATEM' S,2023-11-21
N,AM,MANAUS,A. M. MOURA DOS SANTOS & CIA. LTDA.,11.519.227/0001-64,AVENIDA ARQ JOSE HENRIQUE B. RODRIGUES,15,,COLONIA TERRA NOVA,69030-000,GASOLINA ADITIVADA,11/04/2023,6.29,,R$ / litro,ATEM' S,2023-11-21
N,AM,MANAUS,A. M. MOURA DOS SANTOS & CIA. LTDA.,11.519.227/0001-64,AVENIDA ARQ JOSE HENRIQUE B. RODRIGUES,15,,COLONIA TERRA NOVA,69030-000,GASOLINA,11/04/2023,6.29,,R$ / litro,ATEM' S,2023-11-21
N,AM,MANAUS,PETROAIUB PETRÓLEO LTDA.,07.890.589/0002-70,RUA EMÍLIO MOREIRA,925,,PRAÇA 14 DE JANEIRO,69020-040,ETANOL,10/04/2023,4.89,,R$ / litro,ATEM' S,2023-11-21
N,AM,MANAUS,PETROAIUB PETRÓLEO LTDA.,07.890.589/0002-70,RUA EMÍLIO MOREIRA,925,,PRAÇA 14 DE JANEIRO,69020-040,GASOLINA ADITIVADA,10/04/2023,6.59,,R$ / litro,ATEM' S,2023-11-21
N,AM,MANAUS,PETROAIUB PETRÓLEO LTDA.,07.890.589/0002-70,RUA EMÍLIO MOREIRA,925,,PRAÇA 14 DE JANEIRO,69020-040,GASOLINA,10/04/2023,6.59,,R$ / litro,ATEM' S,2023-11-21
N,AM,MANAUS,BATARA COMERCIO DE PETROLEO LTDA,11.220.341/0001-99,AVENIDA DJALMA BATISTA,2966,,PARQUE 10 DE NOVEMBRO,69050-010,ETANOL,11/04/2023,4.59,,R$ / litro,ATEM' S,2023-11-21
N,AM,MANAUS,BATARA COMERCIO DE PETROLEO LTDA,11.220.341/0001-99,AVENIDA DJALMA BATISTA,2966,,PARQUE 10 DE NOVEMBRO,69050-010,DIESEL S10,11/04/2023,5.99,,R$ / litro,ATEM' S,2023-11-21
N,AM,MANAUS,BATARA COMERCIO DE PETROLEO LTDA,11.220.341/0001-99,AVENIDA DJALMA BATISTA,2966,,PARQUE 10 DE NOVEMBRO,69050-010,DIESEL,11/04/2023,5.99,,R$ / litro,ATEM' S,2023-11-21
N,AM,MANAUS,BATARA COMERCIO DE PETROLEO LTDA,11.220.341/0001-99,AVENIDA DJALMA BATISTA,2966,,PARQUE 10 DE NOVEMBRO,69050-010,GASOLINA ADITIVADA,11/04/2023,6.29,,R$ / litro,ATEM' S,2023-11-21
N,AM,MANAUS,BATARA COMERCIO DE PETROLEO LTDA,11.220.341/0001-99,AVENIDA DJALMA BATISTA,2966,,PARQUE 10 DE NOVEMBRO,69050-010,GASOLINA,11/04/2023,6.29,,R$ / litro,ATEM' S,2023-11-21
N,AM,MANAUS,FE COMERCIO DE COMBUSTIVEIS E DERIVADOS DE PETROLEO LTDA,08.219.844/0003-00,AVENIDA GOVERNADOR JOSE LINDOSO,3588,LOTEAMENTO NASCENTE DAS AGUAS CLARAS,NOVO ALEIXO,69058-830,ETANOL,10/04/2023,4.89,,R$ / litro,ATEM' S,2023-11-21
N,AM,MANAUS,FE COMERCIO DE COMBUSTIVEIS E DERIVADOS DE PETROLEO LTDA,08.219.844/0003-00,AVENIDA GOVERNADOR JOSE LINDOSO,3588,LOTEAMENTO NASCENTE DAS AGUAS CLARAS,NOVO ALEIXO,69058-830,DIESEL S10,10/04/2023,6.39,,R$ / litro,ATEM' S,2023-11-21
N,AM,MANAUS,FE COMERCIO DE COMBUSTIVEIS E DERIVADOS DE PETROLEO LTDA,08.219.844/0003-00,AVENIDA GOVERNADOR JOSE LINDOSO,3588,LOTEAMENTO NASCENTE DAS AGUAS CLARAS,NOVO ALEIXO,69058-830,DIESEL,10/04/2023,6.39,,R$ / litro,ATEM' S,2023-11-21
N,AM,MANAUS,FE COMERCIO DE COMBUSTIVEIS E DERIVADOS DE PETROLEO LTDA,08.219.844/0003-00,AVENIDA GOVERNADOR JOSE LINDOSO,3588,LOTEAMENTO NASCENTE DAS AGUAS CLARAS,NOVO ALEIXO,69058-830,GASOLINA ADITIVADA,10/04/2023,6.59,,R$ / litro,ATEM' S,2023-11-21
N,AM,MANAUS,FE COMERCIO DE COMBUSTIVEIS E DERIVADOS DE PETROLEO LTDA,08.219.844/0003-00,AVENIDA GOVERNADOR JOSE LINDOSO,3588,LOTEAMENTO NASCENTE DAS AGUAS CLARAS,NOVO ALEIXO,69058-830,GASOLINA,10/04/2023,6.59,,R$ / litro,ATEM' S,2023-11-21
N,AM,MANAUS,AMAZON COMBUSTIVEIS PARA VEICULOS E CONSTRUCOES LTDA,10.988.014/0013-52,AVENIDA   TORQUATO TAPAJOS,7841,,TARUMA,69041-025,ETANOL,11/04/2023,4.99,,R$ / litro,ATEM' S,2023-11-21
N,AM,MANAUS,AMAZON COMBUSTIVEIS PARA VEICULOS E CONSTRUCOES LTDA,10.988.014/0013-52,AVENIDA   TORQUATO TAPAJOS,7841,,TARUMA,69041-025,DIESEL S10,11/04/2023,6.39,,R$ / litro,ATEM' S,2023-11-21
N,AM,MANAUS,AMAZON COMBUSTIVEIS PARA VEICULOS E CONSTRUCOES LTDA,10.988.014/0013-52,AVENIDA   TORQUATO TAPAJOS,7841,,TARUMA,69041-025,DIESEL,11/04/2023,6.39,,R$ / litro,ATEM' S,2023-11-21
N,AM,MANAUS,AMAZON COMBUSTIVEIS PARA VEICULOS E CONSTRUCOES LTDA,10.988.014/0013-52,AVENIDA   TORQUATO TAPAJOS,7841,,TARUMA,69041-025,GASOLINA ADITIVADA,11/04/2023,6.59,,R$ / litro,ATEM' S,2023-11-21
N,AM,MANAUS,AMAZON COMBUSTIVEIS PARA VEICULOS E CONSTRUCOES LTDA,10.988.014/0013-52,AVENIDA   TORQUATO TAPAJOS,7841,,TARUMA,69041-025,GASOLINA,11/04/2023,6.59,,R$ / litro,ATEM' S,2023-11-21
