Bandeira,Data da Coleta,Produto,Valor de Venda
ATLÂNTICA,02/01/2023,GASOLINA ADITIVADA,9.88
ATLÂNTICA,04/01/2023,GASOLINA,4.95
ATLÂNTICA,23/01/2023,ETANOL,13.13
ATLÂNTICA,11/01/2023,GASOLINA,5.49
ATLÂNTICA,25/01/2023,DIESEL S10,11.97
ATLÂNTICA,10/01/2023,ETANOL,8.64
ATLÂNTICA,03/01/2023,GASOLINA,9.68
ATLÂNTICA,02/01/2023,DIESEL S10,6.69
ATLÂNTICA,16/01/2023,DIESEL,11.83
ATLÂNTICA,10/01/2023,GASOLINA ADITIVADA,19.68
ATLÂNTICA,03/01/2023,GASOLINA ADITIVADA,4.85
ATLÂNTICA,10/01/2023,DIESEL,11.78
ATLÂNTICA,11/01/2023,DIESEL S10,6.09
ATLÂNTICA,04/01/2023,GASOLINA ADITIVADA,4.95
ATLÂNTICA,02/01/2023,ETANOL,4.25
ATLÂNTICA,18/01/2023,DIESEL,6.59
ATLÂNTICA,18/01/2023,GASOLINA,5.49
ATLÂNTICA,23/01/2023,DIESEL S10,19.37
ATLÂNTICA,12/01/2023,GASOLINA,5.49
ATLÂNTICA,04/01/2023,DIESEL S10,6.39
ATLÂNTICA,12/01/2023,ETANOL,4.6
ATLÂNTICA,03/01/2023,ETANOL,3.89
ATLÂNTICA,12/01/2023,GASOLINA ADITIVADA,5.54
ATLÂNTICA,11/01/2023,GASOLINA ADITIVADA,5.49
ATLÂNTICA,10/01/2023,DIESEL S10,25.06
ATLÂNTICA,16/01/2023,GASOLINA,25.01
ATLÂNTICA,18/01/2023,GNV,5.27
ATLÂNTICA,10/01/2023,GASOLINA,24.44
ATLÂNTICA,04/01/2023,ETANOL,4.39
ATLÂNTICA,24/01/2023,DIESEL S10,12.06
ATLÂNTICA,25/01/2023,DIESEL,11.76
ATLÂNTICA,16/01/2023,ETANOL,8.64
ATLÂNTICA,02/01/2023,GASOLINA,9.78
ATLÂNTICA,16/01/2023,DIESEL S10,25.66
ATLÂNTICA,25/01/2023,GASOLINA,9.89
ATLÂNTICA,24/01/2023,GASOLINA,10.86
ATLÂNTICA,24/01/2023,DIESEL,5.87
ATLÂNTICA,24/01/2023,GASOLINA ADITIVADA,5.49
ATLÂNTICA,12/01/2023,DIESEL S10,6.59
ATLÂNTICA,18/01/2023,DIESEL S10,6.73
ATLÂNTICA,18/01/2023,GASOLINA ADITIVADA,5.54
ATLÂNTICA,18/01/2023,ETANOL,4.6
ATLÂNTICA,25/01/2023,GASOLINA ADITIVADA,5.04
ATLÂNTICA,23/01/2023,GASOLINA ADITIVADA,20.14
ATLÂNTICA,16/01/2023,GASOLINA ADITIVADA,25.31
ATLÂNTICA,03/01/2023,DIESEL,11.78
ATLÂNTICA,23/01/2023,GASOLINA,20.02
ATLÂNTICA,03/01/2023,DIESEL S10,5.99
ATLÂNTICA,20/02/2023,GASOLINA ADITIVADA,30.58
ATLÂNTICA,30/01/2023,GASOLINA ADITIVADA,20.47
ATLÂNTICA,03/02/2023,GASOLINA ADITIVADA,5.39
ATLÂNTICA,13/02/2023,GASOLINA,30.54
ATLÂNTICA,06/02/2023,GASOLINA,30.14
ATLÂNTICA,14/02/2023,DIESEL S10,5.99
ATLÂNTICA,13/02/2023,ETANOL,8.74
ATLÂNTICA,13/02/2023,DIESEL S10,31.15
ATLÂNTICA,06/02/2023,GASOLINA ADITIVADA,25.25
ATLÂNTICA,13/02/2023,DIESEL,11.68
ATLÂNTICA,08/02/2023,GASOLINA,5.79
ATLÂNTICA,20/02/2023,ETANOL,8.74
ATLÂNTICA,20/02/2023,GASOLINA,35.24
ATLÂNTICA,08/02/2023,DIESEL S10,5.99
ATLÂNTICA,06/02/2023,ETANOL,8.64
ATLÂNTICA,03/02/2023,DIESEL S10,5.99
ATLÂNTICA,13/02/2023,GASOLINA ADITIVADA,30.84
ATLÂNTICA,30/01/2023,GASOLINA,20.37
ATLÂNTICA,14/02/2023,GASOLINA,5.67
ATLÂNTICA,30/01/2023,DIESEL S10,18.87
ATLÂNTICA,14/02/2023,GASOLINA ADITIVADA,5.67
ATLÂNTICA,20/02/2023,DIESEL,16.73
ATLÂNTICA,06/02/2023,DIESEL S10,30.94
ATLÂNTICA,30/01/2023,DIESEL,5.89
ATLÂNTICA,03/02/2023,GASOLINA,5.39
ATLÂNTICA,30/01/2023,ETANOL,8.64
ATLÂNTICA,06/02/2023,DIESEL,11.76
ATLÂNTICA,20/02/2023,DIESEL S10,36.29
ATLÂNTICA,08/02/2023,GASOLINA ADITIVADA,5.79
ATLÂNTICA,16/03/2023,GASOLINA ADITIVADA,16.32
ATLÂNTICA,27/02/2023,GASOLINA ADITIVADA,25.73
ATLÂNTICA,13/03/2023,ETANOL,4.66
ATLÂNTICA,03/03/2023,DIESEL S10,6.59
ATLÂNTICA,02/03/2023,ETANOL,4.87
ATLÂNTICA,27/02/2023,ETANOL,8.74
ATLÂNTICA,21/03/2023,ETANOL,9.08
ATLÂNTICA,06/03/2023,GNV,5.37
ATLÂNTICA,08/03/2023,GASOLINA,5.77
ATLÂNTICA,13/03/2023,GASOLINA,5.75
ATLÂNTICA,07/03/2023,GASOLINA,12.02
ATLÂNTICA,08/03/2023,ETANOL,4.87
ATLÂNTICA,07/03/2023,DIESEL,5.59
ATLÂNTICA,27/02/2023,GASOLINA,25.63
ATLÂNTICA,14/03/2023,ETANOL,4.89
ATLÂNTICA,08/03/2023,DIESEL S10,6.15
ATLÂNTICA,03/03/2023,GASOLINA ADITIVADA,5.69
ATLÂNTICA,14/03/2023,GASOLINA,12.02
ATLÂNTICA,16/03/2023,GASOLINA,32.59
ATLÂNTICA,21/03/2023,DIESEL S10,23.04
ATLÂNTICA,03/03/2023,GNV,5.37
ATLÂNTICA,21/03/2023,GASOLINA ADITIVADA,16.23
ATLÂNTICA,21/02/2023,GASOLINA ADITIVADA,5.67
ATLÂNTICA,03/03/2023,GASOLINA,5.67
ATLÂNTICA,14/03/2023,GASOLINA ADITIVADA,12.02
ATLÂNTICA,13/03/2023,GASOLINA ADITIVADA,5.87
ATLÂNTICA,27/02/2023,DIESEL S10,23.62
ATLÂNTICA,16/03/2023,DIESEL,16.54
ATLÂNTICA,06/03/2023,GASOLINA ADITIVADA,28.42
ATLÂNTICA,08/03/2023,GASOLINA ADITIVADA,5.89
ATLÂNTICA,03/03/2023,ETANOL,4.82
ATLÂNTICA,14/03/2023,DIESEL S10,11.38
ATLÂNTICA,06/03/2023,ETANOL,13.91
ATLÂNTICA,07/03/2023,DIESEL S10,11.38
ATLÂNTICA,02/03/2023,GASOLINA,5.85
ATLÂNTICA,07/03/2023,GASOLINA ADITIVADA,12.02
ATLÂNTICA,16/03/2023,DIESEL S10,23.04
ATLÂNTICA,02/03/2023,DIESEL S10,6.15
ATLÂNTICA,02/03/2023,GASOLINA ADITIVADA,5.99
ATLÂNTICA,06/03/2023,DIESEL,16.73
ATLÂNTICA,07/03/2023,ETANOL,4.89
ATLÂNTICA,16/03/2023,ETANOL,13.07
ATLÂNTICA,06/03/2023,GASOLINA,39.95
ATLÂNTICA,21/02/2023,GASOLINA,5.67
ATLÂNTICA,21/02/2023,DIESEL S10,5.69
ATLÂNTICA,27/02/2023,DIESEL,5.57
ATLÂNTICA,21/03/2023,GASOLINA,27.16
ATLÂNTICA,14/03/2023,DIESEL,5.59
ATLÂNTICA,06/03/2023,DIESEL S10,35.41
ATLÂNTICA,13/03/2023,DIESEL S10,5.99
ATLÂNTICA,20/03/2023,DIESEL S10,17.37
ATLÂNTICA,04/04/2023,DIESEL S10,11.78
ATLÂNTICA,30/03/2023,GASOLINA,6.27
ATLÂNTICA,20/03/2023,GASOLINA,17.47
ATLÂNTICA,11/04/2023,GASOLINA,21.74
ATLÂNTICA,04/04/2023,GASOLINA,16.18
ATLÂNTICA,05/04/2023,DIESEL S10,16.63
ATLÂNTICA,27/03/2023,DIESEL,16.24
ATLÂNTICA,23/03/2023,GASOLINA,6.27
ATLÂNTICA,05/04/2023,DIESEL,21.91
ATLÂNTICA,27/03/2023,GASOLINA,43.21
ATLÂNTICA,30/03/2023,DIESEL S10,5.69
ATLÂNTICA,05/04/2023,ETANOL,8.64
ATLÂNTICA,11/04/2023,DIESEL S10,17.45
ATLÂNTICA,11/04/2023,ETANOL,13.77
ATLÂNTICA,20/03/2023,ETANOL,9.55
ATLÂNTICA,05/04/2023,GASOLINA ADITIVADA,11.26
ATLÂNTICA,20/03/2023,DIESEL,5.59
ATLÂNTICA,23/03/2023,GASOLINA ADITIVADA,6.27
ATLÂNTICA,27/03/2023,DIESEL S10,39.91
ATLÂNTICA,30/03/2023,GASOLINA ADITIVADA,6.27
ATLÂNTICA,20/03/2023,GASOLINA ADITIVADA,17.59
ATLÂNTICA,11/04/2023,GASOLINA ADITIVADA,16.45
ATLÂNTICA,27/03/2023,GASOLINA ADITIVADA,38.24
ATLÂNTICA,23/03/2023,DIESEL S10,5.69
ATLÂNTICA,05/04/2023,GASOLINA,21.93
ATLÂNTICA,27/03/2023,ETANOL,18.63
ATLÂNTICA,04/04/2023,ETANOL,9.08
ATLÂNTICA,04/04/2023,GASOLINA ADITIVADA,16.38
ATLÂNTICA,21/03/2023,DIESEL,11.05
ATLÂNTICA,03/05/2023,ETANOL,8.78
ATLÂNTICA,19/04/2023,DIESEL S10,5.67
ATLÂNTICA,18/04/2023,DIESEL S10,17.24
ATLÂNTICA,19/04/2023,GASOLINA,5.28
ATLÂNTICA,17/04/2023,GASOLINA,17.82
ATLÂNTICA,11/04/2023,DIESEL,5.57
ATLÂNTICA,10/04/2023,DIESEL S10,16.63
ATLÂNTICA,25/04/2023,DIESEL S10,5.67
ATLÂNTICA,24/04/2023,DIESEL,5.39
ATLÂNTICA,01/05/2023,DIESEL S10,5.89
ATLÂNTICA,17/04/2023,DIESEL S10,17.27
ATLÂNTICA,17/04/2023,DIESEL,5.79
