Bandeira,Data da Coleta,Produto,Valor de Venda
BRANCA,09/01/2023,GASOLINA ADITIVADA,1393.72
BRANCA,13/01/2023,DIESEL S10,6.19
BRANCA,13/01/2023,DIESEL,18.17
BRANCA,18/01/2023,DIESEL,573.93
BRANCA,11/01/2023,GASOLINA ADITIVADA,1091.01
BRANCA,06/01/2023,GASOLINA,49.59
BRANCA,05/01/2023,GASOLINA,1182.01
BRANCA,18/01/2023,ETANOL,820.99
BRANCA,23/01/2023,DIESEL,1106.34
BRANCA,26/01/2023,ETANOL,687.43
BRANCA,23/01/2023,DIESEL S10,1862.85
BRANCA,11/01/2023,GASOLINA,1499.21
BRANCA,26/01/2023,DIESEL S10,839.68
BRANCA,19/01/2023,GASOLINA,753.69
BRANCA,26/01/2023,GASOLINA,918.25
BRANCA,19/01/2023,DIESEL,507.23
BRANCA,02/01/2023,DIESEL,730.67
BRANCA,09/01/2023,GNV,120.16
BRANCA,24/01/2023,GNV,172.2
BRANCA,19/01/2023,DIESEL S10,700.7
BRANCA,11/01/2023,DIESEL,860.03
BRANCA,09/01/2023,ETANOL,1451.6
BRANCA,10/01/2023,DIESEL S10,1597.79
BRANCA,03/01/2023,GASOLINA ADITIVADA,1235.73
BRANCA,11/01/2023,ETANOL,1114.42
BRANCA,16/01/2023,ETANOL,1529.98
BRANCA,11/01/2023,DIESEL S10,1433.31
BRANCA,05/01/2023,GASOLINA ADITIVADA,829.52
BRANCA,09/01/2023,DIESEL S10,1832.82
BRANCA,02/01/2023,GASOLINA,1530.98
BRANCA,23/01/2023,GASOLINA,1996.76
BRANCA,12/01/2023,GNV,43.24
BRANCA,18/01/2023,DIESEL S10,1104.55
BRANCA,24/01/2023,GASOLINA ADITIVADA,1317.1
BRANCA,12/01/2023,DIESEL,471.1
BRANCA,18/01/2023,GASOLINA,1134.72
BRANCA,06/01/2023,ETANOL,39.87
BRANCA,20/01/2023,DIESEL,60.64
BRANCA,25/01/2023,ETANOL,1182.82
BRANCA,04/01/2023,DIESEL S10,1004.6
BRANCA,17/01/2023,ETANOL,1474.73
BRANCA,04/01/2023,ETANOL,828.93
BRANCA,16/01/2023,DIESEL S10,1951.62
BRANCA,25/01/2023,GASOLINA,1692.67
BRANCA,09/01/2023,DIESEL,1032.11
BRANCA,24/01/2023,GASOLINA,1932.15
BRANCA,06/01/2023,DIESEL,48.52
BRANCA,03/01/2023,GNV,175.61
BRANCA,10/01/2023,GASOLINA ADITIVADA,1106.67
BRANCA,20/01/2023,DIESEL S10,82.44
BRANCA,24/01/2023,DIESEL S10,1797.92
BRANCA,02/01/2023,GASOLINA ADITIVADA,1049.13
BRANCA,12/01/2023,ETANOL,609.4
BRANCA,12/01/2023,DIESEL S10,787.13
BRANCA,04/01/2023,GASOLINA,1173.1
BRANCA,10/01/2023,GASOLINA,1604.84
BRANCA,16/01/2023,GASOLINA,2109.27
BRANCA,17/01/2023,GASOLINA ADITIVADA,1428.07
BRANCA,13/01/2023,GASOLINA,23.21
BRANCA,04/01/2023,DIESEL,711.32
BRANCA,02/01/2023,ETANOL,1095.37
BRANCA,11/01/2023,GNV,152.9
BRANCA,23/01/2023,GASOLINA ADITIVADA,1446.5
BRANCA,20/01/2023,ETANOL,56.47
BRANCA,19/01/2023,GNV,31.25
BRANCA,26/01/2023,GASOLINA ADITIVADA,547.3
BRANCA,05/01/2023,DIESEL S10,1188.33
BRANCA,26/01/2023,DIESEL,601.0
BRANCA,16/01/2023,GNV,202.13
BRANCA,24/01/2023,DIESEL,1110.63
BRANCA,16/01/2023,DIESEL,1203.73
BRANCA,17/01/2023,GNV,155.82
BRANCA,09/01/2023,GASOLINA,1999.19
BRANCA,17/01/2023,DIESEL,1186.65
BRANCA,18/01/2023,GNV,111.3
BRANCA,13/01/2023,ETANOL,11.17
BRANCA,25/01/2023,GASOLINA ADITIVADA,1101.86
BRANCA,05/01/2023,DIESEL,668.67
BRANCA,19/01/2023,GASOLINA ADITIVADA,476.4
BRANCA,18/01/2023,GASOLINA ADITIVADA,778.07
BRANCA,03/01/2023,GASOLINA,1851.75
