Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
S,PR,GUARAPUAVA,GUARAPUAVAO REDE JUNINHO AUTO POSTO LTDA,30.858.891/0001-82,RUA TUCURUI,765,,CONRADINHO,85040-364,ETANOL,24/01/2023,3.79,,R$ / litro,BRANCA,2023-11-21
S,PR,GUARAPUAVA,GUARAPUAVAO REDE JUNINHO AUTO POSTO LTDA,30.858.891/0001-82,RUA TUCURUI,765,,CONRADINHO,85040-364,DIESEL S10,24/01/2023,5.99,,R$ / litro,BRANCA,2023-11-21
S,PR,GUARAPUAVA,GUARAPUAVAO REDE JUNINHO AUTO POSTO LTDA,30.858.891/0001-82,RUA TUCURUI,765,,CONRADINHO,85040-364,DIESEL,24/01/2023,5.89,,R$ / litro,BRANCA,2023-11-21
S,PR,GUARAPUAVA,GUARAPUAVAO REDE JUNINHO AUTO POSTO LTDA,30.858.891/0001-82,RUA TUCURUI,765,,CONRADINHO,85040-364,GASOLINA,24/01/2023,4.89,,R$ / litro,BRANCA,2023-11-21
NE,PE,OLINDA,L S DE OLIVEIRA DISTRIBUIDORA DE COMBUSTIVEIS E DERIVADOS,06.258.660/0001-53,AVENIDA GOVERNARDOR CARLOS DE LIMA CAVALCANTI,4080,,RIO DOCE,53080-230,ETANOL,24/01/2023,3.97,,R$ / litro,BRANCA,2023-11-21
NE,PE,OLINDA,L S DE OLIVEIRA DISTRIBUIDORA DE COMBUSTIVEIS E DERIVADOS,06.258.660/0001-53,AVENIDA GOVERNARDOR CARLOS DE LIMA CAVALCANTI,4080,,RIO DOCE,53080-230,DIESEL S10,24/01/2023,6.19,,R$ / litro,BRANCA,2023-11-21
NE,PE,OLINDA,L S DE OLIVEIRA DISTRIBUIDORA DE COMBUSTIVEIS E DERIVADOS,06.258.660/0001-53,AVENIDA GOVERNARDOR CARLOS DE LIMA CAVALCANTI,4080,,RIO DOCE,53080-230,GASOLINA ADITIVADA,24/01/2023,4.99,,R$ / litro,BRANCA,2023-11-21
NE,PE,OLINDA,L S DE OLIVEIRA DISTRIBUIDORA DE COMBUSTIVEIS E DERIVADOS,06.258.660/0001-53,AVENIDA GOVERNARDOR CARLOS DE LIMA CAVALCANTI,4080,,RIO DOCE,53080-230,GASOLINA,24/01/2023,4.68,,R$ / litro,BRANCA,2023-11-21
SE,MG,JOAO PINHEIRO,REDE SANTANA COMBUSTIVEIS JOAO PINHEIRO LTDA,28.606.640/0001-69,AVENIDA GERSON RIOS,834,,CENTRO,38770-000,ETANOL,23/01/2023,3.75,,R$ / litro,BRANCA,2023-11-21
SE,MG,JOAO PINHEIRO,REDE SANTANA COMBUSTIVEIS JOAO PINHEIRO LTDA,28.606.640/0001-69,AVENIDA GERSON RIOS,834,,CENTRO,38770-000,DIESEL S10,23/01/2023,6.02,,R$ / litro,BRANCA,2023-11-21
SE,MG,JOAO PINHEIRO,REDE SANTANA COMBUSTIVEIS JOAO PINHEIRO LTDA,28.606.640/0001-69,AVENIDA GERSON RIOS,834,,CENTRO,38770-000,DIESEL,23/01/2023,5.92,,R$ / litro,BRANCA,2023-11-21
SE,MG,JOAO PINHEIRO,REDE SANTANA COMBUSTIVEIS JOAO PINHEIRO LTDA,28.606.640/0001-69,AVENIDA GERSON RIOS,834,,CENTRO,38770-000,GASOLINA ADITIVADA,23/01/2023,5.15,,R$ / litro,BRANCA,2023-11-21
SE,MG,JOAO PINHEIRO,REDE SANTANA COMBUSTIVEIS JOAO PINHEIRO LTDA,28.606.640/0001-69,AVENIDA GERSON RIOS,834,,CENTRO,38770-000,GASOLINA,23/01/2023,5.05,,R$ / litro,BRANCA,2023-11-21
S,RS,SAO GABRIEL,COMERCIO DE COMBUSTIVEIS GABRIELENSE LTDA,31.147.869/0001-97,RUA JOAO MANOEL,579,,CENTRO,97300-234,DIESEL S10,23/01/2023,6.64,,R$ / litro,BRANCA,2023-11-21
S,RS,SAO GABRIEL,COMERCIO DE COMBUSTIVEIS GABRIELENSE LTDA,31.147.869/0001-97,RUA JOAO MANOEL,579,,CENTRO,97300-234,GASOLINA ADITIVADA,23/01/2023,5.18,,R$ / litro,BRANCA,2023-11-21
S,RS,SAO GABRIEL,COMERCIO DE COMBUSTIVEIS GABRIELENSE LTDA,31.147.869/0001-97,RUA JOAO MANOEL,579,,CENTRO,97300-234,GASOLINA,23/01/2023,5.08,,R$ / litro,BRANCA,2023-11-21
S,RS,SAPIRANGA,COMERCIAL DE COMBUSTIVEIS GASFORT 1 LTDA,31.061.140/0001-01,RUA SENADOR SALGADO FILHO,1004,,SAO LUIZ,93806-312,DIESEL S10,24/01/2023,6.09,,R$ / litro,BRANCA,2023-11-21
S,RS,SAPIRANGA,COMERCIAL DE COMBUSTIVEIS GASFORT 1 LTDA,31.061.140/0001-01,RUA SENADOR SALGADO FILHO,1004,,SAO LUIZ,93806-312,DIESEL,24/01/2023,6.05,,R$ / litro,BRANCA,2023-11-21
S,RS,SAPIRANGA,COMERCIAL DE COMBUSTIVEIS GASFORT 1 LTDA,31.061.140/0001-01,RUA SENADOR SALGADO FILHO,1004,,SAO LUIZ,93806-312,GASOLINA ADITIVADA,24/01/2023,4.99,,R$ / litro,BRANCA,2023-11-21
S,RS,SAPIRANGA,COMERCIAL DE COMBUSTIVEIS GASFORT 1 LTDA,31.061.140/0001-01,RUA SENADOR SALGADO FILHO,1004,,SAO LUIZ,93806-312,GASOLINA,24/01/2023,4.79,,R$ / litro,BRANCA,2023-11-21
NE,MA,BACABAL,PACHECO PETRO LTDA,19.969.349/0003-26,ESTRADA DA BELA VISTA,113,,VILA PEDRO BRITO,65700-000,DIESEL S10,24/01/2023,5.97,,R$ / litro,BRANCA,2023-11-21
NE,MA,BACABAL,PACHECO PETRO LTDA,19.969.349/0003-26,ESTRADA DA BELA VISTA,113,,VILA PEDRO BRITO,65700-000,GASOLINA ADITIVADA,24/01/2023,4.76,,R$ / litro,BRANCA,2023-11-21
NE,MA,BACABAL,PACHECO PETRO LTDA,19.969.349/0003-26,ESTRADA DA BELA VISTA,113,,VILA PEDRO BRITO,65700-000,GASOLINA,24/01/2023,4.69,,R$ / litro,BRANCA,2023-11-21
CO,GO,RIO VERDE,RRS AUTO POSTO LTDA,31.537.668/0001-04,RUA BRASIL,SN,QUADRA3                   LOTE  53 E 54,GAMELEIRA,75906-730,ETANOL,25/01/2023,3.45,,R$ / litro,BRANCA,2023-11-21
CO,GO,RIO VERDE,RRS AUTO POSTO LTDA,31.537.668/0001-04,RUA BRASIL,SN,QUADRA3                   LOTE  53 E 54,GAMELEIRA,75906-730,DIESEL S10,25/01/2023,6.14,,R$ / litro,BRANCA,2023-11-21
CO,GO,RIO VERDE,RRS AUTO POSTO LTDA,31.537.668/0001-04,RUA BRASIL,SN,QUADRA3                   LOTE  53 E 54,GAMELEIRA,75906-730,DIESEL,25/01/2023,5.99,,R$ / litro,BRANCA,2023-11-21
CO,GO,RIO VERDE,RRS AUTO POSTO LTDA,31.537.668/0001-04,RUA BRASIL,SN,QUADRA3                   LOTE  53 E 54,GAMELEIRA,75906-730,GASOLINA,25/01/2023,4.88,,R$ / litro,BRANCA,2023-11-21
CO,GO,LUZIANIA,ROMEIROS 4 COMERCIO DE PETROLEO LTDA,32.098.327/0001-34,AVENIDA SANTA MARIA,S/N,QUADRA15                  LOTE  6 A 8,SETOR AEROPORTO,72801-020,ETANOL,25/01/2023,3.5,,R$ / litro,BRANCA,2023-11-21
CO,GO,LUZIANIA,ROMEIROS 4 COMERCIO DE PETROLEO LTDA,32.098.327/0001-34,AVENIDA SANTA MARIA,S/N,QUADRA15                  LOTE  6 A 8,SETOR AEROPORTO,72801-020,DIESEL S10,25/01/2023,6.02,,R$ / litro,BRANCA,2023-11-21
CO,GO,LUZIANIA,ROMEIROS 4 COMERCIO DE PETROLEO LTDA,32.098.327/0001-34,AVENIDA SANTA MARIA,S/N,QUADRA15                  LOTE  6 A 8,SETOR AEROPORTO,72801-020,DIESEL,25/01/2023,5.82,,R$ / litro,BRANCA,2023-11-21
CO,GO,LUZIANIA,ROMEIROS 4 COMERCIO DE PETROLEO LTDA,32.098.327/0001-34,AVENIDA SANTA MARIA,S/N,QUADRA15                  LOTE  6 A 8,SETOR AEROPORTO,72801-020,GASOLINA ADITIVADA,25/01/2023,4.66,,R$ / litro,BRANCA,2023-11-21
CO,GO,LUZIANIA,ROMEIROS 4 COMERCIO DE PETROLEO LTDA,32.098.327/0001-34,AVENIDA SANTA MARIA,S/N,QUADRA15                  LOTE  6 A 8,SETOR AEROPORTO,72801-020,GASOLINA,25/01/2023,4.66,,R$ / litro,BRANCA,2023-11-21
NE,CE,LIMOEIRO DO NORTE,AUTO POSTO NOVO TEMPO LTDA,27.037.354/0001-67,RUA CLOVIS ALEXANDRINO,2006,,BROTOLANDIA,62930-000,ETANOL,25/01/2023,4.49,,R$ / litro,BRANCA,2023-11-21
NE,CE,LIMOEIRO DO NORTE,AUTO POSTO NOVO TEMPO LTDA,27.037.354/0001-67,RUA CLOVIS ALEXANDRINO,2006,,BROTOLANDIA,62930-000,DIESEL S10,25/01/2023,6.79,,R$ / litro,BRANCA,2023-11-21
NE,CE,LIMOEIRO DO NORTE,AUTO POSTO NOVO TEMPO LTDA,27.037.354/0001-67,RUA CLOVIS ALEXANDRINO,2006,,BROTOLANDIA,62930-000,GASOLINA ADITIVADA,25/01/2023,5.59,,R$ / litro,BRANCA,2023-11-21
NE,CE,LIMOEIRO DO NORTE,AUTO POSTO NOVO TEMPO LTDA,27.037.354/0001-67,RUA CLOVIS ALEXANDRINO,2006,,BROTOLANDIA,62930-000,GASOLINA,25/01/2023,5.59,,R$ / litro,BRANCA,2023-11-21
N,AM,MANAUS,D DA C SAMPAIO COMERCIO DE COMBUSTIVEIS LTDA,10.272.444/0001-30,RUA JOAO CAMARA,545,LOTE  NOVO ALEIXO,NOVO ALEIXO,69098-165,ETANOL,24/01/2023,3.77,,R$ / litro,BRANCA,2023-11-21
