Bandeira,Data da Coleta,Produto,Valor de Venda
CHARRUA,09/01/2023,DIESEL,5.99
CHARRUA,25/01/2023,DIESEL S10,6.19
CHARRUA,25/01/2023,DIESEL,6.09
CHARRUA,11/01/2023,GASOLINA ADITIVADA,5.14
CHARRUA,24/01/2023,DIESEL S10,12.76
CHARRUA,02/01/2023,DIESEL S10,18.12
CHARRUA,10/01/2023,DIESEL S10,18.87
CHARRUA,17/01/2023,GNV,5.87
CHARRUA,10/01/2023,DIESEL,18.47
CHARRUA,03/01/2023,GASOLINA ADITIVADA,5.29
CHARRUA,17/01/2023,GASOLINA ADITIVADA,15.02
CHARRUA,11/01/2023,DIESEL S10,6.52
CHARRUA,25/01/2023,GASOLINA,4.89
CHARRUA,02/01/2023,DIESEL,5.99
CHARRUA,24/01/2023,GASOLINA,14.66
CHARRUA,09/01/2023,GASOLINA,4.96
CHARRUA,04/01/2023,DIESEL,12.56
CHARRUA,09/01/2023,DIESEL S10,6.04
CHARRUA,16/01/2023,GASOLINA,14.56
CHARRUA,05/01/2023,GASOLINA,4.99
CHARRUA,02/01/2023,GASOLINA,15.12
CHARRUA,26/01/2023,GASOLINA ADITIVADA,5.39
CHARRUA,03/01/2023,DIESEL S10,6.59
CHARRUA,04/01/2023,DIESEL S10,12.91
CHARRUA,26/01/2023,GASOLINA,5.29
CHARRUA,17/01/2023,DIESEL,12.28
CHARRUA,03/01/2023,GASOLINA,5.09
CHARRUA,24/01/2023,GASOLINA ADITIVADA,10.12
CHARRUA,17/01/2023,ETANOL,9.67
CHARRUA,03/01/2023,GNV,5.87
CHARRUA,24/01/2023,DIESEL,12.51
CHARRUA,16/01/2023,ETANOL,9.28
CHARRUA,09/01/2023,GASOLINA ADITIVADA,5.09
CHARRUA,04/01/2023,ETANOL,4.98
CHARRUA,17/01/2023,GASOLINA,19.54
CHARRUA,25/01/2023,GNV,6.33
CHARRUA,09/01/2023,ETANOL,4.59
CHARRUA,16/01/2023,DIESEL S10,18.37
CHARRUA,10/01/2023,GNV,12.2
CHARRUA,10/01/2023,GASOLINA ADITIVADA,20.21
