Bandeira,Data da Coleta,Produto,Valor de Venda
CIAPETRO,03/01/2023,DIESEL,6.37
CIAPETRO,10/01/2023,DIESEL S10,6.79
CIAPETRO,10/01/2023,ETANOL,4.29
CIAPETRO,09/01/2023,DIESEL S10,13.24
CIAPETRO,09/01/2023,DIESEL,12.94
CIAPETRO,23/01/2023,ETANOL,3.85
CIAPETRO,05/01/2023,DIESEL,6.59
CIAPETRO,17/01/2023,GASOLINA ADITIVADA,5.49
CIAPETRO,24/01/2023,ETANOL,3.46
CIAPETRO,05/01/2023,DIESEL S10,6.79
CIAPETRO,17/01/2023,GASOLINA,10.05
CIAPETRO,09/01/2023,GASOLINA,10.51
CIAPETRO,12/01/2023,GASOLINA,9.77
CIAPETRO,09/01/2023,GASOLINA ADITIVADA,10.71
CIAPETRO,12/01/2023,ETANOL,7.77
CIAPETRO,02/01/2023,DIESEL,12.54
CIAPETRO,26/01/2023,GASOLINA ADITIVADA,4.7
CIAPETRO,25/01/2023,DIESEL S10,12.54
CIAPETRO,05/01/2023,GASOLINA ADITIVADA,5.49
CIAPETRO,17/01/2023,ETANOL,7.97
CIAPETRO,16/01/2023,ETANOL,8.56
CIAPETRO,11/01/2023,GASOLINA,5.09
CIAPETRO,23/01/2023,GASOLINA ADITIVADA,5.1
CIAPETRO,16/01/2023,DIESEL,12.79
CIAPETRO,05/01/2023,ETANOL,4.29
CIAPETRO,26/01/2023,DIESEL,5.89
CIAPETRO,18/01/2023,DIESEL,11.63
CIAPETRO,25/01/2023,DIESEL,18.08
CIAPETRO,02/01/2023,GASOLINA ADITIVADA,10.56
CIAPETRO,16/01/2023,DIESEL S10,13.14
CIAPETRO,18/01/2023,DIESEL S10,5.89
CIAPETRO,10/01/2023,GASOLINA ADITIVADA,5.49
CIAPETRO,03/01/2023,ETANOL,7.66
CIAPETRO,10/01/2023,GASOLINA,5.27
CIAPETRO,12/01/2023,DIESEL S10,11.79
CIAPETRO,12/01/2023,GASOLINA ADITIVADA,5.1
CIAPETRO,24/01/2023,GASOLINA,4.58
CIAPETRO,12/01/2023,DIESEL,5.84
CIAPETRO,03/01/2023,GASOLINA,9.75
CIAPETRO,26/01/2023,GASOLINA,4.69
CIAPETRO,10/01/2023,DIESEL,6.59
CIAPETRO,11/01/2023,DIESEL,5.92
CIAPETRO,03/01/2023,GASOLINA ADITIVADA,5.09
CIAPETRO,16/01/2023,GASOLINA,10.39
CIAPETRO,11/01/2023,ETANOL,4.07
CIAPETRO,18/01/2023,ETANOL,11.44
CIAPETRO,18/01/2023,GASOLINA,14.86
CIAPETRO,02/01/2023,GASOLINA,10.36
CIAPETRO,05/01/2023,GASOLINA,5.27
CIAPETRO,03/01/2023,DIESEL S10,6.47
CIAPETRO,25/01/2023,ETANOL,15.53
CIAPETRO,02/01/2023,ETANOL,8.56
CIAPETRO,02/01/2023,DIESEL S10,13.09
CIAPETRO,09/01/2023,ETANOL,8.64
CIAPETRO,25/01/2023,GASOLINA,20.53
CIAPETRO,23/01/2023,DIESEL S10,6.55
CIAPETRO,17/01/2023,DIESEL S10,6.69
CIAPETRO,25/01/2023,GASOLINA ADITIVADA,10.79
CIAPETRO,23/01/2023,DIESEL,6.3
CIAPETRO,26/01/2023,DIESEL S10,5.99
CIAPETRO,23/01/2023,GASOLINA,5.0
CIAPETRO,17/01/2023,DIESEL,6.49
CIAPETRO,26/01/2023,ETANOL,3.49
CIAPETRO,18/01/2023,GASOLINA ADITIVADA,5.1
CIAPETRO,16/01/2023,GASOLINA ADITIVADA,10.59
CIAPETRO,30/01/2023,ETANOL,7.72
CIAPETRO,09/02/2023,ETANOL,3.89
CIAPETRO,20/02/2023,DIESEL S10,5.99
CIAPETRO,13/02/2023,DIESEL,11.34
CIAPETRO,06/02/2023,DIESEL,6.25
CIAPETRO,20/02/2023,ETANOL,7.33
CIAPETRO,14/02/2023,GASOLINA ADITIVADA,4.9
CIAPETRO,07/02/2023,DIESEL,5.89
CIAPETRO,13/02/2023,DIESEL S10,11.54
CIAPETRO,22/02/2023,DIESEL,5.89
