Bandeira,Data da Coleta,Produto,Valor de Venda
DIBRAPE,11/01/2023,DIESEL S10,6.04
DIBRAPE,11/01/2023,GASOLINA ADITIVADA,5.07
DIBRAPE,17/01/2023,GASOLINA ADITIVADA,5.07
DIBRAPE,05/01/2023,GASOLINA,5.05
DIBRAPE,24/01/2023,GASOLINA ADITIVADA,5.07
DIBRAPE,11/01/2023,GASOLINA,5.05
DIBRAPE,17/01/2023,GASOLINA,5.05
DIBRAPE,24/01/2023,DIESEL S10,6.04
DIBRAPE,17/01/2023,DIESEL S10,6.04
DIBRAPE,05/01/2023,DIESEL S10,6.04
DIBRAPE,05/01/2023,GASOLINA ADITIVADA,5.07
DIBRAPE,24/01/2023,GASOLINA,5.05
DIBRAPE,02/03/2023,GASOLINA ADITIVADA,5.27
DIBRAPE,22/02/2023,GASOLINA ADITIVADA,5.27
DIBRAPE,22/02/2023,GASOLINA,5.25
DIBRAPE,22/02/2023,DIESEL S10,6.04
DIBRAPE,02/03/2023,GASOLINA,5.25
DIBRAPE,02/03/2023,DIESEL S10,5.96
DIBRAPE,29/03/2023,DIESEL S10,5.76
DIBRAPE,22/03/2023,GASOLINA,5.23
DIBRAPE,22/03/2023,DIESEL S10,5.86
DIBRAPE,29/03/2023,GASOLINA ADITIVADA,5.21
DIBRAPE,29/03/2023,GASOLINA,5.19
DIBRAPE,22/03/2023,GASOLINA ADITIVADA,5.25
DIBRAPE,19/04/2023,DIESEL S10,5.76
DIBRAPE,12/04/2023,GASOLINA,5.59
DIBRAPE,05/05/2023,GASOLINA,5.09
DIBRAPE,05/05/2023,DIESEL S10,5.56
DIBRAPE,13/04/2023,DIESEL S10,5.76
DIBRAPE,05/05/2023,GASOLINA ADITIVADA,5.12
DIBRAPE,19/04/2023,GASOLINA ADITIVADA,5.4
DIBRAPE,19/04/2023,GASOLINA,5.38
DIBRAPE,12/04/2023,ETANOL,4.69
DIBRAPE,13/04/2023,GASOLINA,5.45
DIBRAPE,12/04/2023,GASOLINA ADITIVADA,5.59
DIBRAPE,13/04/2023,GASOLINA ADITIVADA,5.47
DIBRAPE,12/04/2023,DIESEL S10,5.74
DIBRAPE,10/05/2023,GASOLINA,5.09
DIBRAPE,10/05/2023,DIESEL S10,5.56
DIBRAPE,23/05/2023,GASOLINA ADITIVADA,4.91
DIBRAPE,23/05/2023,GASOLINA,4.89
DIBRAPE,10/05/2023,GASOLINA ADITIVADA,5.12
DIBRAPE,23/05/2023,DIESEL S10,5.07
DIBRAPE,01/06/2023,DIESEL S10,4.99
DIBRAPE,15/06/2023,DIESEL S10,4.99
DIBRAPE,08/06/2023,GASOLINA ADITIVADA,5.61
DIBRAPE,15/06/2023,GASOLINA,5.49
DIBRAPE,15/06/2023,GASOLINA ADITIVADA,5.51
DIBRAPE,08/06/2023,GASOLINA,5.59
DIBRAPE,01/06/2023,GASOLINA ADITIVADA,4.84
DIBRAPE,30/05/2023,DIESEL S10,5.59
DIBRAPE,01/06/2023,GASOLINA,4.82
DIBRAPE,30/05/2023,GASOLINA,5.47
DIBRAPE,08/06/2023,DIESEL S10,4.99
DIBRAPE,30/05/2023,GASOLINA ADITIVADA,5.49
DIBRAPE,30/05/2023,DIESEL,5.55
DIBRAPE,22/06/2023,GASOLINA ADITIVADA,5.38
DIBRAPE,22/06/2023,DIESEL S10,4.99
DIBRAPE,28/06/2023,GASOLINA ADITIVADA,5.38
DIBRAPE,28/06/2023,DIESEL S10,4.99
DIBRAPE,28/06/2023,GASOLINA,5.36
DIBRAPE,22/06/2023,GASOLINA,5.36
