Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
S,SC,JARAGUA DO SUL,AUTO POSTO AGF LTDA,08.912.366/0001-49,RUA MANOEL FRANCISCO DA COSTA,4955,,VIEIRAS,89257-000,DIESEL S10,05/01/2023,6.04,,R$ / litro,DIBRAPE,2023-11-21
S,SC,JARAGUA DO SUL,AUTO POSTO AGF LTDA,08.912.366/0001-49,RUA MANOEL FRANCISCO DA COSTA,4955,,VIEIRAS,89257-000,GASOLINA ADITIVADA,05/01/2023,5.07,,R$ / litro,DIBRAPE,2023-11-21
S,SC,JARAGUA DO SUL,AUTO POSTO AGF LTDA,08.912.366/0001-49,RUA MANOEL FRANCISCO DA COSTA,4955,,VIEIRAS,89257-000,GASOLINA,05/01/2023,5.05,,R$ / litro,DIBRAPE,2023-11-21
S,SC,JARAGUA DO SUL,AUTO POSTO AGF LTDA,08.912.366/0001-49,RUA MANOEL FRANCISCO DA COSTA,4955,,VIEIRAS,89257-000,DIESEL S10,11/01/2023,6.04,,R$ / litro,DIBRAPE,2023-11-21
S,SC,JARAGUA DO SUL,AUTO POSTO AGF LTDA,08.912.366/0001-49,RUA MANOEL FRANCISCO DA COSTA,4955,,VIEIRAS,89257-000,GASOLINA ADITIVADA,11/01/2023,5.07,,R$ / litro,DIBRAPE,2023-11-21
S,SC,JARAGUA DO SUL,AUTO POSTO AGF LTDA,08.912.366/0001-49,RUA MANOEL FRANCISCO DA COSTA,4955,,VIEIRAS,89257-000,GASOLINA,11/01/2023,5.05,,R$ / litro,DIBRAPE,2023-11-21
S,SC,JARAGUA DO SUL,AUTO POSTO AGF LTDA,08.912.366/0001-49,RUA MANOEL FRANCISCO DA COSTA,4955,,VIEIRAS,89257-000,DIESEL S10,17/01/2023,6.04,,R$ / litro,DIBRAPE,2023-11-21
S,SC,JARAGUA DO SUL,AUTO POSTO AGF LTDA,08.912.366/0001-49,RUA MANOEL FRANCISCO DA COSTA,4955,,VIEIRAS,89257-000,GASOLINA ADITIVADA,17/01/2023,5.07,,R$ / litro,DIBRAPE,2023-11-21
S,SC,JARAGUA DO SUL,AUTO POSTO AGF LTDA,08.912.366/0001-49,RUA MANOEL FRANCISCO DA COSTA,4955,,VIEIRAS,89257-000,GASOLINA,17/01/2023,5.05,,R$ / litro,DIBRAPE,2023-11-21
S,SC,JARAGUA DO SUL,AUTO POSTO AGF LTDA,08.912.366/0001-49,RUA MANOEL FRANCISCO DA COSTA,4955,,VIEIRAS,89257-000,DIESEL S10,24/01/2023,6.04,,R$ / litro,DIBRAPE,2023-11-21
S,SC,JARAGUA DO SUL,AUTO POSTO AGF LTDA,08.912.366/0001-49,RUA MANOEL FRANCISCO DA COSTA,4955,,VIEIRAS,89257-000,GASOLINA ADITIVADA,24/01/2023,5.07,,R$ / litro,DIBRAPE,2023-11-21
S,SC,JARAGUA DO SUL,AUTO POSTO AGF LTDA,08.912.366/0001-49,RUA MANOEL FRANCISCO DA COSTA,4955,,VIEIRAS,89257-000,GASOLINA,24/01/2023,5.05,,R$ / litro,DIBRAPE,2023-11-21
