Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
S,SC,JOINVILLE,RUDNICK & CIA LTDA,84.704.410/0004-56,RUA JOINVILLE,13651,,PIRABEIRABA,89239-220,ETANOL,12/04/2023,4.69,,R$ / litro,DIBRAPE,2023-11-21
S,SC,JOINVILLE,RUDNICK & CIA LTDA,84.704.410/0004-56,RUA JOINVILLE,13651,,PIRABEIRABA,89239-220,DIESEL S10,12/04/2023,5.74,,R$ / litro,DIBRAPE,2023-11-21
S,SC,JOINVILLE,RUDNICK & CIA LTDA,84.704.410/0004-56,RUA JOINVILLE,13651,,PIRABEIRABA,89239-220,GASOLINA ADITIVADA,12/04/2023,5.59,,R$ / litro,DIBRAPE,2023-11-21
S,SC,JOINVILLE,RUDNICK & CIA LTDA,84.704.410/0004-56,RUA JOINVILLE,13651,,PIRABEIRABA,89239-220,GASOLINA,12/04/2023,5.59,,R$ / litro,DIBRAPE,2023-11-21
S,SC,JARAGUA DO SUL,AUTO POSTO AGF LTDA,08.912.366/0001-49,RUA MANOEL FRANCISCO DA COSTA,4955,,VIEIRAS,89257-000,DIESEL S10,13/04/2023,5.76,,R$ / litro,DIBRAPE,2023-11-21
S,SC,JARAGUA DO SUL,AUTO POSTO AGF LTDA,08.912.366/0001-49,RUA MANOEL FRANCISCO DA COSTA,4955,,VIEIRAS,89257-000,GASOLINA ADITIVADA,13/04/2023,5.47,,R$ / litro,DIBRAPE,2023-11-21
S,SC,JARAGUA DO SUL,AUTO POSTO AGF LTDA,08.912.366/0001-49,RUA MANOEL FRANCISCO DA COSTA,4955,,VIEIRAS,89257-000,GASOLINA,13/04/2023,5.45,,R$ / litro,DIBRAPE,2023-11-21
S,SC,JARAGUA DO SUL,AUTO POSTO AGF LTDA,08.912.366/0001-49,RUA MANOEL FRANCISCO DA COSTA,4955,,VIEIRAS,89257-000,DIESEL S10,19/04/2023,5.76,,R$ / litro,DIBRAPE,2023-11-21
S,SC,JARAGUA DO SUL,AUTO POSTO AGF LTDA,08.912.366/0001-49,RUA MANOEL FRANCISCO DA COSTA,4955,,VIEIRAS,89257-000,GASOLINA ADITIVADA,19/04/2023,5.4,,R$ / litro,DIBRAPE,2023-11-21
S,SC,JARAGUA DO SUL,AUTO POSTO AGF LTDA,08.912.366/0001-49,RUA MANOEL FRANCISCO DA COSTA,4955,,VIEIRAS,89257-000,GASOLINA,19/04/2023,5.38,,R$ / litro,DIBRAPE,2023-11-21
S,SC,JARAGUA DO SUL,AUTO POSTO AGF LTDA,08.912.366/0001-49,RUA MANOEL FRANCISCO DA COSTA,4955,,VIEIRAS,89257-000,DIESEL S10,05/05/2023,5.56,,R$ / litro,DIBRAPE,2023-11-21
S,SC,JARAGUA DO SUL,AUTO POSTO AGF LTDA,08.912.366/0001-49,RUA MANOEL FRANCISCO DA COSTA,4955,,VIEIRAS,89257-000,GASOLINA ADITIVADA,05/05/2023,5.12,,R$ / litro,DIBRAPE,2023-11-21
S,SC,JARAGUA DO SUL,AUTO POSTO AGF LTDA,08.912.366/0001-49,RUA MANOEL FRANCISCO DA COSTA,4955,,VIEIRAS,89257-000,GASOLINA,05/05/2023,5.09,,R$ / litro,DIBRAPE,2023-11-21
