Bandeira,Data da Coleta,Produto,Valor de Venda
DISLUB,02/01/2023,GASOLINA ADITIVADA,5.29
DISLUB,03/01/2023,ETANOL,8.67
DISLUB,17/01/2023,GASOLINA,14.75
DISLUB,26/01/2023,GASOLINA,5.94
DISLUB,24/01/2023,DIESEL S10,31.75
DISLUB,25/01/2023,ETANOL,12.94
DISLUB,17/01/2023,DIESEL S10,5.99
DISLUB,02/01/2023,DIESEL S10,6.99
DISLUB,10/01/2023,GASOLINA ADITIVADA,15.41
DISLUB,19/01/2023,GASOLINA,10.58
DISLUB,24/01/2023,GASOLINA ADITIVADA,29.71
DISLUB,19/01/2023,ETANOL,9.07
DISLUB,24/01/2023,GASOLINA,28.71
DISLUB,04/01/2023,DIESEL S10,19.31
DISLUB,25/01/2023,GASOLINA,15.09
DISLUB,24/01/2023,ETANOL,24.52
DISLUB,10/01/2023,GASOLINA,25.69
DISLUB,10/01/2023,DIESEL S10,26.1
DISLUB,09/01/2023,ETANOL,4.28
DISLUB,02/01/2023,GASOLINA,5.19
DISLUB,10/01/2023,GNV,3.99
DISLUB,03/01/2023,DIESEL S10,12.48
DISLUB,04/01/2023,GNV,3.99
DISLUB,04/01/2023,GASOLINA,20.65
DISLUB,10/01/2023,ETANOL,21.39
DISLUB,04/01/2023,ETANOL,17.24
DISLUB,04/01/2023,GASOLINA ADITIVADA,9.97
DISLUB,25/01/2023,GASOLINA ADITIVADA,4.49
DISLUB,24/01/2023,GNV,7.98
DISLUB,17/01/2023,ETANOL,8.27
DISLUB,16/01/2023,GNV,3.99
DISLUB,16/01/2023,GASOLINA,10.07
DISLUB,03/01/2023,GASOLINA,9.78
DISLUB,03/01/2023,GASOLINA ADITIVADA,5.09
DISLUB,17/01/2023,GASOLINA ADITIVADA,10.03
DISLUB,26/01/2023,GASOLINA ADITIVADA,6.04
DISLUB,25/01/2023,DIESEL S10,18.61
DISLUB,16/01/2023,GASOLINA ADITIVADA,10.37
DISLUB,09/01/2023,DIESEL S10,6.09
DISLUB,23/01/2023,DIESEL S10,6.1
DISLUB,09/01/2023,GASOLINA,4.89
DISLUB,16/01/2023,DIESEL S10,13.18
DISLUB,23/01/2023,GASOLINA,4.92
DISLUB,16/01/2023,ETANOL,7.98
DISLUB,26/01/2023,DIESEL S10,7.5
DISLUB,03/01/2023,GNV,3.99
DISLUB,19/01/2023,DIESEL S10,12.78
DISLUB,02/01/2023,ETANOL,4.19
DISLUB,30/01/2023,GASOLINA,25.7
DISLUB,22/02/2023,GASOLINA,9.64
DISLUB,07/02/2023,GASOLINA,9.78
DISLUB,21/02/2023,GASOLINA,19.79
DISLUB,14/02/2023,GASOLINA ADITIVADA,16.41
DISLUB,16/02/2023,GASOLINA,5.09
DISLUB,01/02/2023,DIESEL S10,5.98
DISLUB,23/02/2023,GASOLINA,10.83
DISLUB,13/02/2023,DIESEL S10,11.94
DISLUB,15/02/2023,GASOLINA,5.64
DISLUB,08/02/2023,DIESEL S10,12.68
DISLUB,14/02/2023,DIESEL S10,32.31
DISLUB,01/02/2023,GASOLINA ADITIVADA,5.06
DISLUB,22/02/2023,GASOLINA ADITIVADA,4.95
DISLUB,30/01/2023,DIESEL S10,25.42
DISLUB,06/02/2023,GASOLINA,16.51
DISLUB,07/02/2023,DIESEL S10,12.04
DISLUB,16/02/2023,DIESEL S10,5.69
DISLUB,23/02/2023,ETANOL,9.07
DISLUB,20/02/2023,GASOLINA,16.87
DISLUB,15/02/2023,GASOLINA ADITIVADA,5.74
DISLUB,23/02/2023,DIESEL S10,11.98
DISLUB,10/02/2023,DIESEL S10,5.99
DISLUB,01/02/2023,GASOLINA,5.06
DISLUB,22/02/2023,DIESEL S10,11.34
DISLUB,22/02/2023,ETANOL,3.99
DISLUB,15/02/2023,ETANOL,4.89
DISLUB,21/02/2023,ETANOL,16.08
DISLUB,13/02/2023,GASOLINA ADITIVADA,15.27
DISLUB,06/02/2023,DIESEL S10,14.19
DISLUB,31/01/2023,DIESEL S10,26.33
DISLUB,31/01/2023,GASOLINA,26.96
DISLUB,14/02/2023,GASOLINA,26.85
DISLUB,07/02/2023,GNV,3.65
DISLUB,08/02/2023,GASOLINA,10.65
DISLUB,31/01/2023,ETANOL,13.21
DISLUB,13/02/2023,GASOLINA,14.87
DISLUB,08/02/2023,ETANOL,9.07
DISLUB,31/01/2023,GASOLINA ADITIVADA,11.13
DISLUB,20/02/2023,GASOLINA ADITIVADA,17.17
DISLUB,15/02/2023,DIESEL,6.99
DISLUB,06/02/2023,ETANOL,8.33
DISLUB,30/01/2023,ETANOL,21.33
DISLUB,07/02/2023,ETANOL,8.27
DISLUB,10/02/2023,GASOLINA,5.09
DISLUB,06/02/2023,GASOLINA ADITIVADA,16.71
DISLUB,14/02/2023,ETANOL,17.54
DISLUB,21/02/2023,GASOLINA ADITIVADA,20.4
DISLUB,21/02/2023,GNV,7.3
DISLUB,01/02/2023,ETANOL,3.97
DISLUB,07/02/2023,GASOLINA ADITIVADA,10.18
DISLUB,21/02/2023,DIESEL S10,17.67
DISLUB,13/02/2023,GNV,7.3
DISLUB,30/01/2023,GNV,3.99
DISLUB,30/01/2023,GASOLINA ADITIVADA,26.51
DISLUB,15/02/2023,DIESEL S10,6.99
DISLUB,20/02/2023,DIESEL S10,13.34
DISLUB,13/02/2023,ETANOL,12.1
DISLUB,01/03/2023,GASOLINA ADITIVADA,10.68
DISLUB,13/03/2023,DIESEL S10,18.73
DISLUB,27/02/2023,DIESEL,6.99
DISLUB,02/03/2023,GASOLINA,5.39
DISLUB,09/03/2023,DIESEL S10,11.88
DISLUB,15/03/2023,GASOLINA ADITIVADA,5.69
DISLUB,01/03/2023,DIESEL S10,23.41
DISLUB,13/03/2023,GASOLINA,22.94
DISLUB,15/03/2023,GNV,3.65
DISLUB,06/03/2023,DIESEL S10,13.34
DISLUB,20/03/2023,GASOLINA,12.12
DISLUB,06/03/2023,ETANOL,4.39
DISLUB,08/03/2023,DIESEL S10,5.69
DISLUB,16/03/2023,ETANOL,9.47
DISLUB,14/03/2023,ETANOL,4.09
DISLUB,16/03/2023,DIESEL S10,11.77
DISLUB,07/03/2023,GASOLINA,27.52
DISLUB,15/03/2023,GASOLINA,5.49
DISLUB,07/03/2023,GASOLINA ADITIVADA,28.13
DISLUB,13/03/2023,ETANOL,12.71
DISLUB,27/02/2023,GNV,7.3
DISLUB,27/02/2023,GASOLINA ADITIVADA,31.35
DISLUB,15/03/2023,ETANOL,4.19
DISLUB,09/03/2023,GASOLINA,11.47
DISLUB,06/03/2023,GASOLINA,12.23
DISLUB,20/03/2023,DIESEL S10,13.04
DISLUB,02/03/2023,DIESEL S10,5.69
DISLUB,27/02/2023,GASOLINA,30.55
DISLUB,15/03/2023,DIESEL S10,5.59
DISLUB,01/03/2023,GASOLINA,22.04
DISLUB,20/03/2023,GASOLINA ADITIVADA,12.32
DISLUB,27/02/2023,DIESEL S10,30.81
DISLUB,07/03/2023,DIESEL S10,22.92
DISLUB,13/03/2023,GASOLINA ADITIVADA,23.34
DISLUB,16/03/2023,GASOLINA,11.37
DISLUB,06/03/2023,GASOLINA ADITIVADA,12.43
DISLUB,01/03/2023,ETANOL,17.54
DISLUB,14/03/2023,GASOLINA,10.68
DISLUB,07/03/2023,ETANOL,20.89
DISLUB,07/03/2023,GNV,7.3
DISLUB,27/02/2023,ETANOL,25.17
DISLUB,13/03/2023,GNV,3.65
DISLUB,08/03/2023,GASOLINA,5.39
DISLUB,09/03/2023,ETANOL,9.67
DISLUB,20/02/2023,ETANOL,9.08
DISLUB,14/03/2023,DIESEL S10,11.18
DISLUB,10/04/2023,GASOLINA ADITIVADA,11.28
DISLUB,11/04/2023,DIESEL S10,29.19
DISLUB,21/03/2023,DIESEL S10,16.57
DISLUB,04/04/2023,DIESEL S10,35.35
DISLUB,29/03/2023,ETANOL,9.47
DISLUB,12/04/2023,GASOLINA,5.38
DISLUB,22/03/2023,GASOLINA,22.13
DISLUB,10/04/2023,GASOLINA,16.28
DISLUB,03/04/2023,ETANOL,4.25
DISLUB,22/03/2023,ETANOL,13.51
DISLUB,27/03/2023,ETANOL,16.51
DISLUB,04/04/2023,GASOLINA,34.13
DISLUB,04/04/2023,GNV,3.65
DISLUB,10/04/2023,GNV,3.65
DISLUB,28/03/2023,GASOLINA,10.48
DISLUB,12/04/2023,GASOLINA ADITIVADA,5.59
