Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
NE,PE,ARCOVERDE,SERVIÇOS E COMÉRCIO AUTOMOTIVOS LTDA.,03.254.669/0001-06,AVENIDA JOSÉ BONIFÁCIO,2238,,SÃO CRISTOVÃO,56512-001,DIESEL S10,22/03/2023,5.59,,R$ / litro,DISLUB,2023-11-21
NE,PE,ARCOVERDE,SERVIÇOS E COMÉRCIO AUTOMOTIVOS LTDA.,03.254.669/0001-06,AVENIDA JOSÉ BONIFÁCIO,2238,,SÃO CRISTOVÃO,56512-001,GASOLINA,22/03/2023,5.39,,R$ / litro,DISLUB,2023-11-21
NE,PE,CARUARU,ALVES AUTO POSTO COMBUSTIVEIS LTDA,07.046.004/0001-50,"BR 104 KM 33,4",S/N,SEGUNDO DISTRITO,ZONA RURAL,55002-971,ETANOL,21/03/2023,4.09,,R$ / litro,DISLUB,2023-11-21
NE,PE,CARUARU,ALVES AUTO POSTO COMBUSTIVEIS LTDA,07.046.004/0001-50,"BR 104 KM 33,4",S/N,SEGUNDO DISTRITO,ZONA RURAL,55002-971,DIESEL S10,21/03/2023,5.49,,R$ / litro,DISLUB,2023-11-21
NE,PE,CARUARU,ALVES AUTO POSTO COMBUSTIVEIS LTDA,07.046.004/0001-50,"BR 104 KM 33,4",S/N,SEGUNDO DISTRITO,ZONA RURAL,55002-971,GASOLINA ADITIVADA,21/03/2023,5.39,,R$ / litro,DISLUB,2023-11-21
NE,PE,CARUARU,ALVES AUTO POSTO COMBUSTIVEIS LTDA,07.046.004/0001-50,"BR 104 KM 33,4",S/N,SEGUNDO DISTRITO,ZONA RURAL,55002-971,GASOLINA,21/03/2023,5.09,,R$ / litro,DISLUB,2023-11-21
NE,PE,RECIFE,PETRO JOQUEI COMBUSTIVEL LTDA,07.815.352/0001-44,RUA CARLOS GOMES,758,,PRADO,50720-110,ETANOL,21/03/2023,4.18,,R$ / litro,DISLUB,2023-11-21
NE,PE,RECIFE,PETRO JOQUEI COMBUSTIVEL LTDA,07.815.352/0001-44,RUA CARLOS GOMES,758,,PRADO,50720-110,DIESEL S10,21/03/2023,5.49,,R$ / litro,DISLUB,2023-11-21
NE,PE,RECIFE,PETRO JOQUEI COMBUSTIVEL LTDA,07.815.352/0001-44,RUA CARLOS GOMES,758,,PRADO,50720-110,GASOLINA ADITIVADA,21/03/2023,5.59,,R$ / litro,DISLUB,2023-11-21
NE,PE,RECIFE,PETRO JOQUEI COMBUSTIVEL LTDA,07.815.352/0001-44,RUA CARLOS GOMES,758,,PRADO,50720-110,GASOLINA,21/03/2023,5.39,,R$ / litro,DISLUB,2023-11-21
