Bandeira,Data da Coleta,Produto,Valor de Venda
D`MAIS,26/01/2023,DIESEL,12.18
D`MAIS,09/01/2023,DIESEL S10,12.38
D`MAIS,20/01/2023,ETANOL,7.14
D`MAIS,09/01/2023,GASOLINA ADITIVADA,9.74
D`MAIS,20/01/2023,GASOLINA,9.34
D`MAIS,02/01/2023,DIESEL,12.18
D`MAIS,20/01/2023,DIESEL,12.18
D`MAIS,02/01/2023,DIESEL S10,12.38
D`MAIS,09/01/2023,DIESEL,12.18
D`MAIS,20/01/2023,DIESEL S10,12.38
D`MAIS,09/01/2023,ETANOL,7.74
D`MAIS,20/01/2023,GASOLINA ADITIVADA,9.54
D`MAIS,09/01/2023,GASOLINA,9.54
D`MAIS,02/01/2023,GASOLINA ADITIVADA,9.78
D`MAIS,02/01/2023,GASOLINA,9.74
D`MAIS,26/01/2023,GASOLINA,9.7
D`MAIS,26/01/2023,DIESEL S10,12.38
D`MAIS,26/01/2023,ETANOL,7.14
D`MAIS,26/01/2023,GASOLINA ADITIVADA,9.9
D`MAIS,02/01/2023,ETANOL,7.74
D`MAIS,30/01/2023,GASOLINA,9.7
D`MAIS,30/01/2023,GASOLINA ADITIVADA,9.9
D`MAIS,13/02/2023,ETANOL,7.14
D`MAIS,20/02/2023,DIESEL,11.58
D`MAIS,06/02/2023,GASOLINA,9.7
D`MAIS,20/02/2023,ETANOL,7.14
D`MAIS,20/02/2023,DIESEL S10,11.78
D`MAIS,30/01/2023,DIESEL,12.18
D`MAIS,20/02/2023,GASOLINA,9.7
D`MAIS,20/02/2023,GASOLINA ADITIVADA,9.92
D`MAIS,13/02/2023,GASOLINA ADITIVADA,9.9
D`MAIS,06/02/2023,GASOLINA ADITIVADA,9.9
D`MAIS,13/02/2023,GASOLINA,9.7
D`MAIS,13/02/2023,DIESEL S10,11.78
D`MAIS,30/01/2023,ETANOL,7.14
D`MAIS,06/02/2023,DIESEL S10,12.38
D`MAIS,30/01/2023,DIESEL S10,12.38
D`MAIS,06/02/2023,ETANOL,7.14
D`MAIS,13/02/2023,DIESEL,11.58
D`MAIS,06/02/2023,DIESEL,12.18
D`MAIS,06/03/2023,GASOLINA,5.19
D`MAIS,13/03/2023,GASOLINA,10.38
D`MAIS,13/03/2023,DIESEL S10,11.58
D`MAIS,13/03/2023,GASOLINA ADITIVADA,10.5
D`MAIS,06/03/2023,ETANOL,3.74
D`MAIS,06/03/2023,GASOLINA ADITIVADA,5.25
D`MAIS,03/03/2023,GASOLINA ADITIVADA,10.5
D`MAIS,13/03/2023,ETANOL,7.38
D`MAIS,03/03/2023,GASOLINA,10.38
D`MAIS,13/03/2023,DIESEL,11.38
D`MAIS,06/03/2023,DIESEL,5.69
D`MAIS,03/03/2023,DIESEL,11.38
D`MAIS,03/03/2023,ETANOL,7.48
D`MAIS,06/03/2023,DIESEL S10,5.79
D`MAIS,03/03/2023,DIESEL S10,11.58
D`MAIS,30/03/2023,DIESEL S10,11.18
D`MAIS,20/03/2023,GASOLINA ADITIVADA,10.5
D`MAIS,30/03/2023,GASOLINA,9.92
D`MAIS,30/03/2023,ETANOL,7.18
D`MAIS,20/03/2023,DIESEL,11.38
D`MAIS,03/04/2023,ETANOL,7.18
D`MAIS,20/03/2023,GASOLINA,10.38
D`MAIS,20/03/2023,DIESEL S10,11.58
D`MAIS,10/04/2023,GASOLINA,10.18
D`MAIS,10/04/2023,ETANOL,7.38
D`MAIS,03/04/2023,DIESEL,10.98
D`MAIS,30/03/2023,GASOLINA ADITIVADA,10.1
D`MAIS,20/03/2023,ETANOL,7.38
D`MAIS,03/04/2023,GASOLINA ADITIVADA,10.1
D`MAIS,30/03/2023,DIESEL,10.98
D`MAIS,03/04/2023,DIESEL S10,11.18
D`MAIS,10/04/2023,DIESEL,10.98
D`MAIS,03/04/2023,GASOLINA,9.92
D`MAIS,10/04/2023,GASOLINA ADITIVADA,10.34
D`MAIS,10/04/2023,DIESEL S10,11.18
D`MAIS,20/04/2023,ETANOL,7.86
D`MAIS,04/05/2023,GASOLINA ADITIVADA,10.46
D`MAIS,24/04/2023,DIESEL,5.49
