Bandeira,Data da Coleta,Produto,Valor de Venda
EQUADOR,25/01/2023,DIESEL S10,7.19
EQUADOR,23/01/2023,ETANOL,8.58
EQUADOR,24/01/2023,GASOLINA,11.13
EQUADOR,10/01/2023,ETANOL,13.07
EQUADOR,09/01/2023,GASOLINA ADITIVADA,4.99
EQUADOR,02/01/2023,DIESEL S10,13.78
EQUADOR,17/01/2023,GASOLINA ADITIVADA,4.99
EQUADOR,23/01/2023,GASOLINA,19.91
EQUADOR,17/01/2023,GASOLINA,14.87
EQUADOR,17/01/2023,ETANOL,8.58
EQUADOR,02/01/2023,GASOLINA ADITIVADA,10.13
EQUADOR,16/01/2023,GASOLINA,9.98
EQUADOR,04/01/2023,GASOLINA,5.21
EQUADOR,03/01/2023,ETANOL,8.58
EQUADOR,03/01/2023,DIESEL S10,20.26
EQUADOR,05/01/2023,DIESEL S10,7.49
EQUADOR,24/01/2023,DIESEL S10,14.98
EQUADOR,17/01/2023,DIESEL,13.49
EQUADOR,17/01/2023,DIESEL S10,20.46
EQUADOR,23/01/2023,DIESEL S10,26.75
EQUADOR,10/01/2023,DIESEL,20.02
EQUADOR,04/01/2023,DIESEL,7.46
EQUADOR,19/01/2023,DIESEL,7.46
EQUADOR,03/01/2023,GASOLINA ADITIVADA,15.51
EQUADOR,16/01/2023,DIESEL S10,13.78
EQUADOR,05/01/2023,GASOLINA,5.99
EQUADOR,23/01/2023,DIESEL,6.62
EQUADOR,09/01/2023,GASOLINA,9.98
EQUADOR,19/01/2023,DIESEL S10,7.49
EQUADOR,03/01/2023,GASOLINA,15.25
EQUADOR,04/01/2023,DIESEL S10,7.49
EQUADOR,10/01/2023,GASOLINA,19.71
EQUADOR,03/01/2023,DIESEL,13.32
EQUADOR,10/01/2023,GASOLINA ADITIVADA,4.99
EQUADOR,09/01/2023,DIESEL S10,13.78
EQUADOR,23/01/2023,GASOLINA ADITIVADA,9.98
EQUADOR,02/01/2023,GASOLINA,9.98
EQUADOR,19/01/2023,GASOLINA,5.14
EQUADOR,24/01/2023,DIESEL,7.46
EQUADOR,10/01/2023,DIESEL S10,27.0
EQUADOR,25/01/2023,GASOLINA,5.69
EQUADOR,16/01/2023,GASOLINA ADITIVADA,4.99
EQUADOR,08/02/2023,DIESEL,7.46
EQUADOR,13/02/2023,GASOLINA ADITIVADA,10.88
EQUADOR,30/01/2023,ETANOL,3.99
EQUADOR,31/01/2023,DIESEL,13.0
EQUADOR,20/02/2023,GASOLINA,26.95
EQUADOR,13/02/2023,GASOLINA,16.24
EQUADOR,31/01/2023,GASOLINA,15.81
EQUADOR,20/02/2023,DIESEL S10,31.06
EQUADOR,30/01/2023,GASOLINA,16.77
EQUADOR,23/02/2023,DIESEL S10,21.66
EQUADOR,06/02/2023,ETANOL,4.59
EQUADOR,30/01/2023,DIESEL S10,20.07
EQUADOR,06/02/2023,DIESEL,6.62
EQUADOR,31/01/2023,DIESEL S10,20.57
EQUADOR,09/02/2023,GASOLINA ADITIVADA,9.87
EQUADOR,07/02/2023,DIESEL S10,14.41
EQUADOR,08/02/2023,GASOLINA,16.35
EQUADOR,09/02/2023,GASOLINA,9.67
EQUADOR,20/02/2023,DIESEL,6.28
EQUADOR,07/02/2023,GASOLINA,10.94
EQUADOR,08/02/2023,DIESEL S10,21.27
EQUADOR,07/02/2023,GASOLINA ADITIVADA,5.39
EQUADOR,15/02/2023,GASOLINA,22.34
EQUADOR,07/02/2023,DIESEL,6.89
EQUADOR,20/02/2023,ETANOL,3.99
