Bandeira,Data da Coleta,Produto,Valor de Venda
ESTRADA,20/01/2023,GASOLINA,4.99
ESTRADA,20/01/2023,ETANOL,3.94
ESTRADA,23/01/2023,DIESEL S10,6.44
ESTRADA,23/01/2023,DIESEL,6.32
ESTRADA,23/01/2023,GASOLINA ADITIVADA,5.09
ESTRADA,20/01/2023,GASOLINA ADITIVADA,5.09
ESTRADA,20/01/2023,DIESEL,6.32
ESTRADA,23/01/2023,GASOLINA,4.99
ESTRADA,23/01/2023,ETANOL,3.94
ESTRADA,20/01/2023,DIESEL S10,6.44
ESTRADA,09/02/2023,GASOLINA ADITIVADA,5.39
ESTRADA,09/02/2023,ETANOL,4.09
ESTRADA,09/02/2023,GASOLINA,5.29
ESTRADA,16/02/2023,GASOLINA ADITIVADA,5.34
ESTRADA,16/02/2023,ETANOL,3.99
ESTRADA,09/02/2023,DIESEL,6.09
ESTRADA,16/02/2023,GASOLINA,5.24
ESTRADA,09/02/2023,DIESEL S10,6.19
ESTRADA,16/02/2023,DIESEL,5.84
ESTRADA,16/02/2023,DIESEL S10,5.94
ESTRADA,01/03/2023,GASOLINA,5.54
ESTRADA,01/03/2023,DIESEL,5.74
ESTRADA,01/03/2023,DIESEL S10,5.84
ESTRADA,01/03/2023,ETANOL,3.99
ESTRADA,01/03/2023,GASOLINA ADITIVADA,5.64
ESTRADA,30/03/2023,ETANOL,3.99
ESTRADA,30/03/2023,DIESEL S10,5.74
ESTRADA,30/03/2023,GASOLINA ADITIVADA,5.84
ESTRADA,30/03/2023,GASOLINA,5.74
ESTRADA,30/03/2023,DIESEL,5.64
ESTRADA,19/04/2023,ETANOL,3.94
ESTRADA,05/05/2023,DIESEL,5.49
ESTRADA,19/04/2023,GASOLINA,5.74
ESTRADA,05/05/2023,GASOLINA,5.59
ESTRADA,05/05/2023,GASOLINA ADITIVADA,5.69
ESTRADA,19/04/2023,DIESEL,5.54
ESTRADA,19/04/2023,GASOLINA ADITIVADA,5.84
ESTRADA,05/05/2023,DIESEL S10,5.54
ESTRADA,19/04/2023,DIESEL S10,5.59
ESTRADA,05/05/2023,ETANOL,3.99
ESTRADA,10/05/2023,ETANOL,3.99
ESTRADA,25/05/2023,GASOLINA,5.29
ESTRADA,16/05/2023,DIESEL S10,5.27
ESTRADA,25/05/2023,ETANOL,3.89
ESTRADA,25/05/2023,DIESEL,5.03
ESTRADA,10/05/2023,GASOLINA ADITIVADA,5.69
ESTRADA,10/05/2023,DIESEL S10,5.27
ESTRADA,10/05/2023,GASOLINA,5.59
ESTRADA,16/05/2023,DIESEL,5.26
ESTRADA,10/05/2023,DIESEL,5.26
ESTRADA,25/05/2023,GASOLINA ADITIVADA,5.39
ESTRADA,16/05/2023,ETANOL,3.89
ESTRADA,16/05/2023,GASOLINA,5.49
ESTRADA,25/05/2023,DIESEL S10,5.18
ESTRADA,16/05/2023,GASOLINA ADITIVADA,5.59
ESTRADA,31/05/2023,GASOLINA,5.29
ESTRADA,22/06/2023,ETANOL,3.84
ESTRADA,31/05/2023,ETANOL,3.89
ESTRADA,22/06/2023,GASOLINA ADITIVADA,5.64
ESTRADA,22/06/2023,GASOLINA,5.54
ESTRADA,22/06/2023,DIESEL S10,5.18
ESTRADA,31/05/2023,DIESEL,5.03
ESTRADA,31/05/2023,DIESEL S10,5.18
ESTRADA,31/05/2023,GASOLINA ADITIVADA,5.39
ESTRADA,22/06/2023,DIESEL,5.05
ESTRADA,26/06/2023,DIESEL S10,5.09
ESTRADA,26/06/2023,GASOLINA ADITIVADA,5.64
ESTRADA,26/06/2023,DIESEL,4.99
ESTRADA,26/06/2023,GASOLINA,5.54
ESTRADA,26/06/2023,ETANOL,3.94
