Bandeira,Data da Coleta,Produto,Valor de Venda
FAN,17/01/2023,DIESEL,6.27
FAN,03/01/2023,DIESEL S10,6.62
FAN,12/01/2023,ETANOL,4.19
FAN,09/01/2023,GASOLINA,4.89
FAN,03/01/2023,GASOLINA ADITIVADA,4.89
FAN,04/01/2023,GASOLINA,10.38
FAN,09/01/2023,GASOLINA ADITIVADA,4.89
FAN,04/01/2023,GASOLINA ADITIVADA,5.29
FAN,24/01/2023,DIESEL,6.49
FAN,24/01/2023,GASOLINA,5.19
FAN,17/01/2023,DIESEL S10,6.37
FAN,09/01/2023,DIESEL S10,6.39
FAN,16/01/2023,GASOLINA,5.19
FAN,04/01/2023,DIESEL S10,13.21
FAN,18/01/2023,DIESEL,6.59
FAN,04/01/2023,DIESEL,6.49
FAN,23/01/2023,ETANOL,4.11
FAN,23/01/2023,GASOLINA ADITIVADA,4.98
FAN,16/01/2023,GASOLINA ADITIVADA,5.29
FAN,18/01/2023,DIESEL S10,6.69
FAN,03/01/2023,ETANOL,4.11
FAN,23/01/2023,GASOLINA,4.98
FAN,23/01/2023,DIESEL S10,6.37
FAN,17/01/2023,GASOLINA,4.98
FAN,17/01/2023,GASOLINA ADITIVADA,4.98
FAN,03/01/2023,DIESEL,6.72
FAN,24/01/2023,ETANOL,4.19
FAN,17/01/2023,ETANOL,4.11
FAN,04/01/2023,ETANOL,8.17
FAN,12/01/2023,GASOLINA ADITIVADA,5.19
FAN,24/01/2023,DIESEL S10,6.59
FAN,16/01/2023,DIESEL S10,6.59
FAN,09/01/2023,DIESEL,6.72
FAN,18/01/2023,ETANOL,4.19
FAN,03/01/2023,GASOLINA,4.89
FAN,23/01/2023,DIESEL,6.37
FAN,09/01/2023,ETANOL,4.11
FAN,12/01/2023,DIESEL S10,6.59
FAN,16/01/2023,ETANOL,4.19
FAN,18/01/2023,GASOLINA,5.19
FAN,06/02/2023,ETANOL,4.11
FAN,06/02/2023,DIESEL,6.27
FAN,08/02/2023,DIESEL,12.98
FAN,20/02/2023,ETANOL,8.38
FAN,08/02/2023,GASOLINA,10.96
FAN,20/02/2023,GASOLINA ADITIVADA,4.99
FAN,13/02/2023,DIESEL,6.16
FAN,13/02/2023,GASOLINA ADITIVADA,4.99
FAN,01/02/2023,DIESEL,6.49
FAN,06/02/2023,GASOLINA ADITIVADA,4.99
FAN,14/02/2023,GASOLINA,5.39
FAN,20/02/2023,DIESEL,12.07
FAN,01/02/2023,GASOLINA ADITIVADA,5.58
FAN,08/02/2023,GASOLINA ADITIVADA,5.58
FAN,20/02/2023,DIESEL S10,12.39
FAN,06/02/2023,DIESEL S10,6.37
FAN,08/02/2023,DIESEL S10,6.59
FAN,14/02/2023,ETANOL,4.19
FAN,31/01/2023,DIESEL S10,12.96
FAN,14/02/2023,DIESEL S10,6.32
FAN,13/02/2023,DIESEL S10,6.37
FAN,13/02/2023,GASOLINA,4.97
FAN,31/01/2023,DIESEL,12.76
FAN,01/02/2023,GASOLINA,5.48
FAN,06/02/2023,GASOLINA,4.97
FAN,20/02/2023,GASOLINA,10.34
FAN,31/01/2023,GASOLINA ADITIVADA,5.09
FAN,21/02/2023,ETANOL,4.09
FAN,21/02/2023,GASOLINA,5.39
FAN,31/01/2023,ETANOL,8.3
FAN,31/01/2023,GASOLINA,10.46
FAN,21/02/2023,DIESEL S10,6.02
FAN,01/02/2023,ETANOL,4.19
FAN,08/02/2023,ETANOL,8.38
FAN,13/02/2023,ETANOL,4.29
FAN,21/02/2023,GASOLINA ADITIVADA,5.49
FAN,14/02/2023,DIESEL,6.02
FAN,27/02/2023,GASOLINA,10.34
FAN,28/02/2023,ETANOL,4.09
FAN,07/03/2023,ETANOL,4.29
FAN,28/02/2023,GASOLINA,5.39
FAN,09/03/2023,DIESEL,12.04
FAN,13/03/2023,DIESEL S10,12.47
FAN,13/03/2023,GASOLINA ADITIVADA,5.49
FAN,09/03/2023,GASOLINA,11.98
FAN,13/03/2023,GASOLINA,11.48
FAN,28/02/2023,GASOLINA ADITIVADA,5.49
FAN,13/03/2023,ETANOL,8.67
FAN,13/03/2023,DIESEL,12.09
FAN,28/02/2023,DIESEL,6.02
FAN,27/02/2023,DIESEL,12.18
FAN,09/03/2023,GASOLINA ADITIVADA,6.09
FAN,07/03/2023,GASOLINA,5.49
FAN,07/03/2023,GASOLINA ADITIVADA,5.49
FAN,07/03/2023,DIESEL,6.05
FAN,09/03/2023,ETANOL,8.76
FAN,27/02/2023,ETANOL,8.38
FAN,09/03/2023,DIESEL S10,6.32
FAN,07/03/2023,DIESEL S10,6.07
FAN,27/02/2023,DIESEL S10,12.39
FAN,27/02/2023,GASOLINA ADITIVADA,4.99
FAN,23/03/2023,DIESEL S10,5.99
FAN,04/04/2023,DIESEL S10,5.99
FAN,29/03/2023,GASOLINA ADITIVADA,5.92
FAN,04/04/2023,DIESEL,5.89
FAN,27/03/2023,DIESEL S10,5.99
FAN,28/03/2023,DIESEL S10,5.95
FAN,20/03/2023,DIESEL,5.89
FAN,22/03/2023,ETANOL,4.38
FAN,27/03/2023,GASOLINA ADITIVADA,5.44
FAN,20/03/2023,DIESEL S10,6.15
FAN,28/03/2023,GASOLINA,5.82
FAN,22/03/2023,DIESEL,5.89
FAN,04/04/2023,ETANOL,4.28
FAN,03/04/2023,ETANOL,4.38
FAN,23/03/2023,ETANOL,4.28
FAN,23/03/2023,DIESEL,5.99
FAN,04/04/2023,GASOLINA ADITIVADA,5.44
FAN,04/04/2023,GASOLINA,5.44
FAN,28/03/2023,ETANOL,4.38
FAN,23/03/2023,GASOLINA ADITIVADA,5.44
FAN,22/03/2023,GASOLINA,5.99
FAN,29/03/2023,ETANOL,4.38
FAN,20/03/2023,ETANOL,4.38
FAN,03/04/2023,GASOLINA,5.82
FAN,27/03/2023,ETANOL,4.28
FAN,23/03/2023,GASOLINA,5.44
FAN,20/03/2023,GASOLINA,5.99
FAN,27/03/2023,DIESEL,5.89
FAN,29/03/2023,DIESEL S10,5.65
FAN,27/03/2023,GASOLINA,5.44
FAN,03/04/2023,DIESEL S10,5.95
FAN,29/03/2023,GASOLINA,5.82
FAN,28/03/2023,DIESEL,5.65
FAN,03/04/2023,DIESEL,5.65
FAN,22/03/2023,GASOLINA ADITIVADA,6.09
FAN,24/04/2023,ETANOL,8.66
FAN,11/04/2023,ETANOL,8.66
FAN,18/04/2023,DIESEL,11.38
FAN,02/05/2023,DIESEL S10,5.69
FAN,18/04/2023,ETANOL,8.66
FAN,18/04/2023,GASOLINA,11.43
FAN,11/04/2023,GASOLINA ADITIVADA,11.53
FAN,02/05/2023,ETANOL,4.28
FAN,02/05/2023,GASOLINA ADITIVADA,5.44
FAN,26/04/2023,ETANOL,4.38
FAN,11/04/2023,DIESEL S10,5.99
FAN,17/04/2023,DIESEL,5.69
FAN,11/04/2023,DIESEL,11.58
FAN,18/04/2023,DIESEL S10,11.98
FAN,02/05/2023,GASOLINA,5.44
FAN,24/04/2023,DIESEL,11.38
FAN,26/04/2023,GASOLINA,5.39
FAN,11/04/2023,GASOLINA,11.43
FAN,18/04/2023,GASOLINA ADITIVADA,5.44
FAN,24/04/2023,DIESEL S10,5.99
FAN,17/04/2023,GASOLINA ADITIVADA,6.09
FAN,26/04/2023,DIESEL S10,5.99
FAN,24/04/2023,GASOLINA,11.43
FAN,26/04/2023,DIESEL,5.69
FAN,02/05/2023,DIESEL,5.69
FAN,17/04/2023,ETANOL,4.38
FAN,17/04/2023,GASOLINA,5.99
FAN,24/04/2023,GASOLINA ADITIVADA,11.53
FAN,17/05/2023,DIESEL,5.19
FAN,09/05/2023,DIESEL S10,5.49
FAN,09/05/2023,GASOLINA,11.43
FAN,09/05/2023,DIESEL,10.53
FAN,09/05/2023,GASOLINA ADITIVADA,11.53
FAN,23/05/2023,DIESEL,9.84
FAN,17/05/2023,DIESEL S10,5.39
FAN,16/05/2023,GASOLINA,16.67
FAN,23/05/2023,DIESEL S10,15.39
FAN,09/05/2023,ETANOL,8.66
FAN,23/05/2023,GASOLINA,16.19
FAN,16/05/2023,DIESEL S10,10.68
FAN,08/05/2023,GASOLINA,5.99
FAN,16/05/2023,ETANOL,12.93
FAN,24/05/2023,GASOLINA,5.66
FAN,24/05/2023,ETANOL,4.38
FAN,16/05/2023,DIESEL,10.64
FAN,24/05/2023,DIESEL S10,4.85
FAN,17/05/2023,GASOLINA,5.99
FAN,23/05/2023,GASOLINA ADITIVADA,5.44
FAN,08/05/2023,ETANOL,4.38
FAN,17/05/2023,ETANOL,4.38
FAN,08/05/2023,DIESEL,5.24
FAN,23/05/2023,ETANOL,12.93
FAN,24/05/2023,GASOLINA ADITIVADA,5.76
FAN,16/05/2023,GASOLINA ADITIVADA,11.53
FAN,08/05/2023,DIESEL S10,5.49
FAN,05/06/2023,DIESEL,10.05
FAN,05/06/2023,GASOLINA ADITIVADA,5.29
FAN,08/06/2023,GASOLINA ADITIVADA,5.76
FAN,07/06/2023,DIESEL S10,4.95
FAN,30/05/2023,GASOLINA ADITIVADA,5.19
FAN,12/06/2023,DIESEL,5.16
FAN,08/06/2023,GASOLINA,5.66
FAN,07/06/2023,ETANOL,4.38
FAN,01/06/2023,DIESEL S10,4.85
FAN,30/05/2023,DIESEL S10,10.15
FAN,05/06/2023,DIESEL S10,4.99
FAN,13/06/2023,ETANOL,9.09
FAN,08/06/2023,ETANOL,4.38
FAN,13/06/2023,GASOLINA,11.34
FAN,30/05/2023,DIESEL,4.89
FAN,30/05/2023,GASOLINA,10.24
FAN,12/06/2023,ETANOL,4.27
FAN,13/06/2023,DIESEL S10,10.25
FAN,01/06/2023,GASOLINA ADITIVADA,5.76
FAN,12/06/2023,GASOLINA,5.19
FAN,08/06/2023,DIESEL S10,4.85
FAN,13/06/2023,GASOLINA ADITIVADA,5.39
FAN,01/06/2023,ETANOL,4.38
FAN,13/06/2023,DIESEL,9.95
FAN,07/06/2023,DIESEL,4.85
FAN,07/06/2023,GASOLINA,5.66
FAN,01/06/2023,GASOLINA,5.66
FAN,05/06/2023,ETANOL,8.71
FAN,05/06/2023,GASOLINA,10.48
