Bandeira,Data da Coleta,Produto,Valor de Venda
FEDERAL ENERGIA,24/01/2023,GASOLINA,4.59
FEDERAL ENERGIA,17/01/2023,GASOLINA,4.65
FEDERAL ENERGIA,17/01/2023,DIESEL,6.09
FEDERAL ENERGIA,24/01/2023,ETANOL,3.89
FEDERAL ENERGIA,17/01/2023,GASOLINA ADITIVADA,4.65
FEDERAL ENERGIA,17/01/2023,DIESEL S10,6.19
FEDERAL ENERGIA,17/01/2023,ETANOL,3.89
FEDERAL ENERGIA,24/01/2023,GASOLINA ADITIVADA,4.59
FEDERAL ENERGIA,31/01/2023,GASOLINA,4.79
FEDERAL ENERGIA,20/02/2023,DIESEL S10,5.89
FEDERAL ENERGIA,23/02/2023,ETANOL,7.88
FEDERAL ENERGIA,20/02/2023,DIESEL,5.79
FEDERAL ENERGIA,31/01/2023,ETANOL,3.89
FEDERAL ENERGIA,20/02/2023,GASOLINA ADITIVADA,4.75
FEDERAL ENERGIA,20/02/2023,GASOLINA,4.75
FEDERAL ENERGIA,23/02/2023,GASOLINA,9.77
FEDERAL ENERGIA,23/02/2023,DIESEL S10,5.79
FEDERAL ENERGIA,31/01/2023,DIESEL,6.09
FEDERAL ENERGIA,23/02/2023,GASOLINA ADITIVADA,4.79
FEDERAL ENERGIA,31/01/2023,DIESEL S10,6.19
FEDERAL ENERGIA,31/01/2023,GASOLINA ADITIVADA,4.79
FEDERAL ENERGIA,20/02/2023,ETANOL,3.89
FEDERAL ENERGIA,13/04/2023,ETANOL,4.09
FEDERAL ENERGIA,28/03/2023,DIESEL,5.49
FEDERAL ENERGIA,28/03/2023,GASOLINA ADITIVADA,5.09
FEDERAL ENERGIA,28/03/2023,GASOLINA,5.09
FEDERAL ENERGIA,28/03/2023,DIESEL S10,5.59
FEDERAL ENERGIA,13/04/2023,GASOLINA ADITIVADA,5.19
FEDERAL ENERGIA,28/03/2023,ETANOL,3.89
FEDERAL ENERGIA,13/04/2023,GASOLINA,5.19
FEDERAL ENERGIA,26/04/2023,DIESEL,5.35
FEDERAL ENERGIA,05/05/2023,GASOLINA ADITIVADA,5.09
FEDERAL ENERGIA,20/04/2023,GASOLINA,10.38
FEDERAL ENERGIA,26/04/2023,GASOLINA,5.04
FEDERAL ENERGIA,05/05/2023,DIESEL S10,5.17
FEDERAL ENERGIA,20/04/2023,DIESEL S10,5.24
FEDERAL ENERGIA,20/04/2023,ETANOL,8.17
FEDERAL ENERGIA,05/05/2023,ETANOL,8.27
FEDERAL ENERGIA,20/04/2023,GASOLINA ADITIVADA,5.19
FEDERAL ENERGIA,26/04/2023,DIESEL S10,5.45
FEDERAL ENERGIA,26/04/2023,GASOLINA ADITIVADA,5.04
FEDERAL ENERGIA,26/04/2023,ETANOL,3.99
FEDERAL ENERGIA,05/05/2023,GASOLINA,10.26
FEDERAL ENERGIA,09/05/2023,GASOLINA ADITIVADA,5.09
FEDERAL ENERGIA,09/05/2023,GASOLINA,5.09
FEDERAL ENERGIA,17/05/2023,DIESEL S10,5.03
FEDERAL ENERGIA,17/05/2023,GASOLINA,5.09
FEDERAL ENERGIA,17/05/2023,ETANOL,4.18
FEDERAL ENERGIA,08/05/2023,ETANOL,4.18
FEDERAL ENERGIA,08/05/2023,GASOLINA,5.17
FEDERAL ENERGIA,09/05/2023,ETANOL,4.09
FEDERAL ENERGIA,08/05/2023,DIESEL S10,5.17
FEDERAL ENERGIA,22/06/2023,ETANOL,4.19
FEDERAL ENERGIA,01/06/2023,ETANOL,3.99
FEDERAL ENERGIA,01/06/2023,DIESEL S10,4.89
FEDERAL ENERGIA,05/06/2023,GASOLINA ADITIVADA,5.29
FEDERAL ENERGIA,01/06/2023,GASOLINA,5.09
FEDERAL ENERGIA,22/06/2023,DIESEL S10,4.64
FEDERAL ENERGIA,01/06/2023,DIESEL,4.79
FEDERAL ENERGIA,05/06/2023,GASOLINA,5.29
FEDERAL ENERGIA,22/06/2023,GASOLINA,5.39
FEDERAL ENERGIA,01/06/2023,GASOLINA ADITIVADA,5.09
FEDERAL ENERGIA,05/06/2023,ETANOL,4.19
FEDERAL ENERGIA,27/06/2023,GASOLINA,5.29
FEDERAL ENERGIA,27/06/2023,GASOLINA ADITIVADA,5.29
FEDERAL ENERGIA,27/06/2023,ETANOL,3.99
FEDERAL ENERGIA,27/06/2023,DIESEL S10,4.75
FEDERAL ENERGIA,27/06/2023,DIESEL,4.65
