Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
NE,PB,CAMPINA GRANDE,POSTO DE COMBUSTIVEIS ANEL DO BREJO LTDA,08.587.065/0001-97,RUA DR VASCONCELOS,127,,ALTO BRANCO,58102-501,ETANOL,31/01/2023,3.89,,R$ / litro,FEDERAL ENERGIA,2023-11-21
NE,PB,CAMPINA GRANDE,POSTO DE COMBUSTIVEIS ANEL DO BREJO LTDA,08.587.065/0001-97,RUA DR VASCONCELOS,127,,ALTO BRANCO,58102-501,DIESEL S10,31/01/2023,6.19,,R$ / litro,FEDERAL ENERGIA,2023-11-21
NE,PB,CAMPINA GRANDE,POSTO DE COMBUSTIVEIS ANEL DO BREJO LTDA,08.587.065/0001-97,RUA DR VASCONCELOS,127,,ALTO BRANCO,58102-501,DIESEL,31/01/2023,6.09,,R$ / litro,FEDERAL ENERGIA,2023-11-21
NE,PB,CAMPINA GRANDE,POSTO DE COMBUSTIVEIS ANEL DO BREJO LTDA,08.587.065/0001-97,RUA DR VASCONCELOS,127,,ALTO BRANCO,58102-501,GASOLINA ADITIVADA,31/01/2023,4.79,,R$ / litro,FEDERAL ENERGIA,2023-11-21
NE,PB,CAMPINA GRANDE,POSTO DE COMBUSTIVEIS ANEL DO BREJO LTDA,08.587.065/0001-97,RUA DR VASCONCELOS,127,,ALTO BRANCO,58102-501,GASOLINA,31/01/2023,4.79,,R$ / litro,FEDERAL ENERGIA,2023-11-21
NE,PB,CAMPINA GRANDE,POSTO DE COMBUSTIVEIS ANEL DO BREJO LTDA,08.587.065/0001-97,RUA DR VASCONCELOS,127,,ALTO BRANCO,58102-501,ETANOL,20/02/2023,3.89,,R$ / litro,FEDERAL ENERGIA,2023-11-21
NE,PB,CAMPINA GRANDE,POSTO DE COMBUSTIVEIS ANEL DO BREJO LTDA,08.587.065/0001-97,RUA DR VASCONCELOS,127,,ALTO BRANCO,58102-501,DIESEL S10,20/02/2023,5.89,,R$ / litro,FEDERAL ENERGIA,2023-11-21
NE,PB,CAMPINA GRANDE,POSTO DE COMBUSTIVEIS ANEL DO BREJO LTDA,08.587.065/0001-97,RUA DR VASCONCELOS,127,,ALTO BRANCO,58102-501,DIESEL,20/02/2023,5.79,,R$ / litro,FEDERAL ENERGIA,2023-11-21
NE,PB,CAMPINA GRANDE,POSTO DE COMBUSTIVEIS ANEL DO BREJO LTDA,08.587.065/0001-97,RUA DR VASCONCELOS,127,,ALTO BRANCO,58102-501,GASOLINA ADITIVADA,20/02/2023,4.75,,R$ / litro,FEDERAL ENERGIA,2023-11-21
NE,PB,CAMPINA GRANDE,POSTO DE COMBUSTIVEIS ANEL DO BREJO LTDA,08.587.065/0001-97,RUA DR VASCONCELOS,127,,ALTO BRANCO,58102-501,GASOLINA,20/02/2023,4.75,,R$ / litro,FEDERAL ENERGIA,2023-11-21
NE,PE,JABOATAO DOS GUARARAPES,POSTO CURADAO LTDA - ME,08.687.340/0001-44,RUA LEONARDO DA VINCI,S/N,LOTE 326,CURADO II,54220-000,ETANOL,23/02/2023,3.89,,R$ / litro,FEDERAL ENERGIA,2023-11-21
NE,PE,JABOATAO DOS GUARARAPES,POSTO CURADAO LTDA - ME,08.687.340/0001-44,RUA LEONARDO DA VINCI,S/N,LOTE 326,CURADO II,54220-000,GASOLINA ADITIVADA,23/02/2023,4.79,,R$ / litro,FEDERAL ENERGIA,2023-11-21
NE,PE,JABOATAO DOS GUARARAPES,POSTO CURADAO LTDA - ME,08.687.340/0001-44,RUA LEONARDO DA VINCI,S/N,LOTE 326,CURADO II,54220-000,GASOLINA,23/02/2023,4.79,,R$ / litro,FEDERAL ENERGIA,2023-11-21
NE,PE,JABOATAO DOS GUARARAPES,POSTO FEITOSA LUZ EIRELI,05.808.470/0001-08,RODOVIA EMPRESARIO JOAO SANTOS FILHO,S/N,KM 2 34,MARCOS FREIRE,54360-040,ETANOL,23/02/2023,3.99,,R$ / litro,FEDERAL ENERGIA,2023-11-21
NE,PE,JABOATAO DOS GUARARAPES,POSTO FEITOSA LUZ EIRELI,05.808.470/0001-08,RODOVIA EMPRESARIO JOAO SANTOS FILHO,S/N,KM 2 34,MARCOS FREIRE,54360-040,DIESEL S10,23/02/2023,5.79,,R$ / litro,FEDERAL ENERGIA,2023-11-21
NE,PE,JABOATAO DOS GUARARAPES,POSTO FEITOSA LUZ EIRELI,05.808.470/0001-08,RODOVIA EMPRESARIO JOAO SANTOS FILHO,S/N,KM 2 34,MARCOS FREIRE,54360-040,GASOLINA,23/02/2023,4.98,,R$ / litro,FEDERAL ENERGIA,2023-11-21
