Bandeira,Data da Coleta,Produto,Valor de Venda
IDAZA,10/01/2023,GASOLINA ADITIVADA,5.09
IDAZA,10/01/2023,ETANOL,3.99
IDAZA,09/01/2023,DIESEL,6.89
IDAZA,09/01/2023,GASOLINA ADITIVADA,5.14
IDAZA,24/01/2023,GASOLINA ADITIVADA,9.94
IDAZA,17/01/2023,DIESEL S10,13.1
IDAZA,16/01/2023,GASOLINA ADITIVADA,4.89
IDAZA,24/01/2023,DIESEL,12.61
IDAZA,02/01/2023,DIESEL,6.69
IDAZA,02/01/2023,DIESEL S10,6.79
IDAZA,09/01/2023,ETANOL,4.99
IDAZA,10/01/2023,GASOLINA,5.09
IDAZA,02/01/2023,ETANOL,3.69
IDAZA,16/01/2023,GASOLINA,4.89
IDAZA,11/01/2023,GASOLINA,4.89
IDAZA,17/01/2023,GASOLINA,10.18
IDAZA,24/01/2023,DIESEL S10,6.39
IDAZA,10/01/2023,DIESEL S10,6.41
IDAZA,17/01/2023,GASOLINA ADITIVADA,10.23
IDAZA,03/01/2023,DIESEL,19.29
IDAZA,03/01/2023,GASOLINA ADITIVADA,20.07
IDAZA,03/01/2023,ETANOL,8.74
IDAZA,17/01/2023,DIESEL,6.59
IDAZA,11/01/2023,GASOLINA ADITIVADA,4.89
IDAZA,03/01/2023,DIESEL S10,13.28
IDAZA,03/01/2023,GASOLINA,10.18
IDAZA,09/01/2023,DIESEL S10,6.99
IDAZA,02/01/2023,GASOLINA,4.99
IDAZA,11/01/2023,ETANOL,3.75
IDAZA,17/01/2023,ETANOL,8.98
IDAZA,16/01/2023,ETANOL,3.75
IDAZA,09/01/2023,GASOLINA,5.09
IDAZA,24/02/2023,GASOLINA,5.29
IDAZA,15/02/2023,GASOLINA ADITIVADA,5.29
IDAZA,31/01/2023,ETANOL,12.67
IDAZA,22/02/2023,GASOLINA,4.99
IDAZA,08/02/2023,DIESEL S10,6.69
IDAZA,16/02/2023,GASOLINA ADITIVADA,5.34
IDAZA,15/02/2023,ETANOL,3.99
IDAZA,24/02/2023,DIESEL S10,6.39
IDAZA,08/02/2023,GASOLINA ADITIVADA,5.34
IDAZA,16/02/2023,DIESEL S10,6.39
