Bandeira,Data da Coleta,Produto,Valor de Venda
IPIRANGA,16/01/2023,GASOLINA,1205.81
IPIRANGA,12/01/2023,GASOLINA ADITIVADA,536.11
IPIRANGA,10/01/2023,GNV,119.7
IPIRANGA,26/01/2023,DIESEL,301.79
IPIRANGA,10/01/2023,DIESEL,832.75
IPIRANGA,13/01/2023,GASOLINA ADITIVADA,19.92
IPIRANGA,02/01/2023,GASOLINA ADITIVADA,1040.32
IPIRANGA,09/01/2023,DIESEL S10,1097.85
IPIRANGA,17/01/2023,ETANOL,998.74
IPIRANGA,06/01/2023,ETANOL,17.03
IPIRANGA,24/01/2023,ETANOL,911.04
IPIRANGA,03/01/2023,DIESEL,673.29
IPIRANGA,25/01/2023,GASOLINA,1222.96
IPIRANGA,16/01/2023,ETANOL,832.88
IPIRANGA,11/01/2023,DIESEL S10,1003.75
IPIRANGA,04/01/2023,DIESEL S10,890.65
IPIRANGA,24/01/2023,DIESEL,812.82
IPIRANGA,20/01/2023,GASOLINA ADITIVADA,88.82
IPIRANGA,02/01/2023,DIESEL,512.19
IPIRANGA,26/01/2023,ETANOL,394.95
IPIRANGA,20/01/2023,ETANOL,88.76
IPIRANGA,04/01/2023,DIESEL,517.54
IPIRANGA,20/01/2023,DIESEL S10,76.15
IPIRANGA,11/01/2023,GNV,70.58
IPIRANGA,18/01/2023,DIESEL S10,928.09
IPIRANGA,11/01/2023,ETANOL,668.85
IPIRANGA,04/01/2023,GASOLINA ADITIVADA,769.75
IPIRANGA,19/01/2023,GASOLINA,479.41
IPIRANGA,03/01/2023,GASOLINA,1205.81
IPIRANGA,12/01/2023,GNV,34.17
IPIRANGA,02/01/2023,GASOLINA,1093.54
IPIRANGA,20/01/2023,DIESEL,93.76
IPIRANGA,06/01/2023,GASOLINA ADITIVADA,10.38
IPIRANGA,24/01/2023,DIESEL S10,1297.04
IPIRANGA,12/01/2023,ETANOL,462.86
IPIRANGA,12/01/2023,DIESEL,371.41
IPIRANGA,13/01/2023,ETANOL,7.99
IPIRANGA,20/01/2023,GASOLINA,110.09
IPIRANGA,09/01/2023,ETANOL,936.32
IPIRANGA,10/01/2023,GASOLINA,1403.09
IPIRANGA,24/01/2023,GASOLINA ADITIVADA,1259.55
IPIRANGA,23/01/2023,DIESEL S10,1392.72
IPIRANGA,11/01/2023,GASOLINA ADITIVADA,857.28
IPIRANGA,17/01/2023,DIESEL,931.85
IPIRANGA,23/01/2023,ETANOL,981.68
IPIRANGA,06/01/2023,DIESEL S10,18.56
IPIRANGA,19/01/2023,DIESEL,297.6
IPIRANGA,19/01/2023,GASOLINA ADITIVADA,426.0
IPIRANGA,18/01/2023,DIESEL,499.56
IPIRANGA,16/01/2023,DIESEL S10,1094.79
IPIRANGA,09/01/2023,GNV,107.52
IPIRANGA,03/01/2023,ETANOL,814.03
IPIRANGA,05/01/2023,ETANOL,573.5
IPIRANGA,03/01/2023,GNV,99.17
IPIRANGA,03/01/2023,DIESEL S10,1304.27
IPIRANGA,02/01/2023,DIESEL S10,905.16
IPIRANGA,05/01/2023,GASOLINA ADITIVADA,696.66
IPIRANGA,18/01/2023,GNV,52.62
IPIRANGA,25/01/2023,GNV,79.54
IPIRANGA,23/01/2023,DIESEL,822.56
IPIRANGA,24/01/2023,GNV,90.9
IPIRANGA,09/01/2023,GASOLINA,1276.93
IPIRANGA,23/01/2023,GASOLINA,1454.53
IPIRANGA,13/01/2023,GASOLINA,24.03
IPIRANGA,26/01/2023,GNV,9.29
IPIRANGA,04/01/2023,GASOLINA,792.58
IPIRANGA,06/01/2023,GASOLINA,20.46
IPIRANGA,10/01/2023,ETANOL,986.39
IPIRANGA,19/01/2023,GNV,14.92
IPIRANGA,04/01/2023,GNV,71.63
IPIRANGA,23/01/2023,GASOLINA ADITIVADA,1428.23
IPIRANGA,18/01/2023,GASOLINA ADITIVADA,780.96
IPIRANGA,10/01/2023,DIESEL S10,1496.09
IPIRANGA,26/01/2023,GASOLINA,549.28
IPIRANGA,05/01/2023,DIESEL S10,864.85
IPIRANGA,16/01/2023,DIESEL,675.18
IPIRANGA,04/01/2023,ETANOL,567.22
