Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
S,RS,SAPIRANGA,ABASTECEDORA DE COMBUSTIVEIS DA 20 LTDA,31.365.145/0001-10,AVENIDA VINTE DE SETEMBRO,6705,,HORIZONTE,93820-344,DIESEL S10,24/01/2023,6.29,,R$ / litro,IPIRANGA,2023-11-21
S,RS,SAPIRANGA,ABASTECEDORA DE COMBUSTIVEIS DA 20 LTDA,31.365.145/0001-10,AVENIDA VINTE DE SETEMBRO,6705,,HORIZONTE,93820-344,GASOLINA ADITIVADA,24/01/2023,4.89,,R$ / litro,IPIRANGA,2023-11-21
S,RS,SAPIRANGA,ABASTECEDORA DE COMBUSTIVEIS DA 20 LTDA,31.365.145/0001-10,AVENIDA VINTE DE SETEMBRO,6705,,HORIZONTE,93820-344,GASOLINA,24/01/2023,4.69,,R$ / litro,IPIRANGA,2023-11-21
S,RS,URUGUAIANA,TS COMERCIO DE COMBUSTIVEIS LTDA.,31.625.772/0001-42,RUA SANTOS DUMONT,4001,,CIDADE ALEGRIA,97511-120,DIESEL S10,24/01/2023,6.39,,R$ / litro,IPIRANGA,2023-11-21
S,RS,URUGUAIANA,TS COMERCIO DE COMBUSTIVEIS LTDA.,31.625.772/0001-42,RUA SANTOS DUMONT,4001,,CIDADE ALEGRIA,97511-120,DIESEL,24/01/2023,6.29,,R$ / litro,IPIRANGA,2023-11-21
S,RS,URUGUAIANA,TS COMERCIO DE COMBUSTIVEIS LTDA.,31.625.772/0001-42,RUA SANTOS DUMONT,4001,,CIDADE ALEGRIA,97511-120,GASOLINA ADITIVADA,24/01/2023,5.34,,R$ / litro,IPIRANGA,2023-11-21
S,RS,URUGUAIANA,TS COMERCIO DE COMBUSTIVEIS LTDA.,31.625.772/0001-42,RUA SANTOS DUMONT,4001,,CIDADE ALEGRIA,97511-120,GASOLINA,24/01/2023,5.19,,R$ / litro,IPIRANGA,2023-11-21
S,SC,CRICIUMA,JP COMERCIO DE COMBUSTIVEIS LTDA,27.968.545/0001-42,AVENIDA LUIZ LAZZARIN,2511,,MARIA CEU,88810-350,DIESEL,24/01/2023,6.09,,R$ / litro,IPIRANGA,2023-11-21
S,SC,CRICIUMA,JP COMERCIO DE COMBUSTIVEIS LTDA,27.968.545/0001-42,AVENIDA LUIZ LAZZARIN,2511,,MARIA CEU,88810-350,GASOLINA ADITIVADA,24/01/2023,5.04,,R$ / litro,IPIRANGA,2023-11-21
S,SC,CRICIUMA,JP COMERCIO DE COMBUSTIVEIS LTDA,27.968.545/0001-42,AVENIDA LUIZ LAZZARIN,2511,,MARIA CEU,88810-350,GASOLINA,24/01/2023,4.84,,R$ / litro,IPIRANGA,2023-11-21
SE,SP,TATUI,CENTRO AUTOMOTIVO TATUI LTDA,31.423.190/0001-83,RUA CAPITAO LISBOA,251,,CENTRO,18270-070,GASOLINA ADITIVADA,24/01/2023,6.79,,R$ / litro,IPIRANGA,2023-11-21
CO,GO,MINEIROS,AUTO POSTO SAO MATHEUS LTDA,32.013.975/0001-40,AVENIDA ANTONIO CARLOS PANIAGO,SN,QUADRAE                   LOTE  94,LOTEAMENTO CARDOSO,75833-032,DIESEL,23/01/2023,6.42,,R$ / litro,IPIRANGA,2023-11-21
CO,GO,MINEIROS,AUTO POSTO SAO MATHEUS LTDA,32.013.975/0001-40,AVENIDA ANTONIO CARLOS PANIAGO,SN,QUADRAE                   LOTE  94,LOTEAMENTO CARDOSO,75833-032,GASOLINA ADITIVADA,23/01/2023,5.09,,R$ / litro,IPIRANGA,2023-11-21
CO,GO,MINEIROS,AUTO POSTO SAO MATHEUS LTDA,32.013.975/0001-40,AVENIDA ANTONIO CARLOS PANIAGO,SN,QUADRAE                   LOTE  94,LOTEAMENTO CARDOSO,75833-032,GASOLINA,23/01/2023,4.99,,R$ / litro,IPIRANGA,2023-11-21
CO,GO,MINEIROS,AUTO POSTO SAO MATHEUS LTDA,32.013.975/0001-40,AVENIDA ANTONIO CARLOS PANIAGO,SN,QUADRAE                   LOTE  94,LOTEAMENTO CARDOSO,75833-032,DIESEL S10,23/01/2023,6.62,,R$ / litro,IPIRANGA,2023-11-21
CO,MS,TRES LAGOAS,AUTO POSTO COMERCIAL LTDA,29.490.519/0001-87,AVENIDA ANTONIO TRAJANO DOS SANTOS,1155,,CENTRO,79601-003,ETANOL,24/01/2023,3.99,,R$ / litro,IPIRANGA,2023-11-21
CO,MS,TRES LAGOAS,AUTO POSTO COMERCIAL LTDA,29.490.519/0001-87,AVENIDA ANTONIO TRAJANO DOS SANTOS,1155,,CENTRO,79601-003,DIESEL S10,24/01/2023,6.79,,R$ / litro,IPIRANGA,2023-11-21
CO,MS,TRES LAGOAS,AUTO POSTO COMERCIAL LTDA,29.490.519/0001-87,AVENIDA ANTONIO TRAJANO DOS SANTOS,1155,,CENTRO,79601-003,GASOLINA,24/01/2023,4.99,,R$ / litro,IPIRANGA,2023-11-21
NE,BA,LAURO DE FREITAS,POSTO KALILANDIA LTDA,15.151.046/0026-37,AVENIDA FORTALEZA,328,POSTO DE GASOLINA,CENTRO,42703-170,ETANOL,25/01/2023,4.29,,R$ / litro,IPIRANGA,2023-11-21
NE,BA,LAURO DE FREITAS,POSTO KALILANDIA LTDA,15.151.046/0026-37,AVENIDA FORTALEZA,328,POSTO DE GASOLINA,CENTRO,42703-170,DIESEL S10,25/01/2023,6.39,,R$ / litro,IPIRANGA,2023-11-21
NE,BA,LAURO DE FREITAS,POSTO KALILANDIA LTDA,15.151.046/0026-37,AVENIDA FORTALEZA,328,POSTO DE GASOLINA,CENTRO,42703-170,GASOLINA ADITIVADA,25/01/2023,5.59,,R$ / litro,IPIRANGA,2023-11-21
NE,BA,LAURO DE FREITAS,POSTO KALILANDIA LTDA,15.151.046/0026-37,AVENIDA FORTALEZA,328,POSTO DE GASOLINA,CENTRO,42703-170,GASOLINA,25/01/2023,5.29,,R$ / litro,IPIRANGA,2023-11-21
CO,MS,CORUMBA,AUTO POSTO UNIVERSITARIO LTDA,27.510.723/0001-97,AVENIDA RIO BRANCO,1150,,UNIVERSITARIO,79304-020,ETANOL,23/01/2023,4.69,,R$ / litro,IPIRANGA,2023-11-21
CO,MS,CORUMBA,AUTO POSTO UNIVERSITARIO LTDA,27.510.723/0001-97,AVENIDA RIO BRANCO,1150,,UNIVERSITARIO,79304-020,DIESEL S10,23/01/2023,7.39,,R$ / litro,IPIRANGA,2023-11-21
CO,MS,CORUMBA,AUTO POSTO UNIVERSITARIO LTDA,27.510.723/0001-97,AVENIDA RIO BRANCO,1150,,UNIVERSITARIO,79304-020,DIESEL,23/01/2023,7.29,,R$ / litro,IPIRANGA,2023-11-21
CO,MS,CORUMBA,AUTO POSTO UNIVERSITARIO LTDA,27.510.723/0001-97,AVENIDA RIO BRANCO,1150,,UNIVERSITARIO,79304-020,GASOLINA ADITIVADA,23/01/2023,5.75,,R$ / litro,IPIRANGA,2023-11-21
CO,MS,CORUMBA,AUTO POSTO UNIVERSITARIO LTDA,27.510.723/0001-97,AVENIDA RIO BRANCO,1150,,UNIVERSITARIO,79304-020,GASOLINA,23/01/2023,5.55,,R$ / litro,IPIRANGA,2023-11-21
S,PR,PARANAVAI,OURO BRANCO PARANAVAI COMERCIO DE COMBUSTIVEIS LTDA,32.218.112/0001-00,AVENIDA PRESIDENTE TANCREDO NEVES,3154,,JARDIM OURO BRANCO,87704-270,ETANOL,25/01/2023,3.99,,R$ / litro,IPIRANGA,2023-11-21
