Bandeira,Data da Coleta,Produto,Valor de Venda
LARCO,18/01/2023,GASOLINA,5.34
LARCO,10/01/2023,GASOLINA ADITIVADA,5.44
LARCO,25/01/2023,GASOLINA ADITIVADA,10.51
LARCO,18/01/2023,ETANOL,4.34
LARCO,10/01/2023,ETANOL,4.44
LARCO,17/01/2023,GASOLINA,5.29
LARCO,12/01/2023,DIESEL S10,6.33
LARCO,12/01/2023,DIESEL,6.18
LARCO,18/01/2023,GASOLINA ADITIVADA,5.34
LARCO,10/01/2023,GASOLINA,5.44
LARCO,25/01/2023,DIESEL,6.04
LARCO,12/01/2023,ETANOL,4.36
LARCO,25/01/2023,ETANOL,8.51
LARCO,12/01/2023,GASOLINA,5.36
LARCO,17/01/2023,DIESEL,5.98
LARCO,17/01/2023,GASOLINA ADITIVADA,5.29
LARCO,17/01/2023,ETANOL,4.28
LARCO,25/01/2023,GASOLINA,10.51
LARCO,17/01/2023,DIESEL S10,6.15
LARCO,12/01/2023,GASOLINA ADITIVADA,5.36
LARCO,25/01/2023,DIESEL S10,6.14
LARCO,08/02/2023,DIESEL,5.92
LARCO,08/02/2023,DIESEL S10,6.08
LARCO,31/01/2023,GASOLINA,5.54
LARCO,15/02/2023,DIESEL S10,5.7
LARCO,08/02/2023,GASOLINA ADITIVADA,10.47
LARCO,15/02/2023,DIESEL,5.6
LARCO,31/01/2023,ETANOL,4.54
LARCO,01/02/2023,DIESEL S10,6.47
LARCO,13/02/2023,ETANOL,4.14
LARCO,08/02/2023,ETANOL,8.47
LARCO,31/01/2023,GASOLINA ADITIVADA,5.54
LARCO,13/02/2023,GASOLINA,5.14
LARCO,01/02/2023,GASOLINA ADITIVADA,5.23
LARCO,15/02/2023,GASOLINA ADITIVADA,5.05
LARCO,08/02/2023,GASOLINA,10.47
LARCO,01/02/2023,GASOLINA,5.23
LARCO,15/02/2023,ETANOL,4.0
LARCO,01/02/2023,DIESEL,6.27
LARCO,15/02/2023,GASOLINA,5.05
LARCO,01/02/2023,ETANOL,4.19
LARCO,13/02/2023,GASOLINA ADITIVADA,5.14
LARCO,22/02/2023,DIESEL S10,5.7
LARCO,08/03/2023,DIESEL S10,5.61
LARCO,01/03/2023,GASOLINA ADITIVADA,5.49
LARCO,08/03/2023,ETANOL,9.43
LARCO,28/02/2023,ETANOL,4.54
LARCO,08/03/2023,DIESEL,5.44
LARCO,15/03/2023,GASOLINA,11.58
LARCO,08/03/2023,GASOLINA ADITIVADA,11.6
LARCO,01/03/2023,DIESEL S10,5.67
LARCO,15/03/2023,DIESEL,5.66
