Bandeira,Data da Coleta,Produto,Valor de Venda
MASUT DISTRIBUIDORA,26/01/2023,DIESEL,6.06
MASUT DISTRIBUIDORA,12/01/2023,GASOLINA,4.99
MASUT DISTRIBUIDORA,11/01/2023,GASOLINA ADITIVADA,5.15
MASUT DISTRIBUIDORA,11/01/2023,DIESEL S10,12.97
MASUT DISTRIBUIDORA,03/01/2023,DIESEL S10,6.49
MASUT DISTRIBUIDORA,12/01/2023,GASOLINA ADITIVADA,4.99
MASUT DISTRIBUIDORA,19/01/2023,ETANOL,3.69
MASUT DISTRIBUIDORA,19/01/2023,DIESEL,6.39
MASUT DISTRIBUIDORA,04/01/2023,GASOLINA,4.95
MASUT DISTRIBUIDORA,26/01/2023,DIESEL S10,6.16
MASUT DISTRIBUIDORA,11/01/2023,ETANOL,7.84
MASUT DISTRIBUIDORA,05/01/2023,ETANOL,3.85
MASUT DISTRIBUIDORA,11/01/2023,DIESEL,12.77
MASUT DISTRIBUIDORA,04/01/2023,DIESEL S10,6.58
MASUT DISTRIBUIDORA,05/01/2023,DIESEL,6.23
MASUT DISTRIBUIDORA,25/01/2023,ETANOL,7.58
MASUT DISTRIBUIDORA,03/01/2023,ETANOL,3.99
MASUT DISTRIBUIDORA,03/01/2023,GASOLINA,5.19
MASUT DISTRIBUIDORA,18/01/2023,GASOLINA,9.74
MASUT DISTRIBUIDORA,26/01/2023,GASOLINA ADITIVADA,4.89
MASUT DISTRIBUIDORA,19/01/2023,GASOLINA,4.88
MASUT DISTRIBUIDORA,03/01/2023,DIESEL,6.39
MASUT DISTRIBUIDORA,12/01/2023,ETANOL,3.85
MASUT DISTRIBUIDORA,18/01/2023,DIESEL S10,6.16
MASUT DISTRIBUIDORA,18/01/2023,ETANOL,7.64
MASUT DISTRIBUIDORA,11/01/2023,GASOLINA,10.1
MASUT DISTRIBUIDORA,19/01/2023,DIESEL S10,6.49
MASUT DISTRIBUIDORA,12/01/2023,DIESEL S10,6.23
MASUT DISTRIBUIDORA,25/01/2023,GASOLINA ADITIVADA,4.75
MASUT DISTRIBUIDORA,05/01/2023,GASOLINA,4.99
MASUT DISTRIBUIDORA,18/01/2023,DIESEL,6.38
MASUT DISTRIBUIDORA,05/01/2023,DIESEL S10,6.33
MASUT DISTRIBUIDORA,26/01/2023,GASOLINA,4.89
MASUT DISTRIBUIDORA,18/01/2023,GASOLINA ADITIVADA,4.79
MASUT DISTRIBUIDORA,05/01/2023,GASOLINA ADITIVADA,4.99
MASUT DISTRIBUIDORA,25/01/2023,DIESEL,12.67
MASUT DISTRIBUIDORA,19/01/2023,GASOLINA ADITIVADA,4.88
MASUT DISTRIBUIDORA,26/01/2023,ETANOL,3.65
MASUT DISTRIBUIDORA,25/01/2023,DIESEL S10,12.87
MASUT DISTRIBUIDORA,25/01/2023,GASOLINA,9.7
MASUT DISTRIBUIDORA,03/01/2023,GASOLINA ADITIVADA,5.19
MASUT DISTRIBUIDORA,04/01/2023,ETANOL,3.89
MASUT DISTRIBUIDORA,16/02/2023,DIESEL S10,6.19
MASUT DISTRIBUIDORA,31/01/2023,GASOLINA,4.99
MASUT DISTRIBUIDORA,30/01/2023,GASOLINA ADITIVADA,4.79
MASUT DISTRIBUIDORA,15/02/2023,ETANOL,3.95
MASUT DISTRIBUIDORA,14/02/2023,DIESEL S10,5.95
MASUT DISTRIBUIDORA,14/02/2023,GASOLINA,4.79
MASUT DISTRIBUIDORA,31/01/2023,DIESEL,6.39
MASUT DISTRIBUIDORA,31/01/2023,DIESEL S10,6.49
MASUT DISTRIBUIDORA,08/02/2023,ETANOL,10.93
MASUT DISTRIBUIDORA,08/02/2023,DIESEL,18.73
