Bandeira,Data da Coleta,Produto,Valor de Venda
MAXSUL,23/01/2023,DIESEL S10,11.98
MAXSUL,24/01/2023,DIESEL,6.03
MAXSUL,24/01/2023,DIESEL S10,6.08
MAXSUL,03/01/2023,GASOLINA,9.74
MAXSUL,10/01/2023,DIESEL S10,18.79
MAXSUL,10/01/2023,GASOLINA,14.55
MAXSUL,09/01/2023,GASOLINA,4.79
MAXSUL,23/01/2023,GASOLINA,4.69
MAXSUL,23/01/2023,GASOLINA ADITIVADA,9.45
MAXSUL,03/01/2023,DIESEL S10,12.48
MAXSUL,10/01/2023,GASOLINA ADITIVADA,9.7
MAXSUL,12/01/2023,GASOLINA ADITIVADA,4.76
MAXSUL,12/01/2023,DIESEL S10,5.99
MAXSUL,11/01/2023,DIESEL S10,6.37
MAXSUL,16/01/2023,ETANOL,3.79
MAXSUL,11/01/2023,GASOLINA ADITIVADA,4.89
MAXSUL,10/01/2023,DIESEL,12.4
MAXSUL,09/01/2023,GASOLINA ADITIVADA,4.89
MAXSUL,17/01/2023,DIESEL S10,12.38
MAXSUL,17/01/2023,DIESEL,12.23
MAXSUL,11/01/2023,ETANOL,3.79
MAXSUL,24/01/2023,GASOLINA ADITIVADA,4.85
MAXSUL,03/01/2023,GASOLINA ADITIVADA,9.84
MAXSUL,24/01/2023,GASOLINA,4.85
MAXSUL,03/01/2023,DIESEL,6.24
MAXSUL,16/01/2023,DIESEL S10,6.37
MAXSUL,16/01/2023,GASOLINA ADITIVADA,4.89
MAXSUL,17/01/2023,GASOLINA,9.74
MAXSUL,17/01/2023,GASOLINA ADITIVADA,9.84
MAXSUL,09/01/2023,DIESEL S10,6.09
MAXSUL,08/02/2023,GASOLINA ADITIVADA,5.05
MAXSUL,06/02/2023,GASOLINA ADITIVADA,10.0
MAXSUL,08/02/2023,DIESEL S10,6.08
MAXSUL,01/02/2023,DIESEL S10,6.35
MAXSUL,31/01/2023,DIESEL S10,18.08
MAXSUL,07/02/2023,DIESEL S10,12.94
MAXSUL,21/02/2023,ETANOL,4.69
MAXSUL,23/02/2023,GASOLINA ADITIVADA,5.05
MAXSUL,07/02/2023,GASOLINA,10.44
MAXSUL,07/02/2023,DIESEL,6.49
MAXSUL,07/02/2023,ETANOL,4.69
MAXSUL,31/01/2023,GASOLINA ADITIVADA,15.05
MAXSUL,14/02/2023,DIESEL S10,29.78
MAXSUL,06/02/2023,DIESEL S10,12.1
MAXSUL,14/02/2023,ETANOL,8.43
MAXSUL,23/02/2023,DIESEL S10,5.72
MAXSUL,23/02/2023,DIESEL,5.67
MAXSUL,08/02/2023,GASOLINA,5.05
MAXSUL,06/02/2023,GASOLINA,9.9
MAXSUL,14/02/2023,DIESEL,11.86
MAXSUL,06/02/2023,DIESEL,5.96
MAXSUL,01/02/2023,GASOLINA ADITIVADA,5.15
MAXSUL,14/02/2023,GASOLINA,20.34
MAXSUL,07/02/2023,GASOLINA ADITIVADA,10.54
MAXSUL,08/02/2023,DIESEL,6.03
MAXSUL,31/01/2023,GASOLINA,14.95
MAXSUL,23/02/2023,GASOLINA,5.05
MAXSUL,14/02/2023,GASOLINA ADITIVADA,25.53
MAXSUL,21/02/2023,GASOLINA ADITIVADA,10.06
MAXSUL,31/01/2023,DIESEL,11.99
MAXSUL,01/02/2023,GASOLINA,5.15
MAXSUL,21/02/2023,DIESEL,6.09
MAXSUL,21/02/2023,GASOLINA,5.2
MAXSUL,27/02/2023,GASOLINA,10.25
MAXSUL,28/02/2023,GASOLINA ADITIVADA,5.15
MAXSUL,14/03/2023,DIESEL S10,22.93
MAXSUL,08/03/2023,GASOLINA,5.55
MAXSUL,22/02/2023,ETANOL,3.74
MAXSUL,14/03/2023,GASOLINA ADITIVADA,22.09
MAXSUL,15/03/2023,GASOLINA,5.19
MAXSUL,07/03/2023,GASOLINA ADITIVADA,33.98
MAXSUL,07/03/2023,GASOLINA,27.86
MAXSUL,08/03/2023,DIESEL S10,5.65
MAXSUL,01/03/2023,ETANOL,4.19
MAXSUL,08/03/2023,GASOLINA ADITIVADA,5.55
MAXSUL,14/03/2023,DIESEL,11.2
MAXSUL,01/03/2023,DIESEL S10,18.15
MAXSUL,07/03/2023,ETANOL,13.74
MAXSUL,28/02/2023,GASOLINA,5.15
MAXSUL,22/02/2023,GASOLINA ADITIVADA,20.35
MAXSUL,27/02/2023,GASOLINA ADITIVADA,10.35
MAXSUL,01/03/2023,GASOLINA,10.78
MAXSUL,27/02/2023,ETANOL,4.69
MAXSUL,28/02/2023,DIESEL S10,5.89
MAXSUL,09/03/2023,GASOLINA,5.97
MAXSUL,13/03/2023,DIESEL S10,5.39
MAXSUL,15/03/2023,DIESEL S10,5.59
MAXSUL,22/02/2023,DIESEL S10,23.56
MAXSUL,07/03/2023,DIESEL,11.91
MAXSUL,08/03/2023,DIESEL,5.6
MAXSUL,15/03/2023,GASOLINA ADITIVADA,5.39
MAXSUL,27/02/2023,DIESEL S10,5.72
MAXSUL,01/03/2023,GASOLINA ADITIVADA,16.37
MAXSUL,22/02/2023,GASOLINA,15.34
MAXSUL,27/02/2023,DIESEL,11.76
MAXSUL,09/03/2023,GASOLINA ADITIVADA,5.97
MAXSUL,14/03/2023,GASOLINA,21.99
MAXSUL,14/03/2023,ETANOL,4.69
MAXSUL,01/03/2023,DIESEL,6.17
MAXSUL,07/03/2023,DIESEL S10,29.79
MAXSUL,03/04/2023,ETANOL,4.69
MAXSUL,28/03/2023,DIESEL,5.6
MAXSUL,04/04/2023,GASOLINA ADITIVADA,10.96
MAXSUL,22/03/2023,GASOLINA,10.6
MAXSUL,03/04/2023,GASOLINA,5.54
MAXSUL,04/04/2023,DIESEL S10,5.4
MAXSUL,29/03/2023,GASOLINA,5.55
MAXSUL,03/04/2023,DIESEL,5.84
MAXSUL,21/03/2023,GASOLINA ADITIVADA,11.34
MAXSUL,29/03/2023,DIESEL S10,5.74
MAXSUL,21/03/2023,ETANOL,4.29
MAXSUL,27/03/2023,DIESEL S10,6.07
MAXSUL,04/04/2023,GASOLINA,10.96
MAXSUL,22/03/2023,GASOLINA ADITIVADA,10.7
MAXSUL,20/03/2023,GASOLINA,5.54
MAXSUL,21/03/2023,DIESEL,11.62
MAXSUL,27/03/2023,DIESEL,11.76
MAXSUL,05/04/2023,GASOLINA,5.39
MAXSUL,27/03/2023,GASOLINA,5.54
MAXSUL,05/04/2023,GASOLINA ADITIVADA,5.49
MAXSUL,03/04/2023,DIESEL S10,11.13
MAXSUL,03/04/2023,GASOLINA ADITIVADA,5.64
MAXSUL,21/03/2023,DIESEL S10,11.87
MAXSUL,21/03/2023,GASOLINA,5.45
