Bandeira,Data da Coleta,Produto,Valor de Venda
ON PETRO,10/01/2023,DIESEL S10,6.27
ON PETRO,03/01/2023,DIESEL S10,6.27
ON PETRO,10/01/2023,ETANOL,4.5
ON PETRO,03/01/2023,GASOLINA,4.99
ON PETRO,03/01/2023,ETANOL,4.4
ON PETRO,10/01/2023,GASOLINA ADITIVADA,5.4
ON PETRO,10/01/2023,GASOLINA,5.3
ON PETRO,03/01/2023,GASOLINA ADITIVADA,5.09
ON PETRO,22/02/2023,GASOLINA,5.29
ON PETRO,15/03/2023,GASOLINA ADITIVADA,5.89
ON PETRO,22/02/2023,ETANOL,4.09
ON PETRO,15/03/2023,DIESEL S10,5.79
ON PETRO,15/03/2023,ETANOL,4.19
ON PETRO,15/03/2023,GASOLINA,5.79
ON PETRO,22/02/2023,DIESEL S10,5.99
ON PETRO,22/02/2023,GASOLINA ADITIVADA,5.39
ON PETRO,27/06/2023,GASOLINA,5.59
ON PETRO,21/06/2023,GASOLINA,5.59
ON PETRO,20/06/2023,ETANOL,4.37
ON PETRO,20/06/2023,GASOLINA ADITIVADA,5.59
ON PETRO,27/06/2023,GASOLINA ADITIVADA,5.69
ON PETRO,21/06/2023,DIESEL S10,4.89
ON PETRO,20/06/2023,GASOLINA,5.39
ON PETRO,21/06/2023,ETANOL,4.37
ON PETRO,21/06/2023,GASOLINA ADITIVADA,5.69
ON PETRO,20/06/2023,DIESEL S10,5.29
ON PETRO,27/06/2023,DIESEL S10,4.92
ON PETRO,27/06/2023,ETANOL,4.35
