Bandeira,Data da Coleta,Produto,Valor de Venda
PELIKANO,03/01/2023,DIESEL,5.89
PELIKANO,10/01/2023,DIESEL S10,6.14
PELIKANO,03/01/2023,ETANOL,4.47
PELIKANO,18/01/2023,GASOLINA ADITIVADA,4.85
PELIKANO,10/01/2023,DIESEL,5.9
PELIKANO,18/01/2023,GASOLINA,4.85
PELIKANO,25/01/2023,ETANOL,3.93
PELIKANO,25/01/2023,GASOLINA ADITIVADA,4.85
PELIKANO,03/01/2023,GASOLINA ADITIVADA,4.99
PELIKANO,18/01/2023,ETANOL,3.97
PELIKANO,25/01/2023,DIESEL,5.69
PELIKANO,10/01/2023,GASOLINA ADITIVADA,5.23
PELIKANO,03/01/2023,DIESEL S10,6.17
PELIKANO,10/01/2023,GASOLINA,5.23
PELIKANO,25/01/2023,DIESEL S10,5.79
PELIKANO,18/01/2023,DIESEL,5.69
PELIKANO,18/01/2023,DIESEL S10,5.79
PELIKANO,25/01/2023,GASOLINA,4.85
PELIKANO,10/01/2023,ETANOL,4.47
PELIKANO,03/01/2023,GASOLINA,4.99
PELIKANO,15/02/2023,DIESEL S10,5.79
PELIKANO,14/02/2023,ETANOL,4.1
PELIKANO,07/02/2023,DIESEL,6.05
PELIKANO,15/02/2023,GASOLINA ADITIVADA,5.25
PELIKANO,15/02/2023,ETANOL,3.93
PELIKANO,15/02/2023,GASOLINA,5.25
PELIKANO,14/02/2023,GASOLINA,5.27
PELIKANO,07/02/2023,DIESEL S10,6.15
PELIKANO,14/02/2023,DIESEL,5.75
PELIKANO,07/02/2023,GASOLINA,5.27
PELIKANO,15/02/2023,DIESEL,5.69
PELIKANO,14/02/2023,GASOLINA ADITIVADA,5.27
PELIKANO,07/02/2023,ETANOL,4.1
PELIKANO,07/02/2023,GASOLINA ADITIVADA,5.27
PELIKANO,14/02/2023,DIESEL S10,5.85
PELIKANO,22/02/2023,DIESEL,5.49
PELIKANO,22/02/2023,GASOLINA,5.23
PELIKANO,15/03/2023,GASOLINA,5.75
PELIKANO,07/03/2023,ETANOL,4.17
PELIKANO,22/02/2023,GASOLINA ADITIVADA,5.23
PELIKANO,08/03/2023,ETANOL,4.17
PELIKANO,08/03/2023,DIESEL S10,5.59
PELIKANO,08/03/2023,GASOLINA,5.77
PELIKANO,15/03/2023,DIESEL S10,5.54
PELIKANO,07/03/2023,DIESEL S10,5.58
PELIKANO,22/02/2023,ETANOL,3.91
PELIKANO,08/03/2023,GASOLINA ADITIVADA,5.77
PELIKANO,07/03/2023,GASOLINA,5.77
PELIKANO,07/03/2023,DIESEL,5.48
PELIKANO,08/03/2023,DIESEL,5.49
PELIKANO,15/03/2023,ETANOL,4.15
PELIKANO,15/03/2023,DIESEL,5.44
PELIKANO,22/02/2023,DIESEL S10,5.59
PELIKANO,07/03/2023,GASOLINA ADITIVADA,5.77
PELIKANO,15/03/2023,GASOLINA ADITIVADA,5.75
PELIKANO,29/03/2023,DIESEL,5.34
PELIKANO,05/04/2023,ETANOL,4.17
PELIKANO,05/04/2023,DIESEL,5.48
PELIKANO,29/03/2023,DIESEL S10,5.44
PELIKANO,29/03/2023,ETANOL,4.15
PELIKANO,06/04/2023,GASOLINA ADITIVADA,5.73
PELIKANO,06/04/2023,ETANOL,4.15
PELIKANO,29/03/2023,GASOLINA ADITIVADA,5.75
PELIKANO,22/03/2023,GASOLINA ADITIVADA,5.75
PELIKANO,22/03/2023,ETANOL,4.15
PELIKANO,06/04/2023,DIESEL S10,5.44
PELIKANO,29/03/2023,GASOLINA,5.75
PELIKANO,05/04/2023,GASOLINA,5.77
PELIKANO,22/03/2023,DIESEL S10,5.54
PELIKANO,22/03/2023,GASOLINA,5.75
PELIKANO,22/03/2023,DIESEL,5.44
PELIKANO,06/04/2023,DIESEL,5.34
PELIKANO,06/04/2023,GASOLINA,5.73
PELIKANO,05/04/2023,GASOLINA ADITIVADA,5.77
PELIKANO,05/04/2023,DIESEL S10,5.58
PELIKANO,25/04/2023,GASOLINA ADITIVADA,5.77
PELIKANO,19/04/2023,ETANOL,4.17
PELIKANO,11/04/2023,GASOLINA,5.77
PELIKANO,11/04/2023,ETANOL,4.17
PELIKANO,11/04/2023,DIESEL S10,5.47
PELIKANO,11/04/2023,GASOLINA ADITIVADA,5.77
PELIKANO,25/04/2023,DIESEL S10,4.99
PELIKANO,19/04/2023,GASOLINA ADITIVADA,5.77
PELIKANO,19/04/2023,DIESEL,5.37
PELIKANO,11/04/2023,DIESEL,5.37
PELIKANO,25/04/2023,GASOLINA,5.77
PELIKANO,25/04/2023,ETANOL,4.17
PELIKANO,25/04/2023,DIESEL,4.99
PELIKANO,19/04/2023,GASOLINA,5.77
PELIKANO,19/04/2023,DIESEL S10,5.47
PELIKANO,03/05/2023,DIESEL S10,4.99
PELIKANO,03/05/2023,GASOLINA,5.73
PELIKANO,17/05/2023,GASOLINA,5.47
PELIKANO,24/05/2023,DIESEL,4.49
PELIKANO,17/05/2023,ETANOL,4.35
PELIKANO,03/05/2023,GASOLINA ADITIVADA,5.73
PELIKANO,17/05/2023,DIESEL,4.69
PELIKANO,03/05/2023,DIESEL,4.89
PELIKANO,24/05/2023,GASOLINA ADITIVADA,5.34
PELIKANO,17/05/2023,DIESEL S10,4.69
PELIKANO,03/05/2023,ETANOL,4.67
PELIKANO,24/05/2023,ETANOL,4.35
PELIKANO,24/05/2023,GASOLINA,5.34
PELIKANO,17/05/2023,GASOLINA ADITIVADA,5.47
PELIKANO,30/05/2023,DIESEL S10,4.49
PELIKANO,30/05/2023,GASOLINA ADITIVADA,5.34
PELIKANO,30/05/2023,DIESEL,4.49
PELIKANO,30/05/2023,ETANOL,4.34
PELIKANO,30/05/2023,GASOLINA,5.34
PELIKANO,20/06/2023,ETANOL,4.35
PELIKANO,20/06/2023,GASOLINA ADITIVADA,5.57
PELIKANO,20/06/2023,DIESEL,4.49
PELIKANO,20/06/2023,GASOLINA,5.57
PELIKANO,20/06/2023,DIESEL S10,4.49
