Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
S,PR,CURITIBA,AUTO POSTO JACARANDA LTDA.,18.801.850/0001-54,RUA MIGUEL CALUF,3056,,CAJURU,82940-110,ETANOL,11/04/2023,4.17,,R$ / litro,PELIKANO,2023-11-21
S,PR,CURITIBA,AUTO POSTO JACARANDA LTDA.,18.801.850/0001-54,RUA MIGUEL CALUF,3056,,CAJURU,82940-110,DIESEL S10,11/04/2023,5.47,,R$ / litro,PELIKANO,2023-11-21
S,PR,CURITIBA,AUTO POSTO JACARANDA LTDA.,18.801.850/0001-54,RUA MIGUEL CALUF,3056,,CAJURU,82940-110,DIESEL,11/04/2023,5.37,,R$ / litro,PELIKANO,2023-11-21
S,PR,CURITIBA,AUTO POSTO JACARANDA LTDA.,18.801.850/0001-54,RUA MIGUEL CALUF,3056,,CAJURU,82940-110,GASOLINA ADITIVADA,11/04/2023,5.77,,R$ / litro,PELIKANO,2023-11-21
S,PR,CURITIBA,AUTO POSTO JACARANDA LTDA.,18.801.850/0001-54,RUA MIGUEL CALUF,3056,,CAJURU,82940-110,GASOLINA,11/04/2023,5.77,,R$ / litro,PELIKANO,2023-11-21
S,PR,CURITIBA,AUTO POSTO JACARANDA LTDA.,18.801.850/0001-54,RUA MIGUEL CALUF,3056,,CAJURU,82940-110,ETANOL,19/04/2023,4.17,,R$ / litro,PELIKANO,2023-11-21
S,PR,CURITIBA,AUTO POSTO JACARANDA LTDA.,18.801.850/0001-54,RUA MIGUEL CALUF,3056,,CAJURU,82940-110,DIESEL S10,19/04/2023,5.47,,R$ / litro,PELIKANO,2023-11-21
S,PR,CURITIBA,AUTO POSTO JACARANDA LTDA.,18.801.850/0001-54,RUA MIGUEL CALUF,3056,,CAJURU,82940-110,DIESEL,19/04/2023,5.37,,R$ / litro,PELIKANO,2023-11-21
S,PR,CURITIBA,AUTO POSTO JACARANDA LTDA.,18.801.850/0001-54,RUA MIGUEL CALUF,3056,,CAJURU,82940-110,GASOLINA ADITIVADA,19/04/2023,5.77,,R$ / litro,PELIKANO,2023-11-21
S,PR,CURITIBA,AUTO POSTO JACARANDA LTDA.,18.801.850/0001-54,RUA MIGUEL CALUF,3056,,CAJURU,82940-110,GASOLINA,19/04/2023,5.77,,R$ / litro,PELIKANO,2023-11-21
S,PR,CURITIBA,AUTO POSTO JACARANDA LTDA.,18.801.850/0001-54,RUA MIGUEL CALUF,3056,,CAJURU,82940-110,ETANOL,25/04/2023,4.17,,R$ / litro,PELIKANO,2023-11-21
S,PR,CURITIBA,AUTO POSTO JACARANDA LTDA.,18.801.850/0001-54,RUA MIGUEL CALUF,3056,,CAJURU,82940-110,DIESEL S10,25/04/2023,4.99,,R$ / litro,PELIKANO,2023-11-21
S,PR,CURITIBA,AUTO POSTO JACARANDA LTDA.,18.801.850/0001-54,RUA MIGUEL CALUF,3056,,CAJURU,82940-110,DIESEL,25/04/2023,4.99,,R$ / litro,PELIKANO,2023-11-21
S,PR,CURITIBA,AUTO POSTO JACARANDA LTDA.,18.801.850/0001-54,RUA MIGUEL CALUF,3056,,CAJURU,82940-110,GASOLINA ADITIVADA,25/04/2023,5.77,,R$ / litro,PELIKANO,2023-11-21
S,PR,CURITIBA,AUTO POSTO JACARANDA LTDA.,18.801.850/0001-54,RUA MIGUEL CALUF,3056,,CAJURU,82940-110,GASOLINA,25/04/2023,5.77,,R$ / litro,PELIKANO,2023-11-21
