Bandeira,Data da Coleta,Produto,Valor de Venda
PETROBAHIA,24/01/2023,DIESEL,6.16
PETROBAHIA,25/01/2023,DIESEL,5.89
PETROBAHIA,12/01/2023,GNV,4.29
PETROBAHIA,12/01/2023,GASOLINA,5.34
PETROBAHIA,12/01/2023,DIESEL S10,6.34
PETROBAHIA,24/01/2023,ETANOL,4.78
PETROBAHIA,25/01/2023,GASOLINA,5.21
PETROBAHIA,24/01/2023,GASOLINA,5.78
PETROBAHIA,12/01/2023,ETANOL,4.34
PETROBAHIA,17/01/2023,DIESEL,6.04
PETROBAHIA,12/01/2023,DIESEL,6.18
PETROBAHIA,17/01/2023,DIESEL S10,6.19
PETROBAHIA,17/01/2023,GASOLINA,5.3
PETROBAHIA,25/01/2023,ETANOL,4.19
PETROBAHIA,24/01/2023,DIESEL S10,6.26
PETROBAHIA,25/01/2023,GNV,4.29
PETROBAHIA,17/01/2023,ETANOL,4.22
PETROBAHIA,25/01/2023,DIESEL S10,6.12
PETROBAHIA,17/01/2023,GNV,4.29
PETROBAHIA,24/01/2023,GASOLINA ADITIVADA,5.78
PETROBAHIA,31/01/2023,GASOLINA ADITIVADA,5.93
PETROBAHIA,15/02/2023,DIESEL S10,5.59
PETROBAHIA,01/02/2023,ETANOL,4.19
PETROBAHIA,01/02/2023,DIESEL S10,6.38
PETROBAHIA,15/02/2023,ETANOL,4.0
PETROBAHIA,06/02/2023,ETANOL,4.79
PETROBAHIA,31/01/2023,DIESEL,6.38
PETROBAHIA,08/02/2023,DIESEL S10,5.95
PETROBAHIA,01/02/2023,GNV,4.29
PETROBAHIA,06/02/2023,GASOLINA ADITIVADA,5.69
PETROBAHIA,06/02/2023,DIESEL S10,6.06
PETROBAHIA,31/01/2023,DIESEL S10,6.48
PETROBAHIA,06/02/2023,GASOLINA,5.69
PETROBAHIA,15/02/2023,GASOLINA,5.05
PETROBAHIA,08/02/2023,GNV,4.29
PETROBAHIA,08/02/2023,ETANOL,4.13
PETROBAHIA,08/02/2023,DIESEL,5.79
PETROBAHIA,08/02/2023,GASOLINA,5.13
PETROBAHIA,15/02/2023,DIESEL,5.49
PETROBAHIA,06/02/2023,DIESEL,5.94
PETROBAHIA,01/02/2023,DIESEL,6.18
PETROBAHIA,01/02/2023,GASOLINA,5.23
PETROBAHIA,31/01/2023,ETANOL,4.78
PETROBAHIA,15/02/2023,GNV,4.29
PETROBAHIA,31/01/2023,GASOLINA,5.93
PETROBAHIA,08/03/2023,ETANOL,4.69
PETROBAHIA,06/03/2023,GASOLINA,6.39
PETROBAHIA,06/03/2023,ETANOL,4.94
PETROBAHIA,01/03/2023,GASOLINA,5.49
PETROBAHIA,08/03/2023,DIESEL,5.35
PETROBAHIA,15/03/2023,DIESEL,5.52
PETROBAHIA,22/02/2023,DIESEL,5.49
PETROBAHIA,06/03/2023,DIESEL,5.69
PETROBAHIA,01/03/2023,GNV,4.29
PETROBAHIA,22/02/2023,GNV,4.29
PETROBAHIA,16/03/2023,DIESEL,5.63
PETROBAHIA,08/03/2023,GASOLINA,5.79
PETROBAHIA,15/03/2023,ETANOL,4.54
PETROBAHIA,03/03/2023,DIESEL,5.69
PETROBAHIA,08/03/2023,GNV,4.29
PETROBAHIA,22/02/2023,DIESEL S10,5.59
PETROBAHIA,16/03/2023,GASOLINA,6.39
PETROBAHIA,15/03/2023,DIESEL S10,5.62
PETROBAHIA,01/03/2023,DIESEL,5.49
PETROBAHIA,01/03/2023,DIESEL S10,5.59
PETROBAHIA,22/02/2023,GASOLINA,5.02
PETROBAHIA,03/03/2023,GASOLINA ADITIVADA,6.39
PETROBAHIA,16/03/2023,DIESEL S10,5.73
PETROBAHIA,16/03/2023,ETANOL,4.94
PETROBAHIA,15/03/2023,GNV,4.29
PETROBAHIA,16/03/2023,GASOLINA ADITIVADA,6.39
PETROBAHIA,03/03/2023,GASOLINA,6.39
PETROBAHIA,03/03/2023,DIESEL S10,5.81
PETROBAHIA,03/03/2023,ETANOL,4.94
PETROBAHIA,06/03/2023,GASOLINA ADITIVADA,6.39
PETROBAHIA,22/02/2023,ETANOL,4.0
PETROBAHIA,08/03/2023,DIESEL S10,5.5
PETROBAHIA,01/03/2023,ETANOL,4.15
PETROBAHIA,15/03/2023,GASOLINA,5.74
PETROBAHIA,06/03/2023,DIESEL S10,5.81
PETROBAHIA,06/04/2023,GNV,4.29
PETROBAHIA,22/03/2023,ETANOL,4.39
PETROBAHIA,29/03/2023,DIESEL S10,5.43
PETROBAHIA,29/03/2023,ETANOL,4.22
PETROBAHIA,03/04/2023,DIESEL S10,5.55
PETROBAHIA,06/04/2023,DIESEL S10,5.36
PETROBAHIA,29/03/2023,DIESEL,5.33
PETROBAHIA,30/03/2023,GASOLINA,6.14
PETROBAHIA,29/03/2023,GNV,4.29
PETROBAHIA,03/04/2023,ETANOL,4.74
PETROBAHIA,20/03/2023,ETANOL,4.79
PETROBAHIA,03/04/2023,GASOLINA ADITIVADA,6.14
PETROBAHIA,06/04/2023,GASOLINA,5.52
PETROBAHIA,06/04/2023,DIESEL,5.26
PETROBAHIA,30/03/2023,ETANOL,4.74
PETROBAHIA,22/03/2023,GNV,4.29
PETROBAHIA,30/03/2023,GASOLINA ADITIVADA,6.14
PETROBAHIA,20/03/2023,DIESEL S10,5.59
PETROBAHIA,22/03/2023,DIESEL S10,5.46
PETROBAHIA,03/04/2023,DIESEL,5.45
PETROBAHIA,03/04/2023,GASOLINA,6.14
PETROBAHIA,22/03/2023,GASOLINA,5.62
PETROBAHIA,30/03/2023,DIESEL,5.45
PETROBAHIA,22/03/2023,DIESEL,5.36
PETROBAHIA,29/03/2023,GASOLINA,5.25
PETROBAHIA,20/03/2023,DIESEL,5.49
PETROBAHIA,20/03/2023,GASOLINA ADITIVADA,6.18
PETROBAHIA,30/03/2023,DIESEL S10,5.55
PETROBAHIA,20/03/2023,GASOLINA,6.18
PETROBAHIA,06/04/2023,ETANOL,4.22
PETROBAHIA,10/04/2023,ETANOL,4.74
PETROBAHIA,13/04/2023,ETANOL,3.89
PETROBAHIA,03/05/2023,GASOLINA,11.18
PETROBAHIA,26/04/2023,GNV,4.29
PETROBAHIA,03/05/2023,ETANOL,8.62
PETROBAHIA,13/04/2023,DIESEL S10,5.33
PETROBAHIA,26/04/2023,GASOLINA,16.8
PETROBAHIA,26/04/2023,DIESEL S10,11.01
PETROBAHIA,13/04/2023,DIESEL,5.23
PETROBAHIA,04/05/2023,GASOLINA ADITIVADA,11.48
PETROBAHIA,13/04/2023,GNV,4.29
PETROBAHIA,10/04/2023,DIESEL S10,5.55
PETROBAHIA,26/04/2023,GASOLINA ADITIVADA,5.49
PETROBAHIA,10/04/2023,DIESEL,5.45
PETROBAHIA,19/04/2023,ETANOL,4.29
