Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
NE,BA,BRUMADO,POSTO CATIBOABA LTDA,02.046.038/0001-20,RODOVIA BR 030 KM 08,SN,CASA,VILA CATIBOABA,46100-000,ETANOL,20/06/2023,4.59,,R$ / litro,PETROBAHIA,2023-11-21
NE,BA,BRUMADO,POSTO CATIBOABA LTDA,02.046.038/0001-20,RODOVIA BR 030 KM 08,SN,CASA,VILA CATIBOABA,46100-000,DIESEL S10,20/06/2023,4.99,,R$ / litro,PETROBAHIA,2023-11-21
NE,BA,BRUMADO,POSTO CATIBOABA LTDA,02.046.038/0001-20,RODOVIA BR 030 KM 08,SN,CASA,VILA CATIBOABA,46100-000,DIESEL,20/06/2023,4.89,,R$ / litro,PETROBAHIA,2023-11-21
NE,BA,BRUMADO,POSTO CATIBOABA LTDA,02.046.038/0001-20,RODOVIA BR 030 KM 08,SN,CASA,VILA CATIBOABA,46100-000,GASOLINA,20/06/2023,5.79,,R$ / litro,PETROBAHIA,2023-11-21
NE,BA,BRUMADO,POSTO DE COMBUSTIVEIS TURMALINA LTDA - ME,09.504.729/0001-70,RUA DR. MARIO MEIRA,40,CASA,CENTRO,46100-000,DIESEL S10,21/06/2023,6.59,,R$ / litro,PETROBAHIA,2023-11-21
NE,BA,BRUMADO,POSTO DE COMBUSTIVEIS TURMALINA LTDA - ME,09.504.729/0001-70,RUA DR. MARIO MEIRA,40,CASA,CENTRO,46100-000,GASOLINA ADITIVADA,21/06/2023,5.52,,R$ / litro,PETROBAHIA,2023-11-21
NE,BA,BRUMADO,POSTO DE COMBUSTIVEIS TURMALINA LTDA - ME,09.504.729/0001-70,RUA DR. MARIO MEIRA,40,CASA,CENTRO,46100-000,GASOLINA,21/06/2023,5.52,,R$ / litro,PETROBAHIA,2023-11-21
NE,BA,ALAGOINHAS,2 A COMERCIO DE COMBUSTIVEIS GNV E LUBRIFICANTES LTDA,14.238.511/0001-50,RODOVIA BR 101  KM  116,S/N,SALA  01,CENTRO,48005-440,ETANOL,20/06/2023,3.96,,R$ / litro,PETROBAHIA,2023-11-21
NE,BA,ALAGOINHAS,2 A COMERCIO DE COMBUSTIVEIS GNV E LUBRIFICANTES LTDA,14.238.511/0001-50,RODOVIA BR 101  KM  116,S/N,SALA  01,CENTRO,48005-440,DIESEL S10,20/06/2023,4.66,,R$ / litro,PETROBAHIA,2023-11-21
NE,BA,ALAGOINHAS,2 A COMERCIO DE COMBUSTIVEIS GNV E LUBRIFICANTES LTDA,14.238.511/0001-50,RODOVIA BR 101  KM  116,S/N,SALA  01,CENTRO,48005-440,DIESEL,20/06/2023,4.56,,R$ / litro,PETROBAHIA,2023-11-21
