Bandeira,Data da Coleta,Produto,Valor de Venda
PETROBRASIL,17/01/2023,GASOLINA,4.57
PETROBRASIL,23/01/2023,DIESEL S10,5.99
PETROBRASIL,09/01/2023,DIESEL S10,5.99
PETROBRASIL,02/01/2023,ETANOL,3.69
PETROBRASIL,02/01/2023,GASOLINA,4.99
PETROBRASIL,23/01/2023,ETANOL,3.47
PETROBRASIL,17/01/2023,DIESEL S10,5.99
PETROBRASIL,23/01/2023,GASOLINA,4.57
PETROBRASIL,02/01/2023,DIESEL S10,5.99
PETROBRASIL,17/01/2023,ETANOL,3.57
PETROBRASIL,09/01/2023,ETANOL,3.57
PETROBRASIL,09/01/2023,GASOLINA,4.57
PETROBRASIL,07/02/2023,ETANOL,3.89
PETROBRASIL,14/02/2023,DIESEL S10,5.69
PETROBRASIL,31/01/2023,DIESEL S10,5.99
PETROBRASIL,31/01/2023,GASOLINA,4.59
PETROBRASIL,07/02/2023,GASOLINA,4.96
PETROBRASIL,31/01/2023,ETANOL,3.39
PETROBRASIL,07/02/2023,DIESEL S10,6.29
PETROBRASIL,14/02/2023,ETANOL,7.38
PETROBRASIL,14/02/2023,GASOLINA ADITIVADA,5.06
PETROBRASIL,21/02/2023,ETANOL,3.39
PETROBRASIL,07/02/2023,GASOLINA ADITIVADA,5.06
PETROBRASIL,14/02/2023,GASOLINA,9.55
PETROBRASIL,21/02/2023,GASOLINA,4.59
PETROBRASIL,21/02/2023,DIESEL S10,5.69
PETROBRASIL,06/03/2023,DIESEL S10,5.69
PETROBRASIL,14/03/2023,GASOLINA,4.97
PETROBRASIL,14/03/2023,ETANOL,3.57
PETROBRASIL,08/03/2023,GASOLINA ADITIVADA,5.46
PETROBRASIL,01/03/2023,GASOLINA ADITIVADA,5.36
PETROBRASIL,27/02/2023,ETANOL,3.39
PETROBRASIL,27/02/2023,DIESEL S10,5.69
PETROBRASIL,06/03/2023,ETANOL,3.57
PETROBRASIL,06/03/2023,GASOLINA,4.97
PETROBRASIL,08/03/2023,ETANOL,3.99
PETROBRASIL,27/02/2023,GASOLINA,4.59
PETROBRASIL,08/03/2023,GASOLINA,5.36
PETROBRASIL,14/03/2023,DIESEL S10,5.69
PETROBRASIL,01/03/2023,GASOLINA,5.36
PETROBRASIL,08/03/2023,DIESEL S10,5.84
PETROBRASIL,10/04/2023,GASOLINA,4.89
PETROBRASIL,20/03/2023,GASOLINA,4.97
PETROBRASIL,05/04/2023,GASOLINA ADITIVADA,5.47
PETROBRASIL,20/03/2023,DIESEL S10,5.69
PETROBRASIL,10/04/2023,DIESEL S10,5.34
PETROBRASIL,03/04/2023,ETANOL,3.49
PETROBRASIL,27/03/2023,ETANOL,3.57
PETROBRASIL,27/03/2023,DIESEL S10,5.69
PETROBRASIL,10/04/2023,ETANOL,3.49
PETROBRASIL,03/04/2023,DIESEL S10,5.34
PETROBRASIL,27/03/2023,GASOLINA,4.97
PETROBRASIL,03/04/2023,GASOLINA,4.89
PETROBRASIL,20/03/2023,ETANOL,3.57
PETROBRASIL,22/03/2023,GASOLINA ADITIVADA,5.39
PETROBRASIL,05/04/2023,GASOLINA,5.47
PETROBRASIL,22/03/2023,GASOLINA,5.39
PETROBRASIL,24/04/2023,ETANOL,3.69
PETROBRASIL,24/04/2023,DIESEL S10,5.34
PETROBRASIL,24/04/2023,GASOLINA,4.89
PETROBRASIL,09/05/2023,DIESEL S10,5.34
PETROBRASIL,09/05/2023,ETANOL,3.69
PETROBRASIL,22/05/2023,DIESEL S10,4.89
PETROBRASIL,22/05/2023,GASOLINA,4.89
PETROBRASIL,22/05/2023,ETANOL,3.39
PETROBRASIL,15/05/2023,GASOLINA,4.89
PETROBRASIL,09/05/2023,GASOLINA,4.89
PETROBRASIL,15/05/2023,ETANOL,3.69
PETROBRASIL,15/05/2023,DIESEL S10,4.89
PETROBRASIL,05/06/2023,GASOLINA,4.99
PETROBRASIL,05/06/2023,DIESEL S10,4.89
PETROBRASIL,29/05/2023,ETANOL,3.39
PETROBRASIL,29/05/2023,DIESEL S10,4.89
PETROBRASIL,29/05/2023,GASOLINA,4.69
PETROBRASIL,05/06/2023,ETANOL,3.39
PETROBRASIL,19/06/2023,GASOLINA,4.89
PETROBRASIL,19/06/2023,ETANOL,3.39
PETROBRASIL,19/06/2023,DIESEL S10,4.89
PETROBRASIL,26/06/2023,GASOLINA,4.89
PETROBRASIL,26/06/2023,DIESEL S10,4.89
PETROBRASIL,26/06/2023,ETANOL,3.19
