Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
SE,SP,SAO PAULO,AGUIA DA MARGINAL AUTO POSTO LIMITADA,00.200.457/0001-40,RUA ARTUR FERREIRA DE ABREU,342,,JARDIM GUARAU,05547-150,ETANOL,02/01/2023,3.69,,R$ / litro,PETROBRASIL,2023-11-21
SE,SP,SAO PAULO,AGUIA DA MARGINAL AUTO POSTO LIMITADA,00.200.457/0001-40,RUA ARTUR FERREIRA DE ABREU,342,,JARDIM GUARAU,05547-150,DIESEL S10,02/01/2023,5.99,,R$ / litro,PETROBRASIL,2023-11-21
SE,SP,SAO PAULO,AGUIA DA MARGINAL AUTO POSTO LIMITADA,00.200.457/0001-40,RUA ARTUR FERREIRA DE ABREU,342,,JARDIM GUARAU,05547-150,GASOLINA,02/01/2023,4.99,,R$ / litro,PETROBRASIL,2023-11-21
SE,SP,SAO PAULO,AGUIA DA MARGINAL AUTO POSTO LIMITADA,00.200.457/0001-40,RUA ARTUR FERREIRA DE ABREU,342,,JARDIM GUARAU,05547-150,ETANOL,09/01/2023,3.57,,R$ / litro,PETROBRASIL,2023-11-21
SE,SP,SAO PAULO,AGUIA DA MARGINAL AUTO POSTO LIMITADA,00.200.457/0001-40,RUA ARTUR FERREIRA DE ABREU,342,,JARDIM GUARAU,05547-150,DIESEL S10,09/01/2023,5.99,,R$ / litro,PETROBRASIL,2023-11-21
SE,SP,SAO PAULO,AGUIA DA MARGINAL AUTO POSTO LIMITADA,00.200.457/0001-40,RUA ARTUR FERREIRA DE ABREU,342,,JARDIM GUARAU,05547-150,GASOLINA,09/01/2023,4.57,,R$ / litro,PETROBRASIL,2023-11-21
SE,SP,SAO PAULO,AGUIA DA MARGINAL AUTO POSTO LIMITADA,00.200.457/0001-40,RUA ARTUR FERREIRA DE ABREU,342,,JARDIM GUARAU,05547-150,ETANOL,17/01/2023,3.57,,R$ / litro,PETROBRASIL,2023-11-21
SE,SP,SAO PAULO,AGUIA DA MARGINAL AUTO POSTO LIMITADA,00.200.457/0001-40,RUA ARTUR FERREIRA DE ABREU,342,,JARDIM GUARAU,05547-150,DIESEL S10,17/01/2023,5.99,,R$ / litro,PETROBRASIL,2023-11-21
SE,SP,SAO PAULO,AGUIA DA MARGINAL AUTO POSTO LIMITADA,00.200.457/0001-40,RUA ARTUR FERREIRA DE ABREU,342,,JARDIM GUARAU,05547-150,GASOLINA,17/01/2023,4.57,,R$ / litro,PETROBRASIL,2023-11-21
SE,SP,SAO PAULO,AGUIA DA MARGINAL AUTO POSTO LIMITADA,00.200.457/0001-40,RUA ARTUR FERREIRA DE ABREU,342,,JARDIM GUARAU,05547-150,ETANOL,23/01/2023,3.47,,R$ / litro,PETROBRASIL,2023-11-21
SE,SP,SAO PAULO,AGUIA DA MARGINAL AUTO POSTO LIMITADA,00.200.457/0001-40,RUA ARTUR FERREIRA DE ABREU,342,,JARDIM GUARAU,05547-150,DIESEL S10,23/01/2023,5.99,,R$ / litro,PETROBRASIL,2023-11-21
SE,SP,SAO PAULO,AGUIA DA MARGINAL AUTO POSTO LIMITADA,00.200.457/0001-40,RUA ARTUR FERREIRA DE ABREU,342,,JARDIM GUARAU,05547-150,GASOLINA,23/01/2023,4.57,,R$ / litro,PETROBRASIL,2023-11-21
