Bandeira,Data da Coleta,Produto,Valor de Venda
PETROX DISTRIBUIDORA,23/01/2023,GASOLINA ADITIVADA,15.17
PETROX DISTRIBUIDORA,06/01/2023,ETANOL,4.19
PETROX DISTRIBUIDORA,23/01/2023,GASOLINA,25.07
PETROX DISTRIBUIDORA,16/01/2023,GASOLINA,10.1
PETROX DISTRIBUIDORA,06/01/2023,GASOLINA,5.19
PETROX DISTRIBUIDORA,18/01/2023,GASOLINA ADITIVADA,15.39
PETROX DISTRIBUIDORA,23/01/2023,DIESEL S10,25.75
PETROX DISTRIBUIDORA,16/01/2023,DIESEL S10,12.28
PETROX DISTRIBUIDORA,11/01/2023,GASOLINA ADITIVADA,15.57
PETROX DISTRIBUIDORA,18/01/2023,ETANOL,12.57
PETROX DISTRIBUIDORA,23/01/2023,DIESEL,12.48
PETROX DISTRIBUIDORA,11/01/2023,ETANOL,20.75
PETROX DISTRIBUIDORA,06/01/2023,GASOLINA ADITIVADA,5.19
PETROX DISTRIBUIDORA,16/01/2023,DIESEL,12.28
PETROX DISTRIBUIDORA,06/01/2023,GNV,5.09
PETROX DISTRIBUIDORA,23/01/2023,ETANOL,20.63
PETROX DISTRIBUIDORA,11/01/2023,GASOLINA,25.75
PETROX DISTRIBUIDORA,18/01/2023,GASOLINA,15.39
PETROX DISTRIBUIDORA,18/01/2023,DIESEL S10,13.17
PETROX DISTRIBUIDORA,16/01/2023,ETANOL,8.18
PETROX DISTRIBUIDORA,11/01/2023,DIESEL S10,19.36
PETROX DISTRIBUIDORA,23/01/2023,GNV,5.09
PETROX DISTRIBUIDORA,11/01/2023,DIESEL,6.19
PETROX DISTRIBUIDORA,11/01/2023,GNV,5.09
PETROX DISTRIBUIDORA,18/01/2023,GNV,5.09
PETROX DISTRIBUIDORA,08/02/2023,DIESEL S10,24.96
PETROX DISTRIBUIDORA,08/02/2023,DIESEL,11.68
PETROX DISTRIBUIDORA,15/02/2023,GASOLINA,25.02
PETROX DISTRIBUIDORA,21/02/2023,DIESEL,11.04
PETROX DISTRIBUIDORA,15/02/2023,ETANOL,20.05
PETROX DISTRIBUIDORA,30/01/2023,GASOLINA ADITIVADA,15.57
PETROX DISTRIBUIDORA,15/02/2023,GASOLINA ADITIVADA,15.14
PETROX DISTRIBUIDORA,30/01/2023,ETANOL,21.15
PETROX DISTRIBUIDORA,08/02/2023,GASOLINA ADITIVADA,15.46
PETROX DISTRIBUIDORA,08/02/2023,ETANOL,20.95
PETROX DISTRIBUIDORA,21/02/2023,DIESEL S10,24.35
PETROX DISTRIBUIDORA,30/01/2023,DIESEL S10,26.02
PETROX DISTRIBUIDORA,30/01/2023,GASOLINA,25.75
PETROX DISTRIBUIDORA,30/01/2023,GNV,5.09
PETROX DISTRIBUIDORA,08/02/2023,GASOLINA,25.52
PETROX DISTRIBUIDORA,21/02/2023,GASOLINA ADITIVADA,15.87
PETROX DISTRIBUIDORA,21/02/2023,GASOLINA,26.2
PETROX DISTRIBUIDORA,30/01/2023,DIESEL,12.75
PETROX DISTRIBUIDORA,15/02/2023,GNV,4.77
PETROX DISTRIBUIDORA,15/02/2023,DIESEL,10.98
PETROX DISTRIBUIDORA,08/02/2023,GNV,4.77
PETROX DISTRIBUIDORA,15/02/2023,DIESEL S10,24.36
PETROX DISTRIBUIDORA,21/02/2023,ETANOL,20.05
PETROX DISTRIBUIDORA,21/02/2023,GNV,4.77
PETROX DISTRIBUIDORA,15/03/2023,GASOLINA,10.68
PETROX DISTRIBUIDORA,16/03/2023,GASOLINA,16.47
PETROX DISTRIBUIDORA,28/02/2023,DIESEL,11.98
PETROX DISTRIBUIDORA,28/02/2023,DIESEL S10,24.35
PETROX DISTRIBUIDORA,15/03/2023,ETANOL,8.18
PETROX DISTRIBUIDORA,16/03/2023,ETANOL,12.57
PETROX DISTRIBUIDORA,07/03/2023,GASOLINA,27.33
PETROX DISTRIBUIDORA,28/02/2023,GNV,4.77
PETROX DISTRIBUIDORA,16/03/2023,GNV,4.77
PETROX DISTRIBUIDORA,28/02/2023,GASOLINA ADITIVADA,15.4
PETROX DISTRIBUIDORA,16/03/2023,GASOLINA ADITIVADA,16.47
PETROX DISTRIBUIDORA,07/03/2023,ETANOL,20.85
PETROX DISTRIBUIDORA,15/03/2023,DIESEL S10,12.27
PETROX DISTRIBUIDORA,07/03/2023,GASOLINA ADITIVADA,16.55
PETROX DISTRIBUIDORA,16/03/2023,DIESEL S10,12.18
PETROX DISTRIBUIDORA,28/02/2023,GASOLINA,25.47
PETROX DISTRIBUIDORA,07/03/2023,GNV,4.77
PETROX DISTRIBUIDORA,07/03/2023,DIESEL S10,24.45
PETROX DISTRIBUIDORA,07/03/2023,DIESEL,12.18
PETROX DISTRIBUIDORA,28/02/2023,ETANOL,19.95
PETROX DISTRIBUIDORA,15/03/2023,DIESEL,12.08
PETROX DISTRIBUIDORA,13/04/2023,GASOLINA ADITIVADA,11.08
PETROX DISTRIBUIDORA,05/04/2023,DIESEL S10,11.88
PETROX DISTRIBUIDORA,29/03/2023,DIESEL S10,24.46
PETROX DISTRIBUIDORA,11/04/2023,GASOLINA,10.89
PETROX DISTRIBUIDORA,22/03/2023,DIESEL,11.98
PETROX DISTRIBUIDORA,05/04/2023,ETANOL,8.38
PETROX DISTRIBUIDORA,21/03/2023,ETANOL,4.29
PETROX DISTRIBUIDORA,21/03/2023,GASOLINA ADITIVADA,5.69
PETROX DISTRIBUIDORA,21/03/2023,GNV,4.77
PETROX DISTRIBUIDORA,06/04/2023,GNV,4.77
PETROX DISTRIBUIDORA,21/03/2023,GASOLINA,5.69
PETROX DISTRIBUIDORA,05/04/2023,DIESEL,11.83
PETROX DISTRIBUIDORA,22/03/2023,GASOLINA,22.72
PETROX DISTRIBUIDORA,13/04/2023,GASOLINA,11.08
PETROX DISTRIBUIDORA,06/04/2023,GASOLINA ADITIVADA,16.55
PETROX DISTRIBUIDORA,06/04/2023,DIESEL S10,12.58
PETROX DISTRIBUIDORA,29/03/2023,GASOLINA,27.75
PETROX DISTRIBUIDORA,11/04/2023,DIESEL S10,11.18
PETROX DISTRIBUIDORA,05/04/2023,GASOLINA,10.89
PETROX DISTRIBUIDORA,29/03/2023,DIESEL,11.78
PETROX DISTRIBUIDORA,29/03/2023,GNV,4.77
PETROX DISTRIBUIDORA,06/04/2023,GASOLINA,16.55
PETROX DISTRIBUIDORA,22/03/2023,DIESEL S10,24.66
PETROX DISTRIBUIDORA,13/04/2023,DIESEL S10,12.48
PETROX DISTRIBUIDORA,13/04/2023,ETANOL,8.58
