Bandeira,Data da Coleta,Produto,Valor de Venda
POTENCIAL,02/01/2023,ETANOL,3.99
POTENCIAL,18/01/2023,GASOLINA ADITIVADA,10.84
POTENCIAL,04/01/2023,GASOLINA ADITIVADA,5.45
POTENCIAL,03/01/2023,ETANOL,4.43
POTENCIAL,25/01/2023,GASOLINA,4.86
POTENCIAL,09/01/2023,ETANOL,4.59
POTENCIAL,11/01/2023,DIESEL,14.09
POTENCIAL,16/01/2023,DIESEL S10,26.58
POTENCIAL,25/01/2023,DIESEL S10,6.49
POTENCIAL,10/01/2023,ETANOL,4.29
POTENCIAL,25/01/2023,ETANOL,4.08
POTENCIAL,11/01/2023,GASOLINA ADITIVADA,15.89
POTENCIAL,10/01/2023,GASOLINA,5.19
POTENCIAL,16/01/2023,GASOLINA,15.03
POTENCIAL,03/01/2023,GASOLINA,4.95
POTENCIAL,11/01/2023,GASOLINA,10.7
POTENCIAL,12/01/2023,DIESEL,5.99
POTENCIAL,18/01/2023,DIESEL,13.72
POTENCIAL,09/01/2023,GASOLINA,10.16
POTENCIAL,12/01/2023,ETANOL,4.39
POTENCIAL,04/01/2023,DIESEL S10,7.5
POTENCIAL,11/01/2023,ETANOL,8.54
POTENCIAL,09/01/2023,DIESEL S10,13.58
POTENCIAL,10/01/2023,GASOLINA ADITIVADA,5.39
POTENCIAL,23/01/2023,GASOLINA,14.83
POTENCIAL,02/01/2023,GASOLINA,10.07
POTENCIAL,16/01/2023,ETANOL,12.77
POTENCIAL,02/01/2023,GASOLINA ADITIVADA,10.47
POTENCIAL,04/01/2023,GASOLINA,5.35
POTENCIAL,23/01/2023,ETANOL,8.74
POTENCIAL,10/01/2023,DIESEL S10,6.49
POTENCIAL,12/01/2023,DIESEL S10,6.19
POTENCIAL,12/01/2023,GASOLINA,5.29
POTENCIAL,16/01/2023,DIESEL,12.68
POTENCIAL,23/01/2023,GASOLINA ADITIVADA,10.27
POTENCIAL,18/01/2023,ETANOL,8.29
POTENCIAL,23/01/2023,DIESEL S10,19.67
POTENCIAL,03/01/2023,GASOLINA ADITIVADA,5.25
POTENCIAL,18/01/2023,DIESEL S10,20.36
POTENCIAL,23/01/2023,DIESEL,5.99
POTENCIAL,04/01/2023,DIESEL,7.4
POTENCIAL,09/01/2023,GASOLINA ADITIVADA,10.57
POTENCIAL,16/01/2023,GASOLINA ADITIVADA,15.36
POTENCIAL,25/01/2023,GASOLINA ADITIVADA,5.29
POTENCIAL,18/01/2023,GASOLINA,15.22
POTENCIAL,03/01/2023,DIESEL S10,6.39
POTENCIAL,11/01/2023,DIESEL S10,20.7
POTENCIAL,02/01/2023,DIESEL S10,13.38
POTENCIAL,30/01/2023,GASOLINA,5.15
POTENCIAL,20/02/2023,GASOLINA,5.19
POTENCIAL,08/02/2023,ETANOL,16.27
POTENCIAL,08/02/2023,DIESEL S10,26.13
POTENCIAL,22/02/2023,DIESEL S10,19.08
POTENCIAL,14/02/2023,DIESEL,11.57
POTENCIAL,15/02/2023,ETANOL,4.05
POTENCIAL,31/01/2023,GASOLINA ADITIVADA,10.74
POTENCIAL,08/02/2023,GASOLINA ADITIVADA,15.87
POTENCIAL,06/02/2023,GASOLINA,5.08
POTENCIAL,08/02/2023,DIESEL,25.96
POTENCIAL,13/02/2023,ETANOL,8.18
POTENCIAL,13/02/2023,DIESEL,6.2
POTENCIAL,30/01/2023,GASOLINA ADITIVADA,5.23
POTENCIAL,15/02/2023,DIESEL S10,7.5
POTENCIAL,31/01/2023,DIESEL S10,19.98
POTENCIAL,31/01/2023,DIESEL,13.39
POTENCIAL,22/02/2023,GASOLINA ADITIVADA,15.95
POTENCIAL,15/02/2023,GASOLINA,10.44
POTENCIAL,22/02/2023,ETANOL,7.86
POTENCIAL,10/02/2023,ETANOL,4.39
POTENCIAL,20/02/2023,GASOLINA ADITIVADA,5.29
POTENCIAL,14/02/2023,GASOLINA,10.58
POTENCIAL,10/02/2023,DIESEL S10,6.89
POTENCIAL,15/02/2023,GASOLINA ADITIVADA,10.64
POTENCIAL,10/02/2023,GASOLINA,4.88
POTENCIAL,14/02/2023,ETANOL,8.14
POTENCIAL,13/02/2023,DIESEL S10,13.19
POTENCIAL,20/02/2023,DIESEL,5.89
POTENCIAL,08/02/2023,GASOLINA,26.22
POTENCIAL,22/02/2023,DIESEL,12.89
POTENCIAL,30/01/2023,ETANOL,4.05
POTENCIAL,13/02/2023,GASOLINA,4.88
POTENCIAL,20/02/2023,ETANOL,4.05
POTENCIAL,06/02/2023,GASOLINA ADITIVADA,5.29
POTENCIAL,15/02/2023,DIESEL,7.4
POTENCIAL,10/02/2023,GASOLINA ADITIVADA,4.98
POTENCIAL,06/02/2023,DIESEL S10,6.49
POTENCIAL,31/01/2023,ETANOL,4.05
POTENCIAL,30/01/2023,DIESEL,6.39
POTENCIAL,31/01/2023,GASOLINA,15.7
POTENCIAL,13/02/2023,GASOLINA ADITIVADA,10.07
POTENCIAL,14/02/2023,DIESEL S10,11.69
POTENCIAL,13/03/2023,ETANOL,3.99
POTENCIAL,15/03/2023,DIESEL,6.69
POTENCIAL,08/03/2023,DIESEL S10,18.65
POTENCIAL,08/03/2023,GASOLINA,17.52
POTENCIAL,28/02/2023,DIESEL,17.75
POTENCIAL,28/02/2023,DIESEL S10,18.06
POTENCIAL,27/02/2023,ETANOL,3.99
POTENCIAL,13/03/2023,DIESEL S10,5.99
POTENCIAL,28/02/2023,ETANOL,12.33
POTENCIAL,15/03/2023,GASOLINA,11.7
POTENCIAL,14/03/2023,GASOLINA,17.06
POTENCIAL,07/03/2023,GASOLINA ADITIVADA,11.58
POTENCIAL,14/03/2023,DIESEL S10,11.38
POTENCIAL,06/03/2023,ETANOL,3.99
POTENCIAL,14/03/2023,DIESEL,17.0
POTENCIAL,15/03/2023,GASOLINA ADITIVADA,11.96
POTENCIAL,23/02/2023,DIESEL,5.6
POTENCIAL,07/03/2023,DIESEL,17.83
POTENCIAL,15/03/2023,ETANOL,4.24
POTENCIAL,27/02/2023,GASOLINA,4.88
POTENCIAL,01/03/2023,GASOLINA ADITIVADA,5.65
POTENCIAL,14/03/2023,GASOLINA ADITIVADA,5.64
POTENCIAL,27/02/2023,DIESEL S10,6.49
POTENCIAL,06/03/2023,DIESEL S10,5.99
POTENCIAL,23/02/2023,ETANOL,3.99
POTENCIAL,08/03/2023,GASOLINA ADITIVADA,11.99
POTENCIAL,27/02/2023,GASOLINA ADITIVADA,4.98
POTENCIAL,23/02/2023,DIESEL S10,5.7
POTENCIAL,06/03/2023,GASOLINA ADITIVADA,5.39
POTENCIAL,07/03/2023,DIESEL S10,12.17
POTENCIAL,01/03/2023,DIESEL S10,6.79
POTENCIAL,22/02/2023,GASOLINA,10.56
POTENCIAL,01/03/2023,DIESEL,6.69
POTENCIAL,13/03/2023,GASOLINA,5.29
POTENCIAL,07/03/2023,ETANOL,8.24
POTENCIAL,07/03/2023,GASOLINA,17.19
POTENCIAL,08/03/2023,DIESEL,12.28
POTENCIAL,13/03/2023,GASOLINA ADITIVADA,5.39
POTENCIAL,28/02/2023,GASOLINA,21.55
POTENCIAL,01/03/2023,GASOLINA,5.55
POTENCIAL,14/03/2023,ETANOL,12.33
POTENCIAL,06/03/2023,GASOLINA,5.29
POTENCIAL,23/02/2023,GASOLINA,5.29
POTENCIAL,08/03/2023,ETANOL,8.39
POTENCIAL,15/03/2023,DIESEL S10,13.06
POTENCIAL,28/02/2023,GASOLINA ADITIVADA,10.58
POTENCIAL,04/04/2023,GASOLINA,5.69
POTENCIAL,21/03/2023,GASOLINA,11.18
POTENCIAL,03/04/2023,GASOLINA,5.29
POTENCIAL,06/04/2023,DIESEL S10,5.39
POTENCIAL,22/03/2023,DIESEL S10,18.38
POTENCIAL,22/03/2023,DIESEL,6.69
POTENCIAL,05/04/2023,DIESEL,17.63
POTENCIAL,05/04/2023,ETANOL,3.99
POTENCIAL,21/03/2023,DIESEL,11.23
POTENCIAL,21/03/2023,GASOLINA ADITIVADA,11.43
POTENCIAL,29/03/2023,ETANOL,12.38
POTENCIAL,21/03/2023,ETANOL,3.99
POTENCIAL,30/03/2023,DIESEL,5.49
POTENCIAL,20/03/2023,DIESEL,11.36
POTENCIAL,29/03/2023,GASOLINA ADITIVADA,17.7
POTENCIAL,27/03/2023,DIESEL S10,11.98
POTENCIAL,27/03/2023,ETANOL,8.38
POTENCIAL,20/03/2023,ETANOL,12.53
POTENCIAL,22/03/2023,GASOLINA,17.39
POTENCIAL,10/04/2023,GASOLINA ADITIVADA,5.74
POTENCIAL,04/04/2023,DIESEL S10,5.99
POTENCIAL,30/03/2023,DIESEL S10,5.59
POTENCIAL,03/04/2023,ETANOL,4.19
POTENCIAL,05/04/2023,DIESEL S10,12.38
POTENCIAL,20/03/2023,GASOLINA ADITIVADA,5.39
POTENCIAL,03/04/2023,DIESEL S10,5.89
POTENCIAL,30/03/2023,GASOLINA,5.49
POTENCIAL,20/03/2023,DIESEL S10,17.37
POTENCIAL,27/03/2023,DIESEL,5.97
POTENCIAL,06/04/2023,GASOLINA,5.79
POTENCIAL,04/04/2023,DIESEL,5.97
POTENCIAL,04/04/2023,ETANOL,4.19
POTENCIAL,10/04/2023,DIESEL,10.84
POTENCIAL,29/03/2023,DIESEL,17.53
POTENCIAL,22/03/2023,GASOLINA ADITIVADA,17.85
POTENCIAL,05/04/2023,GASOLINA ADITIVADA,17.25
POTENCIAL,10/04/2023,ETANOL,8.14
POTENCIAL,20/03/2023,GASOLINA,16.77
POTENCIAL,30/03/2023,GASOLINA ADITIVADA,5.69
POTENCIAL,10/04/2023,GASOLINA,11.48
POTENCIAL,27/03/2023,GASOLINA,10.98
POTENCIAL,06/04/2023,ETANOL,4.15
POTENCIAL,22/03/2023,ETANOL,4.24
POTENCIAL,03/04/2023,GASOLINA ADITIVADA,5.39
POTENCIAL,27/03/2023,GASOLINA ADITIVADA,5.39
