Bandeira,Data da Coleta,Produto,Valor de Venda
RAIZEN MIME,03/01/2023,GASOLINA,31.36
RAIZEN MIME,04/01/2023,GASOLINA,15.36
RAIZEN MIME,03/01/2023,DIESEL,20.15
RAIZEN MIME,20/01/2023,GASOLINA ADITIVADA,16.31
RAIZEN MIME,05/01/2023,GASOLINA ADITIVADA,33.02
RAIZEN MIME,25/01/2023,GASOLINA ADITIVADA,16.8
RAIZEN MIME,25/01/2023,GNV,5.69
RAIZEN MIME,09/01/2023,ETANOL,19.96
RAIZEN MIME,26/01/2023,DIESEL,13.15
RAIZEN MIME,23/01/2023,GNV,11.08
RAIZEN MIME,10/01/2023,GASOLINA,15.77
RAIZEN MIME,10/01/2023,ETANOL,4.99
RAIZEN MIME,09/01/2023,GASOLINA,42.39
RAIZEN MIME,04/01/2023,DIESEL,12.38
RAIZEN MIME,17/01/2023,ETANOL,24.15
RAIZEN MIME,20/01/2023,GASOLINA,15.56
RAIZEN MIME,05/01/2023,DIESEL,13.57
RAIZEN MIME,05/01/2023,GASOLINA,42.16
RAIZEN MIME,17/01/2023,GASOLINA,36.26
RAIZEN MIME,16/01/2023,GASOLINA,36.35
RAIZEN MIME,18/01/2023,GASOLINA ADITIVADA,5.52
RAIZEN MIME,23/01/2023,GASOLINA,45.97
RAIZEN MIME,20/01/2023,DIESEL S10,13.51
RAIZEN MIME,24/01/2023,DIESEL,6.34
RAIZEN MIME,26/01/2023,GASOLINA,10.67
RAIZEN MIME,02/01/2023,GASOLINA ADITIVADA,23.06
RAIZEN MIME,09/01/2023,DIESEL S10,26.65
RAIZEN MIME,18/01/2023,ETANOL,4.89
RAIZEN MIME,25/01/2023,ETANOL,14.57
RAIZEN MIME,04/01/2023,GASOLINA ADITIVADA,15.86
RAIZEN MIME,16/01/2023,ETANOL,24.51
RAIZEN MIME,05/01/2023,ETANOL,34.53
RAIZEN MIME,03/01/2023,GASOLINA ADITIVADA,27.36
RAIZEN MIME,26/01/2023,ETANOL,9.37
RAIZEN MIME,16/01/2023,GASOLINA ADITIVADA,37.87
RAIZEN MIME,17/01/2023,DIESEL S10,27.14
RAIZEN MIME,16/01/2023,DIESEL S10,33.94
RAIZEN MIME,02/01/2023,DIESEL S10,14.28
RAIZEN MIME,10/01/2023,DIESEL,6.19
RAIZEN MIME,11/01/2023,GASOLINA,15.56
RAIZEN MIME,02/01/2023,DIESEL,6.64
RAIZEN MIME,18/01/2023,GASOLINA,5.38
RAIZEN MIME,09/01/2023,GASOLINA ADITIVADA,27.5
RAIZEN MIME,11/01/2023,GNV,5.49
RAIZEN MIME,04/01/2023,DIESEL S10,18.77
RAIZEN MIME,11/01/2023,ETANOL,14.97
RAIZEN MIME,02/01/2023,ETANOL,14.85
RAIZEN MIME,24/01/2023,GASOLINA,20.1
RAIZEN MIME,10/01/2023,DIESEL S10,13.28
RAIZEN MIME,26/01/2023,GNV,5.49
RAIZEN MIME,16/01/2023,GNV,5.79
RAIZEN MIME,25/01/2023,DIESEL S10,6.39
RAIZEN MIME,03/01/2023,DIESEL S10,27.26
RAIZEN MIME,26/01/2023,GASOLINA ADITIVADA,10.97
RAIZEN MIME,11/01/2023,DIESEL,13.57
RAIZEN MIME,25/01/2023,DIESEL,6.19
RAIZEN MIME,16/01/2023,DIESEL,6.19
RAIZEN MIME,17/01/2023,GASOLINA ADITIVADA,32.37
RAIZEN MIME,25/01/2023,GASOLINA,15.95
RAIZEN MIME,05/01/2023,DIESEL S10,20.45
RAIZEN MIME,20/01/2023,GNV,5.69
RAIZEN MIME,23/01/2023,ETANOL,23.91
RAIZEN MIME,10/01/2023,GASOLINA ADITIVADA,16.42
RAIZEN MIME,03/01/2023,ETANOL,14.52
RAIZEN MIME,20/01/2023,DIESEL,6.52
RAIZEN MIME,23/01/2023,GASOLINA ADITIVADA,36.72
RAIZEN MIME,26/01/2023,DIESEL S10,6.39
RAIZEN MIME,20/01/2023,ETANOL,14.36
RAIZEN MIME,23/01/2023,DIESEL,12.38
RAIZEN MIME,11/01/2023,DIESEL S10,13.66
RAIZEN MIME,02/01/2023,GNV,5.79
RAIZEN MIME,09/01/2023,DIESEL,6.09
RAIZEN MIME,05/01/2023,GNV,5.49
RAIZEN MIME,11/01/2023,GASOLINA ADITIVADA,16.3
RAIZEN MIME,23/01/2023,DIESEL S10,26.56
RAIZEN MIME,02/01/2023,GASOLINA,22.4
RAIZEN MIME,24/01/2023,DIESEL S10,19.82
RAIZEN MIME,17/01/2023,DIESEL,19.04
RAIZEN MIME,24/01/2023,GASOLINA ADITIVADA,21.19
RAIZEN MIME,09/02/2023,GASOLINA,5.28
RAIZEN MIME,21/02/2023,GASOLINA ADITIVADA,26.39
RAIZEN MIME,01/02/2023,ETANOL,24.25
RAIZEN MIME,02/02/2023,ETANOL,9.37
RAIZEN MIME,13/02/2023,GNV,5.49
RAIZEN MIME,16/02/2023,DIESEL,18.36
RAIZEN MIME,08/02/2023,GASOLINA ADITIVADA,16.62
RAIZEN MIME,14/02/2023,DIESEL,12.38
RAIZEN MIME,01/02/2023,GNV,5.69
RAIZEN MIME,06/02/2023,DIESEL S10,19.27
RAIZEN MIME,22/02/2023,ETANOL,33.38
RAIZEN MIME,31/01/2023,GASOLINA ADITIVADA,21.64
RAIZEN MIME,08/02/2023,GASOLINA,21.12
RAIZEN MIME,01/02/2023,GASOLINA ADITIVADA,33.48
RAIZEN MIME,06/02/2023,GASOLINA,37.13
RAIZEN MIME,09/02/2023,GASOLINA ADITIVADA,5.58
RAIZEN MIME,22/02/2023,GASOLINA,42.95
RAIZEN MIME,21/02/2023,DIESEL S10,18.27
RAIZEN MIME,13/02/2023,GASOLINA ADITIVADA,32.57
RAIZEN MIME,06/02/2023,GASOLINA ADITIVADA,27.1
RAIZEN MIME,02/02/2023,GASOLINA ADITIVADA,11.17
RAIZEN MIME,30/01/2023,ETANOL,18.87
RAIZEN MIME,01/02/2023,GASOLINA,32.13
RAIZEN MIME,30/01/2023,GASOLINA,36.97
RAIZEN MIME,16/02/2023,GASOLINA,20.94
RAIZEN MIME,31/01/2023,DIESEL,6.86
RAIZEN MIME,13/02/2023,DIESEL,11.58
RAIZEN MIME,10/02/2023,GASOLINA ADITIVADA,10.27
RAIZEN MIME,13/02/2023,GASOLINA,42.46
RAIZEN MIME,16/02/2023,DIESEL S10,18.87
RAIZEN MIME,16/02/2023,GASOLINA ADITIVADA,22.14
RAIZEN MIME,14/02/2023,ETANOL,20.11
RAIZEN MIME,07/02/2023,GASOLINA ADITIVADA,21.66
RAIZEN MIME,02/02/2023,GNV,5.49
RAIZEN MIME,01/02/2023,DIESEL S10,13.16
RAIZEN MIME,30/01/2023,GASOLINA ADITIVADA,27.04
RAIZEN MIME,31/01/2023,GASOLINA,20.62
RAIZEN MIME,02/02/2023,DIESEL S10,13.36
RAIZEN MIME,10/02/2023,GASOLINA,9.88
RAIZEN MIME,30/01/2023,DIESEL,12.28
RAIZEN MIME,07/02/2023,DIESEL,6.76
RAIZEN MIME,22/02/2023,GASOLINA ADITIVADA,33.52
RAIZEN MIME,09/02/2023,ETANOL,4.78
RAIZEN MIME,22/02/2023,DIESEL,11.87
RAIZEN MIME,07/02/2023,DIESEL S10,19.55
RAIZEN MIME,13/02/2023,ETANOL,24.25
RAIZEN MIME,14/02/2023,GASOLINA ADITIVADA,27.99
RAIZEN MIME,30/01/2023,DIESEL S10,19.27
RAIZEN MIME,08/02/2023,DIESEL S10,20.38
RAIZEN MIME,31/01/2023,DIESEL S10,19.7
RAIZEN MIME,02/02/2023,DIESEL,13.15
RAIZEN MIME,02/02/2023,GASOLINA,10.57
RAIZEN MIME,09/02/2023,DIESEL S10,6.39
RAIZEN MIME,09/02/2023,DIESEL,6.29
RAIZEN MIME,14/02/2023,DIESEL S10,19.08
RAIZEN MIME,08/02/2023,DIESEL,13.2
RAIZEN MIME,22/02/2023,DIESEL S10,24.73
RAIZEN MIME,07/02/2023,ETANOL,10.13
RAIZEN MIME,08/02/2023,ETANOL,9.18
RAIZEN MIME,06/02/2023,ETANOL,19.61
RAIZEN MIME,16/02/2023,GNV,5.49
RAIZEN MIME,31/01/2023,ETANOL,9.58
RAIZEN MIME,07/02/2023,GASOLINA,20.61
RAIZEN MIME,16/02/2023,ETANOL,13.96
RAIZEN MIME,10/02/2023,ETANOL,4.59
RAIZEN MIME,01/02/2023,DIESEL,13.54
RAIZEN MIME,14/02/2023,GASOLINA,31.84
RAIZEN MIME,06/02/2023,DIESEL,18.7
RAIZEN MIME,13/02/2023,DIESEL S10,25.25
RAIZEN MIME,21/02/2023,GASOLINA,25.48
RAIZEN MIME,06/03/2023,GNV,5.49
RAIZEN MIME,15/03/2023,GASOLINA ADITIVADA,5.76
RAIZEN MIME,02/03/2023,ETANOL,4.59
