Bandeira,Data da Coleta,Produto,Valor de Venda
RAIZEN,06/01/2023,GASOLINA,5.19
RAIZEN,11/01/2023,DIESEL,260.02
RAIZEN,04/01/2023,GASOLINA,423.93
RAIZEN,10/01/2023,DIESEL S10,605.89
RAIZEN,10/01/2023,GASOLINA,740.22
RAIZEN,06/01/2023,ETANOL,4.38
RAIZEN,20/01/2023,DIESEL,37.51
RAIZEN,09/01/2023,GASOLINA,860.33
RAIZEN,25/01/2023,DIESEL S10,528.94
RAIZEN,02/01/2023,DIESEL,299.01
RAIZEN,20/01/2023,GASOLINA,35.16
RAIZEN,13/01/2023,GASOLINA ADITIVADA,31.86
RAIZEN,12/01/2023,GASOLINA ADITIVADA,333.99
RAIZEN,24/01/2023,DIESEL,383.12
RAIZEN,12/01/2023,GASOLINA,366.66
RAIZEN,17/01/2023,DIESEL,424.48
RAIZEN,23/01/2023,DIESEL,307.12
RAIZEN,23/01/2023,GASOLINA,725.49
RAIZEN,24/01/2023,GNV,112.98
RAIZEN,17/01/2023,GASOLINA,883.16
RAIZEN,11/01/2023,GASOLINA,599.55
RAIZEN,18/01/2023,DIESEL S10,449.2
RAIZEN,18/01/2023,GASOLINA,523.95
RAIZEN,25/01/2023,GASOLINA,647.79
RAIZEN,19/01/2023,ETANOL,163.31
RAIZEN,18/01/2023,GNV,27.59
RAIZEN,09/01/2023,GNV,75.07
RAIZEN,10/01/2023,GNV,113.55
RAIZEN,11/01/2023,DIESEL S10,510.84
RAIZEN,13/01/2023,GASOLINA,30.5
RAIZEN,17/01/2023,DIESEL S10,745.97
RAIZEN,26/01/2023,DIESEL S10,303.47
RAIZEN,13/01/2023,DIESEL,6.17
RAIZEN,16/01/2023,GASOLINA ADITIVADA,743.95
RAIZEN,26/01/2023,GASOLINA,360.82
RAIZEN,19/01/2023,DIESEL,129.82
RAIZEN,20/01/2023,ETANOL,28.83
RAIZEN,19/01/2023,GNV,4.59
RAIZEN,16/01/2023,GNV,107.31
RAIZEN,12/01/2023,ETANOL,294.26
RAIZEN,20/01/2023,DIESEL S10,31.42
RAIZEN,06/01/2023,GASOLINA ADITIVADA,5.36
RAIZEN,23/01/2023,GNV,60.96
RAIZEN,19/01/2023,DIESEL S10,172.24
RAIZEN,16/01/2023,DIESEL S10,622.43
RAIZEN,10/01/2023,GASOLINA ADITIVADA,733.09
RAIZEN,19/01/2023,GASOLINA,217.5
RAIZEN,05/01/2023,GASOLINA ADITIVADA,479.91
RAIZEN,24/01/2023,GASOLINA,916.08
RAIZEN,23/01/2023,ETANOL,514.82
RAIZEN,18/01/2023,DIESEL,190.4
RAIZEN,25/01/2023,GNV,50.55
RAIZEN,03/01/2023,ETANOL,538.91
RAIZEN,03/01/2023,DIESEL S10,558.6
RAIZEN,26/01/2023,DIESEL,189.53
RAIZEN,09/01/2023,DIESEL,345.37
RAIZEN,25/01/2023,DIESEL,356.36
RAIZEN,18/01/2023,ETANOL,399.3
RAIZEN,17/01/2023,GNV,90.74
RAIZEN,03/01/2023,DIESEL,252.9
RAIZEN,05/01/2023,DIESEL,217.45
RAIZEN,05/01/2023,GASOLINA,483.18
RAIZEN,11/01/2023,GASOLINA ADITIVADA,564.79
RAIZEN,16/01/2023,GASOLINA,793.28
RAIZEN,19/01/2023,GASOLINA ADITIVADA,208.37
RAIZEN,24/01/2023,DIESEL S10,892.84
RAIZEN,09/01/2023,DIESEL S10,691.65
RAIZEN,05/01/2023,DIESEL S10,392.91
RAIZEN,10/01/2023,ETANOL,569.09
RAIZEN,13/01/2023,ETANOL,24.94
