Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
S,PR,PARANAGUA,POSTO 44 PARANAGUA COMERCIO DE COMBUSTIVEIS LTDA,31.806.277/0001-30,RODOVIA BR-277,5344,,COLONIA SANTA RITA,83209-715,ETANOL,25/01/2023,4.32,,R$ / litro,RAIZEN,2023-11-21
S,PR,PARANAGUA,POSTO 44 PARANAGUA COMERCIO DE COMBUSTIVEIS LTDA,31.806.277/0001-30,RODOVIA BR-277,5344,,COLONIA SANTA RITA,83209-715,DIESEL S10,25/01/2023,6.86,,R$ / litro,RAIZEN,2023-11-21
S,PR,PARANAGUA,POSTO 44 PARANAGUA COMERCIO DE COMBUSTIVEIS LTDA,31.806.277/0001-30,RODOVIA BR-277,5344,,COLONIA SANTA RITA,83209-715,DIESEL,25/01/2023,6.76,,R$ / litro,RAIZEN,2023-11-21
S,PR,PARANAGUA,POSTO 44 PARANAGUA COMERCIO DE COMBUSTIVEIS LTDA,31.806.277/0001-30,RODOVIA BR-277,5344,,COLONIA SANTA RITA,83209-715,GASOLINA ADITIVADA,25/01/2023,5.54,,R$ / litro,RAIZEN,2023-11-21
S,PR,PARANAGUA,POSTO 44 PARANAGUA COMERCIO DE COMBUSTIVEIS LTDA,31.806.277/0001-30,RODOVIA BR-277,5344,,COLONIA SANTA RITA,83209-715,GASOLINA,25/01/2023,5.44,,R$ / litro,RAIZEN,2023-11-21
NE,CE,FORTALEZA,DAG DISTRIBUIDORA DE COMBUSTIVEL LTDA,26.090.366/0001-92,RODOVIA ANEL VIARIO,2121,,ANCURI,60874-212,ETANOL,24/01/2023,4.59,,R$ / litro,RAIZEN,2023-11-21
NE,CE,FORTALEZA,DAG DISTRIBUIDORA DE COMBUSTIVEL LTDA,26.090.366/0001-92,RODOVIA ANEL VIARIO,2121,,ANCURI,60874-212,DIESEL S10,24/01/2023,6.59,,R$ / litro,RAIZEN,2023-11-21
NE,CE,FORTALEZA,DAG DISTRIBUIDORA DE COMBUSTIVEL LTDA,26.090.366/0001-92,RODOVIA ANEL VIARIO,2121,,ANCURI,60874-212,GASOLINA ADITIVADA,24/01/2023,5.81,,R$ / litro,RAIZEN,2023-11-21
NE,CE,FORTALEZA,DAG DISTRIBUIDORA DE COMBUSTIVEL LTDA,26.090.366/0001-92,RODOVIA ANEL VIARIO,2121,,ANCURI,60874-212,GASOLINA,24/01/2023,5.59,,R$ / litro,RAIZEN,2023-11-21
SE,ES,SERRA,POSTO FERRARI LIMOEIRO LTDA.,31.563.999/0001-00,AVENIDA LOURIVAL NUNES,1338,,JARDIM LIMOEIRO,29164-050,DIESEL S10,25/01/2023,5.99,,R$ / litro,RAIZEN,2023-11-21
SE,ES,SERRA,POSTO FERRARI LIMOEIRO LTDA.,31.563.999/0001-00,AVENIDA LOURIVAL NUNES,1338,,JARDIM LIMOEIRO,29164-050,GASOLINA,25/01/2023,4.99,,R$ / litro,RAIZEN,2023-11-21
SE,MG,VARGINHA,COMERCIO DE COMBUSTIVEIS NOVA ALIANCA VARGINHA LTDA,34.390.392/0001-64,AVENIDA FRANCISCO NAVARRA,101,POSTO,CENTRO,37006-000,ETANOL,25/01/2023,3.64,,R$ / litro,RAIZEN,2023-11-21
SE,MG,VARGINHA,COMERCIO DE COMBUSTIVEIS NOVA ALIANCA VARGINHA LTDA,34.390.392/0001-64,AVENIDA FRANCISCO NAVARRA,101,POSTO,CENTRO,37006-000,DIESEL S10,25/01/2023,6.54,,R$ / litro,RAIZEN,2023-11-21
SE,MG,VARGINHA,COMERCIO DE COMBUSTIVEIS NOVA ALIANCA VARGINHA LTDA,34.390.392/0001-64,AVENIDA FRANCISCO NAVARRA,101,POSTO,CENTRO,37006-000,GASOLINA ADITIVADA,25/01/2023,5.09,,R$ / litro,RAIZEN,2023-11-21
SE,MG,VARGINHA,COMERCIO DE COMBUSTIVEIS NOVA ALIANCA VARGINHA LTDA,34.390.392/0001-64,AVENIDA FRANCISCO NAVARRA,101,POSTO,CENTRO,37006-000,GASOLINA,25/01/2023,4.69,,R$ / litro,RAIZEN,2023-11-21
