Bandeira,Data da Coleta,Produto,Valor de Venda
REJAILE,17/01/2023,GASOLINA,5.28
REJAILE,05/01/2023,GASOLINA,5.28
REJAILE,23/01/2023,GASOLINA,5.18
REJAILE,09/01/2023,GASOLINA,5.28
REJAILE,30/01/2023,GASOLINA,5.43
REJAILE,13/02/2023,GASOLINA,5.37
REJAILE,22/02/2023,GASOLINA,5.37
REJAILE,06/02/2023,GASOLINA,5.43
REJAILE,14/03/2023,GASOLINA,5.77
REJAILE,01/03/2023,GASOLINA,5.37
REJAILE,09/03/2023,GASOLINA,5.77
REJAILE,27/03/2023,GASOLINA,5.77
REJAILE,03/04/2023,GASOLINA,5.77
REJAILE,10/04/2023,GASOLINA,5.77
REJAILE,20/03/2023,GASOLINA,5.77
REJAILE,17/04/2023,GASOLINA,5.77
REJAILE,25/04/2023,GASOLINA,5.77
REJAILE,08/05/2023,GASOLINA,5.77
REJAILE,30/05/2023,GASOLINA,5.37
REJAILE,05/06/2023,GASOLINA,5.67
REJAILE,19/06/2023,GASOLINA,5.54
