Bandeira,Data da Coleta,Produto,Valor de Venda
RIO BRANCO,05/01/2023,DIESEL S10,12.75
RIO BRANCO,16/01/2023,DIESEL S10,6.26
RIO BRANCO,11/01/2023,GASOLINA,4.99
RIO BRANCO,05/01/2023,GASOLINA,10.23
RIO BRANCO,11/01/2023,ETANOL,3.79
RIO BRANCO,17/01/2023,GASOLINA,4.89
RIO BRANCO,26/01/2023,DIESEL,5.99
RIO BRANCO,26/01/2023,GASOLINA ADITIVADA,4.67
RIO BRANCO,19/01/2023,DIESEL S10,12.38
RIO BRANCO,11/01/2023,DIESEL S10,6.49
RIO BRANCO,16/01/2023,ETANOL,3.96
RIO BRANCO,16/01/2023,DIESEL,6.18
RIO BRANCO,25/01/2023,DIESEL,6.18
RIO BRANCO,26/01/2023,GASOLINA,4.67
RIO BRANCO,16/01/2023,GASOLINA,5.15
RIO BRANCO,10/01/2023,DIESEL S10,6.26
RIO BRANCO,25/01/2023,ETANOL,7.75
RIO BRANCO,10/01/2023,DIESEL,6.18
RIO BRANCO,16/01/2023,GASOLINA ADITIVADA,5.15
RIO BRANCO,25/01/2023,DIESEL S10,6.26
RIO BRANCO,05/01/2023,ETANOL,7.94
RIO BRANCO,05/01/2023,DIESEL,6.18
RIO BRANCO,05/01/2023,GASOLINA ADITIVADA,5.15
RIO BRANCO,25/01/2023,GASOLINA,10.04
RIO BRANCO,17/01/2023,ETANOL,3.79
RIO BRANCO,19/01/2023,ETANOL,7.56
RIO BRANCO,10/01/2023,ETANOL,3.96
RIO BRANCO,26/01/2023,ETANOL,3.47
RIO BRANCO,10/01/2023,GASOLINA,5.15
RIO BRANCO,19/01/2023,GASOLINA,9.76
RIO BRANCO,19/01/2023,DIESEL,12.18
RIO BRANCO,19/01/2023,GASOLINA ADITIVADA,4.99
RIO BRANCO,10/01/2023,GASOLINA ADITIVADA,5.15
RIO BRANCO,25/01/2023,GASOLINA ADITIVADA,5.15
RIO BRANCO,26/01/2023,DIESEL S10,6.09
