Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
CO,GO,CATALAO,POSTO 2001 LTDA,00.930.154/0001-82,RUA 111 ESQ C/ AV JOSE MARCELINO,SN,QUADRA032                 LOTE  011,CASTELO BRANCO,75710-030,ETANOL,05/05/2023,4.17,,R$ / litro,RIO BRANCO,2023-11-21
CO,GO,CATALAO,POSTO 2001 LTDA,00.930.154/0001-82,RUA 111 ESQ C/ AV JOSE MARCELINO,SN,QUADRA032                 LOTE  011,CASTELO BRANCO,75710-030,GASOLINA,05/05/2023,5.29,,R$ / litro,RIO BRANCO,2023-11-21
SE,MG,ARAXA,PEREIRA COMERCIO DE COMBUSTIVEIS LTDA,17.428.198/0001-01,AVENIDA HITALO ROS,1300,,MORADA DO SOL,38181-419,ETANOL,03/05/2023,4.34,,R$ / litro,RIO BRANCO,2023-11-21
SE,MG,ARAXA,PEREIRA COMERCIO DE COMBUSTIVEIS LTDA,17.428.198/0001-01,AVENIDA HITALO ROS,1300,,MORADA DO SOL,38181-419,DIESEL S10,03/05/2023,5.89,,R$ / litro,RIO BRANCO,2023-11-21
SE,MG,ARAXA,PEREIRA COMERCIO DE COMBUSTIVEIS LTDA,17.428.198/0001-01,AVENIDA HITALO ROS,1300,,MORADA DO SOL,38181-419,DIESEL,03/05/2023,5.79,,R$ / litro,RIO BRANCO,2023-11-21
SE,MG,ARAXA,PEREIRA COMERCIO DE COMBUSTIVEIS LTDA,17.428.198/0001-01,AVENIDA HITALO ROS,1300,,MORADA DO SOL,38181-419,GASOLINA ADITIVADA,03/05/2023,5.49,,R$ / litro,RIO BRANCO,2023-11-21
SE,MG,ARAXA,PEREIRA COMERCIO DE COMBUSTIVEIS LTDA,17.428.198/0001-01,AVENIDA HITALO ROS,1300,,MORADA DO SOL,38181-419,GASOLINA,03/05/2023,5.49,,R$ / litro,RIO BRANCO,2023-11-21
SE,MG,PASSOS,POSTO SERRA DAS BRISAS LTDA,39.582.313/0001-30,AVENIDA JK,1974,,BELO HORIZONTE,37901-503,ETANOL,03/05/2023,4.19,,R$ / litro,RIO BRANCO,2023-11-21
SE,MG,PASSOS,POSTO SERRA DAS BRISAS LTDA,39.582.313/0001-30,AVENIDA JK,1974,,BELO HORIZONTE,37901-503,DIESEL S10,03/05/2023,5.89,,R$ / litro,RIO BRANCO,2023-11-21
SE,MG,PASSOS,POSTO SERRA DAS BRISAS LTDA,39.582.313/0001-30,AVENIDA JK,1974,,BELO HORIZONTE,37901-503,DIESEL,03/05/2023,5.79,,R$ / litro,RIO BRANCO,2023-11-21
SE,MG,PASSOS,POSTO SERRA DAS BRISAS LTDA,39.582.313/0001-30,AVENIDA JK,1974,,BELO HORIZONTE,37901-503,GASOLINA ADITIVADA,03/05/2023,5.39,,R$ / litro,RIO BRANCO,2023-11-21
SE,MG,PASSOS,POSTO SERRA DAS BRISAS LTDA,39.582.313/0001-30,AVENIDA JK,1974,,BELO HORIZONTE,37901-503,GASOLINA,03/05/2023,5.39,,R$ / litro,RIO BRANCO,2023-11-21
SE,MG,PATROCINIO,AUTO POSTO ECONOMICO LTDA,09.573.096/0001-51,AVENIDA FARIA PEREIRA,95,,NACOES,38740-001,ETANOL,10/05/2023,4.19,,R$ / litro,RIO BRANCO,2023-11-21
SE,MG,PATROCINIO,AUTO POSTO ECONOMICO LTDA,09.573.096/0001-51,AVENIDA FARIA PEREIRA,95,,NACOES,38740-001,DIESEL S10,10/05/2023,5.89,,R$ / litro,RIO BRANCO,2023-11-21
SE,MG,PATROCINIO,AUTO POSTO ECONOMICO LTDA,09.573.096/0001-51,AVENIDA FARIA PEREIRA,95,,NACOES,38740-001,DIESEL,10/05/2023,5.79,,R$ / litro,RIO BRANCO,2023-11-21
SE,MG,PATROCINIO,AUTO POSTO ECONOMICO LTDA,09.573.096/0001-51,AVENIDA FARIA PEREIRA,95,,NACOES,38740-001,GASOLINA,10/05/2023,5.69,,R$ / litro,RIO BRANCO,2023-11-21
CO,GO,CATALAO,POSTO 2001 LTDA,00.930.154/0001-82,RUA 111 ESQ C/ AV JOSE MARCELINO,SN,QUADRA032                 LOTE  011,CASTELO BRANCO,75710-030,ETANOL,11/05/2023,3.99,,R$ / litro,RIO BRANCO,2023-11-21
CO,GO,CATALAO,POSTO 2001 LTDA,00.930.154/0001-82,RUA 111 ESQ C/ AV JOSE MARCELINO,SN,QUADRA032                 LOTE  011,CASTELO BRANCO,75710-030,GASOLINA,11/05/2023,5.29,,R$ / litro,RIO BRANCO,2023-11-21
SE,MG,ARAXA,PEREIRA COMERCIO DE COMBUSTIVEIS LTDA,17.428.198/0001-01,AVENIDA HITALO ROS,1300,,MORADA DO SOL,38181-419,DIESEL,10/05/2023,5.59,,R$ / litro,RIO BRANCO,2023-11-21
SE,MG,ARAXA,PEREIRA COMERCIO DE COMBUSTIVEIS LTDA,17.428.198/0001-01,AVENIDA HITALO ROS,1300,,MORADA DO SOL,38181-419,GASOLINA ADITIVADA,10/05/2023,5.44,,R$ / litro,RIO BRANCO,2023-11-21
SE,MG,ARAXA,PEREIRA COMERCIO DE COMBUSTIVEIS LTDA,17.428.198/0001-01,AVENIDA HITALO ROS,1300,,MORADA DO SOL,38181-419,GASOLINA,10/05/2023,5.44,,R$ / litro,RIO BRANCO,2023-11-21
SE,MG,ARAXA,PEREIRA COMERCIO DE COMBUSTIVEIS LTDA,17.428.198/0001-01,AVENIDA HITALO ROS,1300,,MORADA DO SOL,38181-419,ETANOL,10/05/2023,4.34,,R$ / litro,RIO BRANCO,2023-11-21
SE,MG,ARAXA,PEREIRA COMERCIO DE COMBUSTIVEIS LTDA,17.428.198/0001-01,AVENIDA HITALO ROS,1300,,MORADA DO SOL,38181-419,DIESEL S10,10/05/2023,5.69,,R$ / litro,RIO BRANCO,2023-11-21
