Bandeira,Data da Coleta,Produto,Valor de Venda
RODOIL,18/01/2023,DIESEL S10,38.18
RODOIL,11/01/2023,GASOLINA,10.38
RODOIL,12/01/2023,DIESEL S10,6.39
RODOIL,24/01/2023,GASOLINA ADITIVADA,10.32
RODOIL,03/01/2023,GASOLINA,10.28
RODOIL,04/01/2023,GASOLINA ADITIVADA,15.24
RODOIL,03/01/2023,GASOLINA ADITIVADA,10.53
RODOIL,03/01/2023,DIESEL S10,12.77
RODOIL,04/01/2023,DIESEL S10,13.08
RODOIL,02/01/2023,DIESEL S10,13.34
RODOIL,09/01/2023,GASOLINA,10.11
RODOIL,24/01/2023,ETANOL,4.09
RODOIL,18/01/2023,GASOLINA ADITIVADA,25.3
RODOIL,18/01/2023,DIESEL,19.07
RODOIL,17/01/2023,DIESEL,6.19
RODOIL,09/01/2023,GASOLINA ADITIVADA,10.36
RODOIL,17/01/2023,GASOLINA ADITIVADA,15.15
RODOIL,18/01/2023,ETANOL,6.57
RODOIL,11/01/2023,GASOLINA ADITIVADA,10.58
RODOIL,02/01/2023,GASOLINA ADITIVADA,15.68
RODOIL,23/01/2023,GASOLINA ADITIVADA,20.12
RODOIL,02/01/2023,ETANOL,4.89
RODOIL,10/01/2023,ETANOL,14.77
RODOIL,09/01/2023,ETANOL,4.89
RODOIL,25/01/2023,DIESEL S10,24.86
RODOIL,25/01/2023,DIESEL,12.58
RODOIL,05/01/2023,GASOLINA,4.76
RODOIL,10/01/2023,DIESEL,12.95
RODOIL,17/01/2023,ETANOL,13.15
RODOIL,23/01/2023,DIESEL,6.28
RODOIL,23/01/2023,GASOLINA,24.41
RODOIL,11/01/2023,DIESEL,6.49
RODOIL,25/01/2023,ETANOL,8.98
RODOIL,10/01/2023,GASOLINA,24.55
RODOIL,16/01/2023,GASOLINA,20.5
RODOIL,25/01/2023,GASOLINA ADITIVADA,21.13
RODOIL,24/01/2023,DIESEL S10,13.02
RODOIL,23/01/2023,ETANOL,11.46
RODOIL,16/01/2023,DIESEL S10,19.72
RODOIL,12/01/2023,DIESEL,6.29
RODOIL,17/01/2023,GASOLINA,14.65
RODOIL,02/01/2023,GASOLINA,15.43
RODOIL,16/01/2023,GASOLINA ADITIVADA,20.92
RODOIL,04/01/2023,DIESEL,6.49
RODOIL,09/01/2023,DIESEL S10,6.59
RODOIL,10/01/2023,GASOLINA ADITIVADA,26.17
RODOIL,12/01/2023,GASOLINA,4.98
RODOIL,10/01/2023,DIESEL S10,31.81
RODOIL,25/01/2023,GASOLINA,25.32
RODOIL,04/01/2023,GASOLINA,14.84
RODOIL,03/01/2023,DIESEL,6.18
RODOIL,11/01/2023,ETANOL,6.34
RODOIL,17/01/2023,DIESEL S10,24.74
RODOIL,18/01/2023,GASOLINA,29.36
RODOIL,23/01/2023,DIESEL S10,25.62
