Bandeira,Data da Coleta,Produto,Valor de Venda
ROYAL FIC,17/01/2023,GASOLINA,4.66
ROYAL FIC,26/01/2023,GASOLINA,4.76
ROYAL FIC,12/01/2023,DIESEL S10,6.69
ROYAL FIC,17/01/2023,DIESEL S10,6.69
ROYAL FIC,12/01/2023,GASOLINA ADITIVADA,4.76
ROYAL FIC,12/01/2023,ETANOL,3.79
ROYAL FIC,17/01/2023,GASOLINA ADITIVADA,4.66
ROYAL FIC,26/01/2023,GASOLINA ADITIVADA,4.76
ROYAL FIC,26/01/2023,ETANOL,3.65
ROYAL FIC,17/01/2023,ETANOL,3.79
ROYAL FIC,26/01/2023,DIESEL,6.39
ROYAL FIC,12/01/2023,DIESEL,6.59
ROYAL FIC,26/01/2023,DIESEL S10,6.49
ROYAL FIC,12/01/2023,GASOLINA,4.76
ROYAL FIC,17/01/2023,DIESEL,6.59
ROYAL FIC,21/02/2023,ETANOL,3.65
ROYAL FIC,21/02/2023,GASOLINA ADITIVADA,4.86
ROYAL FIC,21/02/2023,GASOLINA,4.86
ROYAL FIC,21/02/2023,DIESEL S10,6.19
ROYAL FIC,21/02/2023,DIESEL,6.09
ROYAL FIC,09/03/2023,GASOLINA ADITIVADA,5.19
ROYAL FIC,03/03/2023,ETANOL,3.65
ROYAL FIC,09/03/2023,DIESEL,6.09
ROYAL FIC,09/03/2023,ETANOL,3.65
ROYAL FIC,03/03/2023,DIESEL S10,6.19
ROYAL FIC,09/03/2023,GASOLINA,5.19
ROYAL FIC,03/03/2023,GASOLINA,5.19
ROYAL FIC,09/03/2023,DIESEL S10,6.19
ROYAL FIC,03/03/2023,DIESEL,6.09
ROYAL FIC,03/03/2023,GASOLINA ADITIVADA,5.19
ROYAL FIC,28/03/2023,GASOLINA ADITIVADA,5.07
ROYAL FIC,13/04/2023,ETANOL,3.65
ROYAL FIC,28/03/2023,ETANOL,3.65
ROYAL FIC,13/04/2023,GASOLINA,5.15
ROYAL FIC,13/04/2023,DIESEL,5.99
ROYAL FIC,28/03/2023,DIESEL,5.99
ROYAL FIC,13/04/2023,DIESEL S10,6.09
ROYAL FIC,28/03/2023,DIESEL S10,6.09
ROYAL FIC,28/03/2023,GASOLINA,5.07
ROYAL FIC,21/04/2023,ETANOL,3.75
ROYAL FIC,21/04/2023,DIESEL,5.89
ROYAL FIC,21/04/2023,GASOLINA ADITIVADA,4.99
ROYAL FIC,21/04/2023,DIESEL S10,5.99
ROYAL FIC,21/04/2023,GASOLINA,4.99
ROYAL FIC,25/05/2023,GASOLINA,4.99
ROYAL FIC,17/05/2023,ETANOL,3.89
ROYAL FIC,17/05/2023,DIESEL S10,5.49
ROYAL FIC,25/05/2023,ETANOL,3.65
ROYAL FIC,25/05/2023,GASOLINA ADITIVADA,4.99
ROYAL FIC,17/05/2023,DIESEL,5.46
ROYAL FIC,17/05/2023,GASOLINA,5.09
ROYAL FIC,25/05/2023,DIESEL S10,5.29
ROYAL FIC,17/05/2023,GASOLINA ADITIVADA,5.09
ROYAL FIC,25/05/2023,DIESEL,5.19
ROYAL FIC,31/05/2023,ETANOL,3.65
ROYAL FIC,07/06/2023,GASOLINA,5.07
ROYAL FIC,31/05/2023,DIESEL,5.19
ROYAL FIC,07/06/2023,DIESEL,4.99
ROYAL FIC,07/06/2023,DIESEL S10,5.09
ROYAL FIC,31/05/2023,GASOLINA,4.87
ROYAL FIC,07/06/2023,GASOLINA ADITIVADA,5.07
ROYAL FIC,07/06/2023,ETANOL,3.49
ROYAL FIC,31/05/2023,GASOLINA ADITIVADA,4.87
ROYAL FIC,31/05/2023,DIESEL S10,5.29
