Bandeira,Data da Coleta,Produto,Valor de Venda
SABBÁ,09/01/2023,GASOLINA ADITIVADA,27.31
SABBÁ,05/01/2023,DIESEL S10,13.27
SABBÁ,23/01/2023,GASOLINA,78.46
SABBÁ,11/01/2023,GASOLINA ADITIVADA,41.89
SABBÁ,10/01/2023,GASOLINA ADITIVADA,88.71
SABBÁ,03/01/2023,DIESEL S10,86.51
SABBÁ,05/01/2023,ETANOL,4.39
SABBÁ,09/01/2023,DIESEL S10,21.47
SABBÁ,05/01/2023,GASOLINA,19.52
SABBÁ,25/01/2023,DIESEL S10,38.07
SABBÁ,17/01/2023,ETANOL,65.76
SABBÁ,11/01/2023,ETANOL,12.97
SABBÁ,05/01/2023,GASOLINA ADITIVADA,15.37
SABBÁ,18/01/2023,GASOLINA,35.55
SABBÁ,26/01/2023,ETANOL,4.25
SABBÁ,16/01/2023,GASOLINA ADITIVADA,31.01
SABBÁ,03/01/2023,GASOLINA ADITIVADA,62.28
SABBÁ,26/01/2023,DIESEL,6.5
SABBÁ,04/01/2023,GASOLINA ADITIVADA,46.34
SABBÁ,17/01/2023,GASOLINA,136.04
SABBÁ,16/01/2023,DIESEL S10,13.58
SABBÁ,19/01/2023,GASOLINA ADITIVADA,21.27
SABBÁ,11/01/2023,DIESEL S10,52.59
SABBÁ,24/01/2023,GASOLINA ADITIVADA,72.43
SABBÁ,12/01/2023,ETANOL,4.39
SABBÁ,02/01/2023,DIESEL S10,47.45
SABBÁ,19/01/2023,GASOLINA,30.35
SABBÁ,05/01/2023,DIESEL,6.79
SABBÁ,02/01/2023,ETANOL,26.61
SABBÁ,12/01/2023,GASOLINA ADITIVADA,10.08
SABBÁ,19/01/2023,DIESEL S10,34.58
SABBÁ,26/01/2023,GASOLINA,10.3
SABBÁ,25/01/2023,GASOLINA,40.83
SABBÁ,10/01/2023,ETANOL,46.71
SABBÁ,18/01/2023,GASOLINA ADITIVADA,42.01
SABBÁ,17/01/2023,GASOLINA ADITIVADA,113.99
SABBÁ,17/01/2023,DIESEL,100.13
SABBÁ,26/01/2023,GASOLINA ADITIVADA,10.76
SABBÁ,23/01/2023,DIESEL S10,72.44
SABBÁ,09/01/2023,DIESEL,7.39
SABBÁ,23/01/2023,GASOLINA ADITIVADA,72.58
SABBÁ,24/01/2023,DIESEL S10,60.02
SABBÁ,04/01/2023,DIESEL,26.76
SABBÁ,16/01/2023,ETANOL,21.04
SABBÁ,16/01/2023,GASOLINA,29.51
SABBÁ,04/01/2023,ETANOL,44.25
