Bandeira,Data da Coleta,Produto,Valor de Venda
SETTA DISTRIBUIDORA,03/01/2023,ETANOL,3.89
SETTA DISTRIBUIDORA,03/01/2023,GASOLINA,4.82
SETTA DISTRIBUIDORA,03/01/2023,DIESEL S10,6.15
SETTA DISTRIBUIDORA,01/02/2023,GASOLINA,5.09
SETTA DISTRIBUIDORA,01/02/2023,DIESEL S10,5.98
SETTA DISTRIBUIDORA,01/02/2023,ETANOL,3.99
SETTA DISTRIBUIDORA,01/03/2023,DIESEL S10,5.6
SETTA DISTRIBUIDORA,01/03/2023,GASOLINA,5.54
SETTA DISTRIBUIDORA,01/03/2023,ETANOL,4.15
SETTA DISTRIBUIDORA,22/03/2023,ETANOL,4.08
SETTA DISTRIBUIDORA,22/03/2023,DIESEL S10,5.48
SETTA DISTRIBUIDORA,05/04/2023,GASOLINA,5.34
SETTA DISTRIBUIDORA,05/04/2023,DIESEL S10,5.39
SETTA DISTRIBUIDORA,05/04/2023,ETANOL,4.04
SETTA DISTRIBUIDORA,22/03/2023,GASOLINA,5.39
SETTA DISTRIBUIDORA,03/05/2023,DIESEL S10,10.18
SETTA DISTRIBUIDORA,03/05/2023,GASOLINA,10.33
SETTA DISTRIBUIDORA,19/04/2023,ETANOL,3.99
SETTA DISTRIBUIDORA,19/04/2023,GASOLINA,5.18
SETTA DISTRIBUIDORA,03/05/2023,ETANOL,8.04
SETTA DISTRIBUIDORA,19/04/2023,DIESEL S10,5.29
SETTA DISTRIBUIDORA,17/05/2023,GASOLINA,4.97
SETTA DISTRIBUIDORA,24/05/2023,GASOLINA,4.96
SETTA DISTRIBUIDORA,17/05/2023,DIESEL S10,4.87
SETTA DISTRIBUIDORA,10/05/2023,GASOLINA,5.13
SETTA DISTRIBUIDORA,24/05/2023,DIESEL S10,4.84
SETTA DISTRIBUIDORA,17/05/2023,ETANOL,4.09
SETTA DISTRIBUIDORA,24/05/2023,ETANOL,4.08
SETTA DISTRIBUIDORA,10/05/2023,ETANOL,4.05
SETTA DISTRIBUIDORA,10/05/2023,DIESEL S10,4.99
SETTA DISTRIBUIDORA,14/06/2023,GASOLINA,5.42
SETTA DISTRIBUIDORA,31/05/2023,GASOLINA,4.99
SETTA DISTRIBUIDORA,07/06/2023,DIESEL S10,4.59
SETTA DISTRIBUIDORA,05/06/2023,ETANOL,4.27
SETTA DISTRIBUIDORA,31/05/2023,ETANOL,4.09
SETTA DISTRIBUIDORA,07/06/2023,ETANOL,4.29
SETTA DISTRIBUIDORA,14/06/2023,ETANOL,4.19
SETTA DISTRIBUIDORA,05/06/2023,DIESEL S10,4.77
SETTA DISTRIBUIDORA,07/06/2023,GASOLINA,5.48
SETTA DISTRIBUIDORA,05/06/2023,GASOLINA,5.55
SETTA DISTRIBUIDORA,14/06/2023,DIESEL S10,4.46
SETTA DISTRIBUIDORA,31/05/2023,DIESEL S10,4.69
