Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
NE,PE,RECIFE,AFOGADOS COMERCIO DE COMBUSTIVEL LTDA - EPP,10.231.004/0001-34,RUA COSME VIANA,721,LOJA  1,AFOGADOS,50830-150,ETANOL,03/05/2023,4.05,,R$ / litro,SETTA DISTRIBUIDORA,2023-11-21
NE,PE,RECIFE,AFOGADOS COMERCIO DE COMBUSTIVEL LTDA - EPP,10.231.004/0001-34,RUA COSME VIANA,721,LOJA  1,AFOGADOS,50830-150,DIESEL S10,03/05/2023,5.09,,R$ / litro,SETTA DISTRIBUIDORA,2023-11-21
NE,PE,RECIFE,AFOGADOS COMERCIO DE COMBUSTIVEL LTDA - EPP,10.231.004/0001-34,RUA COSME VIANA,721,LOJA  1,AFOGADOS,50830-150,GASOLINA,03/05/2023,5.15,,R$ / litro,SETTA DISTRIBUIDORA,2023-11-21
NE,PE,RECIFE,TORRE COMERCIO DE COMBUSTIVEIS LTDA,04.172.512/0001-96,RUA REAL DA TORRE,954,,TORRE,50710-100,ETANOL,10/05/2023,4.05,,R$ / litro,SETTA DISTRIBUIDORA,2023-11-21
NE,PE,RECIFE,TORRE COMERCIO DE COMBUSTIVEIS LTDA,04.172.512/0001-96,RUA REAL DA TORRE,954,,TORRE,50710-100,DIESEL S10,10/05/2023,4.99,,R$ / litro,SETTA DISTRIBUIDORA,2023-11-21
NE,PE,RECIFE,TORRE COMERCIO DE COMBUSTIVEIS LTDA,04.172.512/0001-96,RUA REAL DA TORRE,954,,TORRE,50710-100,GASOLINA,10/05/2023,5.13,,R$ / litro,SETTA DISTRIBUIDORA,2023-11-21
NE,PE,RECIFE,TORRE COMERCIO DE COMBUSTIVEIS LTDA,04.172.512/0001-96,RUA REAL DA TORRE,954,,TORRE,50710-100,ETANOL,17/05/2023,4.09,,R$ / litro,SETTA DISTRIBUIDORA,2023-11-21
NE,PE,RECIFE,TORRE COMERCIO DE COMBUSTIVEIS LTDA,04.172.512/0001-96,RUA REAL DA TORRE,954,,TORRE,50710-100,DIESEL S10,17/05/2023,4.87,,R$ / litro,SETTA DISTRIBUIDORA,2023-11-21
NE,PE,RECIFE,TORRE COMERCIO DE COMBUSTIVEIS LTDA,04.172.512/0001-96,RUA REAL DA TORRE,954,,TORRE,50710-100,GASOLINA,17/05/2023,4.97,,R$ / litro,SETTA DISTRIBUIDORA,2023-11-21
NE,PE,RECIFE,TORRE COMERCIO DE COMBUSTIVEIS LTDA,04.172.512/0001-96,RUA REAL DA TORRE,954,,TORRE,50710-100,ETANOL,24/05/2023,4.08,,R$ / litro,SETTA DISTRIBUIDORA,2023-11-21
NE,PE,RECIFE,TORRE COMERCIO DE COMBUSTIVEIS LTDA,04.172.512/0001-96,RUA REAL DA TORRE,954,,TORRE,50710-100,DIESEL S10,24/05/2023,4.84,,R$ / litro,SETTA DISTRIBUIDORA,2023-11-21
NE,PE,RECIFE,TORRE COMERCIO DE COMBUSTIVEIS LTDA,04.172.512/0001-96,RUA REAL DA TORRE,954,,TORRE,50710-100,GASOLINA,24/05/2023,4.96,,R$ / litro,SETTA DISTRIBUIDORA,2023-11-21
