Bandeira,Data da Coleta,Produto,Valor de Venda
SIMARELLI,12/01/2023,GASOLINA ADITIVADA,4.93
SIMARELLI,23/01/2023,ETANOL,4.49
SIMARELLI,02/01/2023,DIESEL S10,6.79
SIMARELLI,09/01/2023,GASOLINA ADITIVADA,5.39
SIMARELLI,02/01/2023,ETANOL,4.49
SIMARELLI,16/01/2023,DIESEL S10,6.99
SIMARELLI,23/01/2023,DIESEL S10,6.99
SIMARELLI,09/01/2023,ETANOL,4.49
SIMARELLI,23/01/2023,GASOLINA ADITIVADA,5.19
SIMARELLI,12/01/2023,ETANOL,3.77
SIMARELLI,16/01/2023,GASOLINA ADITIVADA,5.33
SIMARELLI,16/01/2023,ETANOL,4.49
SIMARELLI,02/01/2023,DIESEL,6.77
SIMARELLI,09/01/2023,DIESEL,7.19
SIMARELLI,12/01/2023,DIESEL S10,6.45
SIMARELLI,23/01/2023,DIESEL,6.95
SIMARELLI,16/01/2023,DIESEL,6.95
SIMARELLI,12/01/2023,GASOLINA,4.86
SIMARELLI,09/01/2023,DIESEL S10,7.29
SIMARELLI,02/01/2023,GASOLINA ADITIVADA,5.29
SIMARELLI,30/01/2023,DIESEL,6.95
SIMARELLI,30/01/2023,GASOLINA ADITIVADA,5.39
SIMARELLI,14/02/2023,ETANOL,11.75
SIMARELLI,01/02/2023,GASOLINA,4.96
SIMARELLI,06/02/2023,DIESEL,6.95
SIMARELLI,20/02/2023,ETANOL,7.96
SIMARELLI,08/02/2023,GASOLINA ADITIVADA,4.98
SIMARELLI,20/02/2023,GASOLINA,4.96
SIMARELLI,14/02/2023,DIESEL,6.67
SIMARELLI,08/02/2023,ETANOL,3.67
SIMARELLI,08/02/2023,GASOLINA,4.96
SIMARELLI,20/02/2023,GASOLINA ADITIVADA,10.27
SIMARELLI,08/02/2023,DIESEL S10,6.45
SIMARELLI,30/01/2023,ETANOL,4.49
SIMARELLI,20/02/2023,DIESEL S10,13.14
SIMARELLI,30/01/2023,DIESEL S10,6.99
SIMARELLI,14/02/2023,GASOLINA ADITIVADA,10.27
SIMARELLI,01/02/2023,DIESEL S10,6.45
SIMARELLI,14/02/2023,DIESEL S10,18.99
SIMARELLI,01/02/2023,ETANOL,3.67
SIMARELLI,06/02/2023,GASOLINA ADITIVADA,5.29
SIMARELLI,01/02/2023,GASOLINA ADITIVADA,4.98
SIMARELLI,06/02/2023,ETANOL,4.49
SIMARELLI,06/02/2023,DIESEL S10,6.99
SIMARELLI,14/02/2023,GASOLINA,9.58
SIMARELLI,20/02/2023,DIESEL,6.67
SIMARELLI,01/03/2023,DIESEL S10,6.09
SIMARELLI,09/03/2023,ETANOL,3.77
SIMARELLI,27/02/2023,DIESEL,6.67
SIMARELLI,09/03/2023,GASOLINA,5.39
SIMARELLI,01/03/2023,ETANOL,3.67
SIMARELLI,06/03/2023,GASOLINA,5.19
SIMARELLI,14/03/2023,ETANOL,3.73
SIMARELLI,27/02/2023,GASOLINA ADITIVADA,5.45
SIMARELLI,14/03/2023,DIESEL S10,5.75
SIMARELLI,01/03/2023,GASOLINA,4.96
SIMARELLI,09/03/2023,DIESEL S10,6.09
SIMARELLI,06/03/2023,GASOLINA ADITIVADA,5.85
SIMARELLI,06/03/2023,DIESEL,6.67
SIMARELLI,06/03/2023,DIESEL S10,12.54
SIMARELLI,06/03/2023,ETANOL,8.12
SIMARELLI,01/03/2023,GASOLINA ADITIVADA,4.98
SIMARELLI,27/02/2023,ETANOL,4.29
SIMARELLI,14/03/2023,GASOLINA,5.09
SIMARELLI,09/03/2023,GASOLINA ADITIVADA,5.59
SIMARELLI,27/02/2023,DIESEL S10,6.69
SIMARELLI,03/04/2023,DIESEL,5.95
SIMARELLI,03/04/2023,ETANOL,4.59
SIMARELLI,21/03/2023,ETANOL,4.39
SIMARELLI,28/03/2023,DIESEL S10,5.75
SIMARELLI,28/03/2023,GASOLINA,4.99
SIMARELLI,21/03/2023,GASOLINA ADITIVADA,5.68
SIMARELLI,03/04/2023,GASOLINA ADITIVADA,5.83
SIMARELLI,27/03/2023,GASOLINA ADITIVADA,5.85
SIMARELLI,21/03/2023,DIESEL S10,6.34
SIMARELLI,21/03/2023,DIESEL,6.27
SIMARELLI,27/03/2023,ETANOL,4.59
SIMARELLI,27/03/2023,DIESEL,6.27
SIMARELLI,03/04/2023,DIESEL S10,6.01
SIMARELLI,27/03/2023,DIESEL S10,6.34
SIMARELLI,28/03/2023,ETANOL,3.73
SIMARELLI,17/04/2023,DIESEL,6.05
SIMARELLI,25/04/2023,GASOLINA ADITIVADA,5.86
SIMARELLI,25/04/2023,DIESEL,6.05
SIMARELLI,10/04/2023,DIESEL,5.95
SIMARELLI,05/05/2023,GASOLINA ADITIVADA,5.59
SIMARELLI,17/04/2023,GASOLINA ADITIVADA,5.91
SIMARELLI,10/04/2023,ETANOL,4.59
SIMARELLI,10/04/2023,DIESEL S10,6.01
SIMARELLI,05/05/2023,ETANOL,3.97
SIMARELLI,05/05/2023,DIESEL S10,5.99
SIMARELLI,25/04/2023,ETANOL,4.59
SIMARELLI,17/04/2023,ETANOL,4.59
SIMARELLI,25/04/2023,DIESEL S10,6.11
SIMARELLI,05/05/2023,GASOLINA,5.39
SIMARELLI,10/04/2023,GASOLINA ADITIVADA,5.85
SIMARELLI,17/04/2023,DIESEL S10,6.11
SIMARELLI,08/05/2023,DIESEL S10,6.11
SIMARELLI,02/05/2023,ETANOL,5.09
SIMARELLI,09/05/2023,GASOLINA,5.39
SIMARELLI,09/05/2023,GASOLINA ADITIVADA,5.59
SIMARELLI,08/05/2023,DIESEL,6.05
SIMARELLI,02/05/2023,DIESEL,6.05
SIMARELLI,15/05/2023,ETANOL,4.99
SIMARELLI,08/05/2023,ETANOL,5.09
SIMARELLI,08/05/2023,GASOLINA ADITIVADA,5.79
SIMARELLI,15/05/2023,GASOLINA ADITIVADA,5.83
SIMARELLI,24/05/2023,GASOLINA ADITIVADA,5.63
SIMARELLI,15/05/2023,DIESEL S10,5.89
SIMARELLI,09/05/2023,ETANOL,3.97
SIMARELLI,15/05/2023,DIESEL,5.79
SIMARELLI,24/05/2023,ETANOL,4.99
SIMARELLI,02/05/2023,GASOLINA ADITIVADA,5.88
SIMARELLI,24/05/2023,DIESEL S10,5.64
SIMARELLI,02/05/2023,DIESEL S10,6.11
SIMARELLI,24/05/2023,DIESEL,5.61
