Bandeira,Data da Coleta,Produto,Valor de Venda
SP,03/01/2023,GASOLINA,16.74
SP,17/01/2023,GASOLINA,15.69
SP,03/01/2023,DIESEL S10,20.24
SP,16/01/2023,ETANOL,13.47
SP,11/01/2023,GASOLINA ADITIVADA,5.6
SP,26/01/2023,ETANOL,22.65
SP,18/01/2023,GASOLINA ADITIVADA,5.69
SP,18/01/2023,ETANOL,4.29
SP,23/01/2023,DIESEL S10,6.89
SP,18/01/2023,DIESEL S10,6.89
SP,09/01/2023,GASOLINA ADITIVADA,11.38
SP,24/01/2023,GASOLINA ADITIVADA,11.29
SP,16/01/2023,GASOLINA,16.77
SP,26/01/2023,DIESEL S10,33.13
SP,09/01/2023,DIESEL S10,13.58
SP,10/01/2023,GASOLINA ADITIVADA,15.94
SP,24/01/2023,ETANOL,9.08
SP,03/01/2023,GASOLINA ADITIVADA,11.28
SP,25/01/2023,GASOLINA,5.56
SP,17/01/2023,DIESEL S10,19.77
SP,23/01/2023,GASOLINA,5.49
SP,04/01/2023,DIESEL,6.55
SP,23/01/2023,GASOLINA ADITIVADA,5.49
SP,04/01/2023,DIESEL S10,27.36
SP,05/01/2023,GASOLINA,5.49
SP,10/01/2023,GASOLINA,15.74
SP,10/01/2023,DIESEL,6.25
SP,11/01/2023,ETANOL,4.79
SP,18/01/2023,GASOLINA,5.59
SP,04/01/2023,GASOLINA,21.53
SP,23/01/2023,ETANOL,4.99
SP,26/01/2023,GASOLINA,27.95
SP,11/01/2023,GASOLINA,5.59
SP,25/01/2023,DIESEL S10,6.66
SP,11/01/2023,DIESEL S10,7.29
SP,24/01/2023,GASOLINA,11.13
SP,05/01/2023,DIESEL S10,6.89
SP,17/01/2023,DIESEL,6.15
SP,10/01/2023,ETANOL,14.17
SP,04/01/2023,GASOLINA ADITIVADA,15.95
SP,16/01/2023,DIESEL S10,19.75
SP,09/01/2023,GASOLINA,11.13
SP,24/01/2023,DIESEL S10,13.98
SP,09/01/2023,ETANOL,8.58
SP,17/01/2023,GASOLINA ADITIVADA,15.94
SP,05/01/2023,ETANOL,4.99
SP,10/01/2023,DIESEL S10,20.17
SP,05/01/2023,GASOLINA ADITIVADA,5.59
SP,16/01/2023,GASOLINA ADITIVADA,17.03
SP,03/01/2023,ETANOL,9.18
SP,17/01/2023,ETANOL,13.87
SP,04/01/2023,ETANOL,18.56
SP,26/01/2023,GASOLINA ADITIVADA,22.62
SP,15/02/2023,GASOLINA ADITIVADA,5.89
SP,07/02/2023,ETANOL,13.67
SP,14/02/2023,GASOLINA,16.13
SP,09/02/2023,GASOLINA ADITIVADA,11.88
SP,01/02/2023,GASOLINA,21.85
SP,08/02/2023,GASOLINA,5.79
SP,15/02/2023,ETANOL,8.88
SP,09/02/2023,ETANOL,8.68
SP,07/02/2023,GASOLINA,22.05
SP,07/02/2023,DIESEL,5.95
SP,01/02/2023,ETANOL,13.77
SP,30/01/2023,DIESEL S10,6.69
SP,06/02/2023,DIESEL S10,6.69
SP,31/01/2023,DIESEL S10,6.99
SP,01/02/2023,DIESEL,5.95
SP,13/02/2023,GASOLINA ADITIVADA,5.76
SP,02/02/2023,ETANOL,13.97
SP,31/01/2023,GASOLINA ADITIVADA,5.79
SP,15/02/2023,DIESEL S10,13.28
SP,30/01/2023,ETANOL,4.29
SP,06/02/2023,ETANOL,4.29
SP,20/02/2023,ETANOL,9.38
SP,02/02/2023,GASOLINA ADITIVADA,16.98
SP,06/02/2023,GASOLINA ADITIVADA,5.69
SP,07/02/2023,DIESEL S10,20.06
SP,14/02/2023,ETANOL,9.38
SP,30/01/2023,GASOLINA,5.54
SP,20/02/2023,DIESEL S10,12.78
SP,08/02/2023,DIESEL S10,6.99
SP,14/02/2023,DIESEL S10,19.54
SP,15/02/2023,GASOLINA,11.58
SP,02/02/2023,DIESEL S10,13.55
SP,08/02/2023,ETANOL,4.99
SP,09/02/2023,GASOLINA,11.57
SP,13/02/2023,GASOLINA,5.67
SP,09/02/2023,DIESEL S10,6.69
SP,01/02/2023,GASOLINA ADITIVADA,10.45
SP,31/01/2023,ETANOL,4.99
SP,14/02/2023,GASOLINA ADITIVADA,10.33
SP,13/02/2023,DIESEL S10,6.69
SP,01/02/2023,DIESEL S10,26.13
SP,31/01/2023,GASOLINA,5.79
SP,06/02/2023,GASOLINA,5.54
SP,30/01/2023,GASOLINA ADITIVADA,5.69
SP,08/02/2023,GASOLINA ADITIVADA,5.79
SP,20/02/2023,GASOLINA,11.58
SP,13/02/2023,ETANOL,4.59
SP,07/02/2023,GASOLINA ADITIVADA,16.35
SP,02/02/2023,GASOLINA,16.87
SP,14/02/2023,DIESEL,5.95
SP,22/02/2023,DIESEL S10,19.86
SP,02/03/2023,GASOLINA ADITIVADA,5.95
SP,23/02/2023,DIESEL S10,6.69
SP,23/02/2023,GASOLINA,5.78
SP,07/03/2023,ETANOL,9.57
SP,24/02/2023,DIESEL S10,5.68
SP,15/03/2023,DIESEL,5.79
SP,02/03/2023,DIESEL S10,5.99
SP,07/03/2023,GASOLINA,11.42
SP,24/02/2023,GASOLINA,4.58
