Bandeira,Data da Coleta,Produto,Valor de Venda
STANG,20/01/2023,DIESEL S10,18.52
STANG,17/01/2023,DIESEL,6.19
STANG,17/01/2023,GASOLINA,14.79
STANG,12/01/2023,GASOLINA,4.86
STANG,10/01/2023,ETANOL,17.46
STANG,24/01/2023,GASOLINA ADITIVADA,19.39
STANG,23/01/2023,ETANOL,7.98
STANG,23/01/2023,DIESEL,6.19
STANG,03/01/2023,DIESEL S10,25.32
STANG,19/01/2023,GASOLINA ADITIVADA,10.05
STANG,18/01/2023,GASOLINA,4.85
STANG,20/01/2023,DIESEL,12.18
STANG,18/01/2023,DIESEL S10,6.19
STANG,17/01/2023,DIESEL S10,18.69
STANG,09/01/2023,DIESEL S10,12.78
STANG,23/01/2023,GASOLINA,10.18
STANG,12/01/2023,ETANOL,3.79
STANG,19/01/2023,GASOLINA,10.05
STANG,12/01/2023,DIESEL,5.92
STANG,10/01/2023,DIESEL,6.19
STANG,12/01/2023,DIESEL S10,6.05
STANG,23/01/2023,GASOLINA ADITIVADA,10.18
STANG,03/01/2023,ETANOL,17.36
STANG,10/01/2023,GASOLINA,19.64
STANG,24/01/2023,DIESEL S10,24.54
STANG,26/01/2023,DIESEL S10,12.44
STANG,24/01/2023,GASOLINA,19.39
STANG,18/01/2023,GASOLINA ADITIVADA,4.85
STANG,19/01/2023,DIESEL S10,12.7
STANG,20/01/2023,GASOLINA,14.77
STANG,16/01/2023,DIESEL S10,6.39
STANG,10/01/2023,DIESEL S10,25.18
STANG,26/01/2023,ETANOL,7.88
STANG,09/01/2023,ETANOL,8.98
STANG,09/01/2023,DIESEL,6.29
STANG,10/01/2023,GASOLINA ADITIVADA,19.64
STANG,03/01/2023,DIESEL,6.12
STANG,26/01/2023,DIESEL,12.21
STANG,03/01/2023,GASOLINA ADITIVADA,14.97
STANG,18/01/2023,ETANOL,4.49
STANG,23/01/2023,DIESEL S10,6.31
STANG,17/01/2023,ETANOL,12.97
STANG,26/01/2023,GASOLINA,10.42
STANG,24/01/2023,DIESEL,5.89
STANG,20/01/2023,GASOLINA ADITIVADA,14.77
STANG,16/01/2023,GASOLINA,5.09
STANG,17/01/2023,GASOLINA ADITIVADA,14.79
STANG,12/01/2023,GASOLINA ADITIVADA,4.86
STANG,16/01/2023,GASOLINA ADITIVADA,5.09
STANG,09/01/2023,GASOLINA ADITIVADA,10.21
STANG,19/01/2023,ETANOL,8.48
STANG,26/01/2023,GASOLINA ADITIVADA,10.42
STANG,16/01/2023,ETANOL,4.09
STANG,20/01/2023,ETANOL,11.91
STANG,03/01/2023,GASOLINA,19.86
STANG,09/01/2023,GASOLINA,10.21
STANG,24/01/2023,ETANOL,17.34
STANG,23/02/2023,GASOLINA,24.79
STANG,22/02/2023,GASOLINA,20.33
STANG,02/02/2023,DIESEL S10,12.18
STANG,06/02/2023,GASOLINA ADITIVADA,9.88
STANG,22/02/2023,GASOLINA ADITIVADA,20.33
STANG,14/02/2023,GASOLINA ADITIVADA,20.4
STANG,14/02/2023,DIESEL S10,23.15
STANG,31/01/2023,GASOLINA ADITIVADA,30.98
STANG,07/02/2023,DIESEL S10,6.39
STANG,16/02/2023,ETANOL,8.58
STANG,02/02/2023,GASOLINA,9.85
STANG,30/01/2023,GASOLINA ADITIVADA,4.94
STANG,07/02/2023,GASOLINA ADITIVADA,10.34
STANG,23/02/2023,GASOLINA ADITIVADA,24.79
STANG,23/02/2023,DIESEL S10,22.87
STANG,14/02/2023,GASOLINA,20.4
STANG,02/02/2023,ETANOL,7.58
STANG,16/02/2023,GASOLINA,10.31
STANG,14/02/2023,ETANOL,17.56
STANG,15/02/2023,DIESEL S10,5.89
STANG,15/02/2023,ETANOL,7.98
STANG,08/02/2023,ETANOL,16.66
