Bandeira,Data da Coleta,Produto,Valor de Venda
SUL COMBUSTÍVEIS,17/01/2023,DIESEL,6.39
SUL COMBUSTÍVEIS,18/01/2023,DIESEL,5.99
SUL COMBUSTÍVEIS,10/01/2023,GASOLINA ADITIVADA,4.99
SUL COMBUSTÍVEIS,17/01/2023,GASOLINA ADITIVADA,4.94
SUL COMBUSTÍVEIS,10/01/2023,ETANOL,4.79
SUL COMBUSTÍVEIS,25/01/2023,DIESEL,6.29
SUL COMBUSTÍVEIS,17/01/2023,DIESEL S10,6.49
SUL COMBUSTÍVEIS,10/01/2023,DIESEL,6.39
SUL COMBUSTÍVEIS,25/01/2023,DIESEL S10,6.39
SUL COMBUSTÍVEIS,18/01/2023,GASOLINA,9.68
SUL COMBUSTÍVEIS,10/01/2023,DIESEL S10,6.49
SUL COMBUSTÍVEIS,25/01/2023,ETANOL,4.79
SUL COMBUSTÍVEIS,18/01/2023,GASOLINA ADITIVADA,9.93
SUL COMBUSTÍVEIS,10/01/2023,GASOLINA,4.89
SUL COMBUSTÍVEIS,25/01/2023,GASOLINA ADITIVADA,4.94
SUL COMBUSTÍVEIS,18/01/2023,DIESEL S10,12.38
SUL COMBUSTÍVEIS,25/01/2023,GASOLINA,4.79
SUL COMBUSTÍVEIS,17/01/2023,GASOLINA,4.79
SUL COMBUSTÍVEIS,14/03/2023,ETANOL,4.79
SUL COMBUSTÍVEIS,14/03/2023,GASOLINA ADITIVADA,16.53
SUL COMBUSTÍVEIS,14/03/2023,GASOLINA,16.13
SUL COMBUSTÍVEIS,14/03/2023,DIESEL,11.43
SUL COMBUSTÍVEIS,14/03/2023,DIESEL S10,17.67
SUL COMBUSTÍVEIS,28/03/2023,DIESEL S10,11.27
SUL COMBUSTÍVEIS,28/03/2023,GASOLINA,10.73
SUL COMBUSTÍVEIS,28/03/2023,ETANOL,9.38
SUL COMBUSTÍVEIS,28/03/2023,DIESEL,11.07
SUL COMBUSTÍVEIS,28/03/2023,GASOLINA ADITIVADA,10.98
SUL COMBUSTÍVEIS,19/04/2023,GASOLINA,5.39
SUL COMBUSTÍVEIS,19/04/2023,GASOLINA ADITIVADA,5.54
SUL COMBUSTÍVEIS,20/04/2023,GASOLINA,5.09
SUL COMBUSTÍVEIS,20/04/2023,DIESEL S10,6.08
SUL COMBUSTÍVEIS,19/04/2023,DIESEL S10,5.89
SUL COMBUSTÍVEIS,17/05/2023,GASOLINA ADITIVADA,21.93
SUL COMBUSTÍVEIS,04/05/2023,GASOLINA ADITIVADA,5.89
SUL COMBUSTÍVEIS,04/05/2023,DIESEL S10,6.08
SUL COMBUSTÍVEIS,04/05/2023,GASOLINA,5.79
SUL COMBUSTÍVEIS,10/05/2023,DIESEL,5.98
SUL COMBUSTÍVEIS,04/05/2023,DIESEL,5.98
SUL COMBUSTÍVEIS,17/05/2023,GASOLINA,21.48
SUL COMBUSTÍVEIS,10/05/2023,DIESEL S10,6.08
SUL COMBUSTÍVEIS,10/05/2023,GASOLINA ADITIVADA,5.89
SUL COMBUSTÍVEIS,10/05/2023,GASOLINA,5.79
SUL COMBUSTÍVEIS,17/05/2023,ETANOL,14.17
SUL COMBUSTÍVEIS,17/05/2023,DIESEL S10,22.15
SUL COMBUSTÍVEIS,17/05/2023,DIESEL,21.66
SUL COMBUSTÍVEIS,13/06/2023,DIESEL S10,5.29
SUL COMBUSTÍVEIS,01/06/2023,DIESEL,5.19
SUL COMBUSTÍVEIS,13/06/2023,GASOLINA ADITIVADA,5.59
SUL COMBUSTÍVEIS,01/06/2023,GASOLINA ADITIVADA,5.29
SUL COMBUSTÍVEIS,01/06/2023,GASOLINA,5.25
SUL COMBUSTÍVEIS,01/06/2023,DIESEL S10,5.29
SUL COMBUSTÍVEIS,27/06/2023,DIESEL S10,5.29
SUL COMBUSTÍVEIS,20/06/2023,GASOLINA,5.55
SUL COMBUSTÍVEIS,20/06/2023,DIESEL,5.19
SUL COMBUSTÍVEIS,20/06/2023,GASOLINA ADITIVADA,5.59
SUL COMBUSTÍVEIS,27/06/2023,GASOLINA ADITIVADA,5.59
SUL COMBUSTÍVEIS,20/06/2023,DIESEL S10,5.29
