Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
S,RS,SANTA MARIA,JP SANTA LUCIA COMERCIO DE COMBUSTIVEIS LTDA,17.695.813/0015-41,AVENIDA JOAO LUIZ POZZOBON,1200,,KM 3,97095-465,ETANOL,14/03/2023,4.79,,R$ / litro,SUL COMBUSTÍVEIS,2023-11-21
S,RS,SANTA MARIA,JP SANTA LUCIA COMERCIO DE COMBUSTIVEIS LTDA,17.695.813/0015-41,AVENIDA JOAO LUIZ POZZOBON,1200,,KM 3,97095-465,DIESEL S10,14/03/2023,5.99,,R$ / litro,SUL COMBUSTÍVEIS,2023-11-21
S,RS,SANTA MARIA,JP SANTA LUCIA COMERCIO DE COMBUSTIVEIS LTDA,17.695.813/0015-41,AVENIDA JOAO LUIZ POZZOBON,1200,,KM 3,97095-465,DIESEL,14/03/2023,5.89,,R$ / litro,SUL COMBUSTÍVEIS,2023-11-21
S,RS,SANTA MARIA,JP SANTA LUCIA COMERCIO DE COMBUSTIVEIS LTDA,17.695.813/0015-41,AVENIDA JOAO LUIZ POZZOBON,1200,,KM 3,97095-465,GASOLINA ADITIVADA,14/03/2023,5.54,,R$ / litro,SUL COMBUSTÍVEIS,2023-11-21
S,RS,SANTA MARIA,JP SANTA LUCIA COMERCIO DE COMBUSTIVEIS LTDA,17.695.813/0015-41,AVENIDA JOAO LUIZ POZZOBON,1200,,KM 3,97095-465,GASOLINA,14/03/2023,5.39,,R$ / litro,SUL COMBUSTÍVEIS,2023-11-21
S,RS,SANTA MARIA,JP SANTA LUCIA COMERCIO DE COMBUSTIVEIS LTDA,17.695.813/0018-94,RUA BARAO DO TRIUNFO,965,AUTO POSTO,NOSSA SENHORA DE FATIMA,97015-070,DIESEL S10,14/03/2023,5.99,,R$ / litro,SUL COMBUSTÍVEIS,2023-11-21
S,RS,SANTA MARIA,JP SANTA LUCIA COMERCIO DE COMBUSTIVEIS LTDA,17.695.813/0018-94,RUA BARAO DO TRIUNFO,965,AUTO POSTO,NOSSA SENHORA DE FATIMA,97015-070,GASOLINA ADITIVADA,14/03/2023,5.54,,R$ / litro,SUL COMBUSTÍVEIS,2023-11-21
S,RS,SANTA MARIA,JP SANTA LUCIA COMERCIO DE COMBUSTIVEIS LTDA,17.695.813/0018-94,RUA BARAO DO TRIUNFO,965,AUTO POSTO,NOSSA SENHORA DE FATIMA,97015-070,GASOLINA,14/03/2023,5.39,,R$ / litro,SUL COMBUSTÍVEIS,2023-11-21
S,RS,SANTA MARIA,TREINO COMERCIO DE COMBUSTIVEIS - EIRELI,33.517.308/0001-68,RUA ASSIS BRASIL,395,,ITARARE,97045-070,DIESEL S10,14/03/2023,5.69,,R$ / litro,SUL COMBUSTÍVEIS,2023-11-21
S,RS,SANTA MARIA,TREINO COMERCIO DE COMBUSTIVEIS - EIRELI,33.517.308/0001-68,RUA ASSIS BRASIL,395,,ITARARE,97045-070,DIESEL,14/03/2023,5.54,,R$ / litro,SUL COMBUSTÍVEIS,2023-11-21
S,RS,SANTA MARIA,TREINO COMERCIO DE COMBUSTIVEIS - EIRELI,33.517.308/0001-68,RUA ASSIS BRASIL,395,,ITARARE,97045-070,GASOLINA ADITIVADA,14/03/2023,5.45,,R$ / litro,SUL COMBUSTÍVEIS,2023-11-21
S,RS,SANTA MARIA,TREINO COMERCIO DE COMBUSTIVEIS - EIRELI,33.517.308/0001-68,RUA ASSIS BRASIL,395,,ITARARE,97045-070,GASOLINA,14/03/2023,5.35,,R$ / litro,SUL COMBUSTÍVEIS,2023-11-21
