Bandeira,Data da Coleta,Produto,Valor de Venda
TAURUS,26/01/2023,GASOLINA,4.89
TAURUS,12/01/2023,ETANOL,7.66
TAURUS,11/01/2023,GASOLINA,5.09
TAURUS,26/01/2023,ETANOL,3.69
TAURUS,09/01/2023,DIESEL S10,19.57
TAURUS,23/01/2023,ETANOL,19.71
TAURUS,05/01/2023,ETANOL,4.07
TAURUS,02/01/2023,GASOLINA,5.19
TAURUS,17/01/2023,GASOLINA,4.69
TAURUS,03/01/2023,GASOLINA,24.53
TAURUS,25/01/2023,DIESEL,6.27
TAURUS,12/01/2023,DIESEL S10,12.86
TAURUS,16/01/2023,DIESEL S10,6.2
TAURUS,03/01/2023,DIESEL,19.04
TAURUS,03/01/2023,ETANOL,19.43
TAURUS,25/01/2023,ETANOL,3.87
TAURUS,18/01/2023,DIESEL S10,6.47
TAURUS,16/01/2023,DIESEL,6.1
TAURUS,25/01/2023,DIESEL S10,6.37
TAURUS,17/01/2023,DIESEL S10,6.49
TAURUS,18/01/2023,GASOLINA,4.69
TAURUS,09/01/2023,ETANOL,11.65
TAURUS,05/01/2023,DIESEL,6.19
TAURUS,16/01/2023,GASOLINA,4.7
TAURUS,25/01/2023,GASOLINA,4.97
TAURUS,17/01/2023,GNV,4.89
TAURUS,11/01/2023,ETANOL,3.99
TAURUS,17/01/2023,DIESEL,6.39
TAURUS,03/01/2023,GASOLINA ADITIVADA,4.94
TAURUS,02/01/2023,ETANOL,4.19
TAURUS,09/01/2023,DIESEL,12.88
TAURUS,12/01/2023,GASOLINA,9.66
TAURUS,23/01/2023,GASOLINA ADITIVADA,10.28
TAURUS,16/01/2023,ETANOL,3.99
TAURUS,11/01/2023,DIESEL,6.49
TAURUS,17/01/2023,ETANOL,3.69
TAURUS,09/01/2023,GASOLINA,14.6
TAURUS,02/01/2023,DIESEL,6.29
TAURUS,18/01/2023,ETANOL,3.79
TAURUS,23/01/2023,GASOLINA,24.47
TAURUS,05/01/2023,GASOLINA,4.97
TAURUS,03/01/2023,DIESEL S10,32.11
TAURUS,23/01/2023,DIESEL,25.61
TAURUS,05/01/2023,DIESEL S10,6.29
TAURUS,12/01/2023,DIESEL,12.66
TAURUS,09/01/2023,GASOLINA ADITIVADA,9.83
TAURUS,23/01/2023,DIESEL S10,32.4
TAURUS,06/02/2023,GASOLINA ADITIVADA,15.52
TAURUS,24/01/2023,DIESEL S10,6.45
TAURUS,30/01/2023,ETANOL,19.62
TAURUS,01/02/2023,DIESEL,6.27
TAURUS,06/02/2023,DIESEL S10,32.38
TAURUS,20/02/2023,DIESEL S10,6.07
TAURUS,06/02/2023,DIESEL,25.49
TAURUS,08/02/2023,GASOLINA ADITIVADA,4.99
TAURUS,01/02/2023,GASOLINA,5.07
TAURUS,14/02/2023,DIESEL S10,19.28
TAURUS,09/02/2023,DIESEL,6.32
TAURUS,31/01/2023,DIESEL S10,12.58
TAURUS,01/02/2023,DIESEL S10,6.37
TAURUS,08/02/2023,GASOLINA,9.78
TAURUS,31/01/2023,GASOLINA ADITIVADA,4.99
TAURUS,30/01/2023,GASOLINA ADITIVADA,15.52
TAURUS,09/02/2023,GASOLINA,5.52
