Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
CO,MS,CAMPO GRANDE,AUTO POSTO AIMORE LTDA,06.316.366/0001-50,AVENIDA GUAICURUS,8138,,VILA AIMORE II,79074-230,ETANOL,03/01/2023,3.79,,R$ / litro,TAURUS,2023-11-21
CO,MS,CAMPO GRANDE,AUTO POSTO AIMORE LTDA,06.316.366/0001-50,AVENIDA GUAICURUS,8138,,VILA AIMORE II,79074-230,DIESEL S10,03/01/2023,6.29,,R$ / litro,TAURUS,2023-11-21
CO,MS,CAMPO GRANDE,AUTO POSTO AIMORE LTDA,06.316.366/0001-50,AVENIDA GUAICURUS,8138,,VILA AIMORE II,79074-230,GASOLINA,03/01/2023,4.75,,R$ / litro,TAURUS,2023-11-21
CO,MS,DOURADOS,AUTO POSTO GUAICURUS LTDA,06.278.577/0001-46,AVENIDA WEIMAR GONCALVES TORRES,490,,JARDIM TROPICAL,79820-080,ETANOL,03/01/2023,3.99,,R$ / litro,TAURUS,2023-11-21
CO,MS,DOURADOS,AUTO POSTO GUAICURUS LTDA,06.278.577/0001-46,AVENIDA WEIMAR GONCALVES TORRES,490,,JARDIM TROPICAL,79820-080,DIESEL S10,03/01/2023,6.49,,R$ / litro,TAURUS,2023-11-21
CO,MS,DOURADOS,AUTO POSTO GUAICURUS LTDA,06.278.577/0001-46,AVENIDA WEIMAR GONCALVES TORRES,490,,JARDIM TROPICAL,79820-080,GASOLINA,03/01/2023,4.95,,R$ / litro,TAURUS,2023-11-21
CO,MS,DOURADOS,AUTO POSTO ANIELLI LTDA,03.084.756/0001-54,AVENIDA MARCELINO PIRES,7250,,JARDIM MARCIA,79841-000,ETANOL,03/01/2023,3.87,,R$ / litro,TAURUS,2023-11-21
CO,MS,DOURADOS,AUTO POSTO ANIELLI LTDA,03.084.756/0001-54,AVENIDA MARCELINO PIRES,7250,,JARDIM MARCIA,79841-000,DIESEL S10,03/01/2023,6.34,,R$ / litro,TAURUS,2023-11-21
CO,MS,DOURADOS,AUTO POSTO ANIELLI LTDA,03.084.756/0001-54,AVENIDA MARCELINO PIRES,7250,,JARDIM MARCIA,79841-000,DIESEL,03/01/2023,6.25,,R$ / litro,TAURUS,2023-11-21
CO,MS,DOURADOS,AUTO POSTO ANIELLI LTDA,03.084.756/0001-54,AVENIDA MARCELINO PIRES,7250,,JARDIM MARCIA,79841-000,GASOLINA,03/01/2023,4.9,,R$ / litro,TAURUS,2023-11-21
CO,MS,DOURADOS,AUTO POSTO SAN FRANCISCO LTDA.,04.655.306/0001-37,RUA PONTA PORA,2575,,VILA PLANALTO,79825-080,ETANOL,03/01/2023,3.99,,R$ / litro,TAURUS,2023-11-21
CO,MS,DOURADOS,AUTO POSTO SAN FRANCISCO LTDA.,04.655.306/0001-37,RUA PONTA PORA,2575,,VILA PLANALTO,79825-080,DIESEL S10,03/01/2023,6.65,,R$ / litro,TAURUS,2023-11-21
CO,MS,DOURADOS,AUTO POSTO SAN FRANCISCO LTDA.,04.655.306/0001-37,RUA PONTA PORA,2575,,VILA PLANALTO,79825-080,DIESEL,03/01/2023,6.55,,R$ / litro,TAURUS,2023-11-21
CO,MS,DOURADOS,AUTO POSTO SAN FRANCISCO LTDA.,04.655.306/0001-37,RUA PONTA PORA,2575,,VILA PLANALTO,79825-080,GASOLINA,03/01/2023,4.99,,R$ / litro,TAURUS,2023-11-21
CO,MS,DOURADOS,OSHIRO & CIA LTDA.,03.622.479/0001-96,AVENIDA MARCELINO PIRES,3497,,JARDIM CARAMURU,79830-001,ETANOL,03/01/2023,3.79,,R$ / litro,TAURUS,2023-11-21
