Bandeira,Data da Coleta,Produto,Valor de Venda
TDC DISTRIBUIDORA,10/01/2023,ETANOL,3.97
TDC DISTRIBUIDORA,18/01/2023,GNV,3.99
TDC DISTRIBUIDORA,16/01/2023,ETANOL,3.99
TDC DISTRIBUIDORA,03/01/2023,GASOLINA,9.76
TDC DISTRIBUIDORA,23/01/2023,GASOLINA,4.74
TDC DISTRIBUIDORA,17/01/2023,ETANOL,3.99
TDC DISTRIBUIDORA,04/01/2023,GASOLINA,9.76
TDC DISTRIBUIDORA,23/01/2023,GASOLINA ADITIVADA,4.74
TDC DISTRIBUIDORA,10/01/2023,GASOLINA,4.87
TDC DISTRIBUIDORA,18/01/2023,GASOLINA,9.61
TDC DISTRIBUIDORA,18/01/2023,ETANOL,8.06
TDC DISTRIBUIDORA,11/01/2023,DIESEL S10,13.38
TDC DISTRIBUIDORA,16/01/2023,GASOLINA,4.79
TDC DISTRIBUIDORA,11/01/2023,GASOLINA,9.66
TDC DISTRIBUIDORA,23/01/2023,ETANOL,3.99
TDC DISTRIBUIDORA,03/01/2023,GASOLINA ADITIVADA,9.86
TDC DISTRIBUIDORA,11/01/2023,GASOLINA ADITIVADA,9.66
TDC DISTRIBUIDORA,18/01/2023,DIESEL S10,6.39
TDC DISTRIBUIDORA,16/01/2023,GASOLINA ADITIVADA,4.87
TDC DISTRIBUIDORA,17/01/2023,DIESEL S10,6.99
TDC DISTRIBUIDORA,04/01/2023,DIESEL S10,13.08
TDC DISTRIBUIDORA,17/01/2023,GASOLINA ADITIVADA,4.79
TDC DISTRIBUIDORA,04/01/2023,ETANOL,7.96
TDC DISTRIBUIDORA,18/01/2023,GASOLINA ADITIVADA,9.61
TDC DISTRIBUIDORA,10/01/2023,GASOLINA ADITIVADA,4.87
TDC DISTRIBUIDORA,16/01/2023,DIESEL S10,6.09
TDC DISTRIBUIDORA,03/01/2023,ETANOL,7.92
TDC DISTRIBUIDORA,10/01/2023,DIESEL S10,6.09
TDC DISTRIBUIDORA,23/01/2023,DIESEL S10,6.99
TDC DISTRIBUIDORA,04/01/2023,GASOLINA ADITIVADA,9.76
TDC DISTRIBUIDORA,03/01/2023,DIESEL S10,12.78
TDC DISTRIBUIDORA,11/01/2023,ETANOL,8.06
TDC DISTRIBUIDORA,17/01/2023,GASOLINA,4.79
TDC DISTRIBUIDORA,23/02/2023,GASOLINA,4.99
TDC DISTRIBUIDORA,30/01/2023,DIESEL S10,5.97
TDC DISTRIBUIDORA,22/02/2023,DIESEL S10,5.99
TDC DISTRIBUIDORA,23/02/2023,ETANOL,3.99
TDC DISTRIBUIDORA,08/02/2023,ETANOL,11.95
TDC DISTRIBUIDORA,08/02/2023,GASOLINA ADITIVADA,15.05
TDC DISTRIBUIDORA,23/02/2023,GASOLINA ADITIVADA,4.99
TDC DISTRIBUIDORA,24/01/2023,DIESEL S10,5.99
TDC DISTRIBUIDORA,13/02/2023,ETANOL,3.99
TDC DISTRIBUIDORA,08/02/2023,DIESEL S10,12.68
TDC DISTRIBUIDORA,08/02/2023,GNV,3.65
TDC DISTRIBUIDORA,30/01/2023,GASOLINA,4.97
TDC DISTRIBUIDORA,24/01/2023,GASOLINA,4.69
TDC DISTRIBUIDORA,01/02/2023,ETANOL,3.97
TDC DISTRIBUIDORA,07/02/2023,GASOLINA,4.97
TDC DISTRIBUIDORA,23/02/2023,DIESEL S10,5.99
TDC DISTRIBUIDORA,01/02/2023,DIESEL S10,6.19
TDC DISTRIBUIDORA,01/02/2023,GASOLINA ADITIVADA,5.25
TDC DISTRIBUIDORA,30/01/2023,GASOLINA ADITIVADA,4.97
TDC DISTRIBUIDORA,15/02/2023,GNV,3.65
TDC DISTRIBUIDORA,22/02/2023,GASOLINA ADITIVADA,4.87
TDC DISTRIBUIDORA,15/02/2023,DIESEL S10,5.89
TDC DISTRIBUIDORA,30/01/2023,ETANOL,3.99
TDC DISTRIBUIDORA,31/01/2023,ETANOL,3.99
TDC DISTRIBUIDORA,08/02/2023,GASOLINA,15.05
TDC DISTRIBUIDORA,15/02/2023,GASOLINA,9.98
TDC DISTRIBUIDORA,31/01/2023,DIESEL S10,6.39
TDC DISTRIBUIDORA,07/02/2023,DIESEL S10,5.97
TDC DISTRIBUIDORA,13/02/2023,DIESEL S10,5.97
TDC DISTRIBUIDORA,31/01/2023,GASOLINA,5.09
TDC DISTRIBUIDORA,13/02/2023,GASOLINA ADITIVADA,4.89
