Bandeira,Data da Coleta,Produto,Valor de Venda
TEMAPE,17/01/2023,GASOLINA,5.01
TEMAPE,25/01/2023,GASOLINA,5.01
TEMAPE,09/02/2023,ETANOL,4.19
TEMAPE,22/02/2023,DIESEL S10,6.34
TEMAPE,14/02/2023,GASOLINA,9.72
TEMAPE,22/02/2023,GASOLINA,4.87
TEMAPE,14/02/2023,DIESEL S10,6.34
TEMAPE,22/02/2023,ETANOL,4.19
TEMAPE,09/02/2023,DIESEL S10,6.54
TEMAPE,09/02/2023,GASOLINA,9.81
TEMAPE,14/02/2023,ETANOL,4.19
TEMAPE,02/02/2023,GASOLINA,4.85
TEMAPE,27/02/2023,GASOLINA,5.19
TEMAPE,16/03/2023,GASOLINA,5.58
TEMAPE,15/03/2023,GASOLINA,5.31
TEMAPE,07/03/2023,GASOLINA,5.55
TEMAPE,27/02/2023,ETANOL,4.19
TEMAPE,02/03/2023,GASOLINA,5.58
TEMAPE,07/03/2023,DIESEL S10,6.34
TEMAPE,27/02/2023,DIESEL S10,6.34
TEMAPE,12/04/2023,GASOLINA,5.3
TEMAPE,12/04/2023,DIESEL,5.79
TEMAPE,29/03/2023,DIESEL S10,5.79
TEMAPE,06/04/2023,GASOLINA,5.19
TEMAPE,04/04/2023,GASOLINA,5.18
TEMAPE,13/04/2023,GASOLINA,5.49
TEMAPE,29/03/2023,GASOLINA,5.17
TEMAPE,30/03/2023,GASOLINA,5.19
TEMAPE,21/03/2023,GASOLINA,5.19
TEMAPE,26/04/2023,GASOLINA,5.35
TEMAPE,27/04/2023,GASOLINA,5.49
TEMAPE,03/05/2023,GASOLINA,5.35
TEMAPE,19/04/2023,GASOLINA,5.3
TEMAPE,20/04/2023,GASOLINA,5.49
TEMAPE,19/04/2023,DIESEL S10,5.79
TEMAPE,04/05/2023,GASOLINA,5.49
TEMAPE,03/05/2023,DIESEL S10,5.79
TEMAPE,25/05/2023,GASOLINA,5.29
TEMAPE,18/05/2023,GASOLINA,5.49
TEMAPE,15/05/2023,GASOLINA,5.35
TEMAPE,09/05/2023,GASOLINA,5.35
TEMAPE,11/05/2023,GASOLINA,5.49
TEMAPE,15/05/2023,DIESEL S10,5.35
TEMAPE,09/05/2023,DIESEL,5.79
TEMAPE,31/05/2023,GASOLINA,5.29
TEMAPE,15/06/2023,GASOLINA,5.29
TEMAPE,08/06/2023,GASOLINA,5.29
TEMAPE,29/06/2023,GASOLINA,5.29
TEMAPE,22/06/2023,GASOLINA,5.29
