Bandeira,Data da Coleta,Produto,Valor de Venda
TOTALENERGIES,25/01/2023,GASOLINA,19.84
TOTALENERGIES,12/01/2023,DIESEL S10,12.64
TOTALENERGIES,04/01/2023,ETANOL,4.69
TOTALENERGIES,18/01/2023,GASOLINA ADITIVADA,4.89
TOTALENERGIES,24/01/2023,GASOLINA ADITIVADA,5.07
TOTALENERGIES,16/01/2023,DIESEL,6.25
TOTALENERGIES,10/01/2023,GASOLINA,15.4
TOTALENERGIES,12/01/2023,GASOLINA ADITIVADA,10.2
TOTALENERGIES,10/01/2023,DIESEL S10,12.49
TOTALENERGIES,09/01/2023,GASOLINA,10.06
TOTALENERGIES,04/01/2023,GNV,4.48
TOTALENERGIES,03/01/2023,GASOLINA ADITIVADA,10.36
TOTALENERGIES,03/01/2023,GASOLINA,15.01
TOTALENERGIES,16/01/2023,GASOLINA ADITIVADA,4.89
TOTALENERGIES,19/01/2023,ETANOL,4.53
TOTALENERGIES,02/01/2023,ETANOL,3.89
TOTALENERGIES,19/01/2023,GNV,4.48
TOTALENERGIES,17/01/2023,DIESEL S10,12.64
TOTALENERGIES,24/01/2023,ETANOL,7.48
TOTALENERGIES,18/01/2023,ETANOL,3.49
TOTALENERGIES,09/01/2023,GASOLINA ADITIVADA,4.99
TOTALENERGIES,09/01/2023,ETANOL,8.06
TOTALENERGIES,19/01/2023,DIESEL S10,6.09
TOTALENERGIES,23/01/2023,DIESEL S10,6.39
TOTALENERGIES,04/01/2023,GASOLINA ADITIVADA,5.05
TOTALENERGIES,05/01/2023,DIESEL S10,12.87
TOTALENERGIES,24/01/2023,DIESEL S10,12.28
TOTALENERGIES,10/01/2023,ETANOL,11.92
TOTALENERGIES,23/01/2023,ETANOL,6.58
TOTALENERGIES,25/01/2023,DIESEL,12.04
TOTALENERGIES,25/01/2023,GNV,4.48
TOTALENERGIES,18/01/2023,DIESEL S10,6.39
TOTALENERGIES,16/01/2023,ETANOL,11.62
TOTALENERGIES,17/01/2023,GASOLINA,9.96
TOTALENERGIES,18/01/2023,GASOLINA,4.79
TOTALENERGIES,12/01/2023,GNV,4.48
TOTALENERGIES,17/01/2023,ETANOL,7.48
TOTALENERGIES,12/01/2023,GASOLINA,9.94
TOTALENERGIES,03/01/2023,ETANOL,11.67
TOTALENERGIES,23/01/2023,GASOLINA,9.58
TOTALENERGIES,09/01/2023,DIESEL S10,6.57
TOTALENERGIES,25/01/2023,ETANOL,15.56
TOTALENERGIES,23/01/2023,GASOLINA ADITIVADA,9.78
TOTALENERGIES,04/01/2023,GASOLINA,4.99
TOTALENERGIES,19/01/2023,GASOLINA,4.99
TOTALENERGIES,25/01/2023,GASOLINA ADITIVADA,10.54
TOTALENERGIES,02/01/2023,GASOLINA ADITIVADA,5.09
TOTALENERGIES,17/01/2023,GASOLINA ADITIVADA,10.22
TOTALENERGIES,25/01/2023,DIESEL S10,18.28
TOTALENERGIES,19/01/2023,GASOLINA ADITIVADA,5.05
TOTALENERGIES,05/01/2023,GASOLINA,15.5
TOTALENERGIES,03/01/2023,DIESEL S10,18.72
TOTALENERGIES,12/01/2023,ETANOL,8.48
TOTALENERGIES,24/01/2023,GASOLINA,9.96
TOTALENERGIES,02/01/2023,GASOLINA,4.99
TOTALENERGIES,05/01/2023,ETANOL,12.52
