Bandeira,Data da Coleta,Produto,Valor de Venda
UNI,12/01/2023,ETANOL,4.35
UNI,16/01/2023,GASOLINA,4.89
UNI,23/01/2023,GASOLINA,4.89
UNI,23/01/2023,ETANOL,4.07
UNI,16/01/2023,ETANOL,4.18
UNI,16/01/2023,GASOLINA ADITIVADA,4.97
UNI,12/01/2023,GASOLINA ADITIVADA,5.24
UNI,23/01/2023,GASOLINA ADITIVADA,4.97
UNI,12/01/2023,GASOLINA,5.14
UNI,31/01/2023,ETANOL,4.07
UNI,14/02/2023,GASOLINA ADITIVADA,5.29
UNI,23/02/2023,GASOLINA ADITIVADA,5.38
UNI,07/02/2023,GASOLINA,5.24
UNI,23/02/2023,GASOLINA,5.28
UNI,07/02/2023,ETANOL,4.07
UNI,23/02/2023,ETANOL,4.08
UNI,07/02/2023,GASOLINA ADITIVADA,5.34
UNI,31/01/2023,GASOLINA,5.18
UNI,14/02/2023,GASOLINA,5.17
UNI,31/01/2023,GASOLINA ADITIVADA,5.32
UNI,14/02/2023,ETANOL,4.07
UNI,08/03/2023,ETANOL,4.08
UNI,14/03/2023,ETANOL,4.18
UNI,08/03/2023,GASOLINA ADITIVADA,5.69
UNI,14/03/2023,GASOLINA,5.68
UNI,14/03/2023,GASOLINA ADITIVADA,5.78
UNI,28/02/2023,GASOLINA ADITIVADA,5.32
UNI,08/03/2023,GASOLINA,5.58
UNI,20/03/2023,GASOLINA,5.72
UNI,29/03/2023,GASOLINA ADITIVADA,5.72
UNI,06/04/2023,GASOLINA ADITIVADA,5.74
UNI,10/04/2023,ETANOL,4.24
UNI,29/03/2023,ETANOL,4.19
UNI,20/03/2023,GASOLINA ADITIVADA,5.82
UNI,10/04/2023,GASOLINA ADITIVADA,5.74
UNI,06/04/2023,ETANOL,5.24
UNI,29/03/2023,GASOLINA,5.59
UNI,20/03/2023,ETANOL,4.15
UNI,10/04/2023,GASOLINA,5.64
UNI,06/04/2023,GASOLINA,5.67
UNI,17/04/2023,GASOLINA ADITIVADA,5.78
UNI,03/05/2023,ETANOL,4.68
UNI,03/05/2023,GASOLINA ADITIVADA,5.75
UNI,24/04/2023,ETANOL,4.24
UNI,17/04/2023,GASOLINA,5.64
UNI,03/05/2023,GASOLINA,5.65
UNI,17/04/2023,ETANOL,4.24
UNI,24/04/2023,GASOLINA,5.59
UNI,24/04/2023,GASOLINA ADITIVADA,5.69
UNI,22/05/2023,ETANOL,4.29
UNI,22/05/2023,GASOLINA,5.35
UNI,11/05/2023,GASOLINA,5.64
UNI,15/05/2023,GASOLINA,5.64
UNI,15/05/2023,GASOLINA ADITIVADA,5.74
UNI,15/05/2023,ETANOL,4.49
UNI,11/05/2023,ETANOL,4.49
UNI,11/05/2023,GASOLINA ADITIVADA,5.74
UNI,22/05/2023,GASOLINA ADITIVADA,5.49
UNI,15/06/2023,GASOLINA ADITIVADA,5.49
UNI,06/06/2023,GASOLINA ADITIVADA,5.74
UNI,19/06/2023,GASOLINA ADITIVADA,5.44
UNI,31/05/2023,GASOLINA,5.36
UNI,31/05/2023,GASOLINA ADITIVADA,5.58
UNI,15/06/2023,GASOLINA,5.39
UNI,06/06/2023,GASOLINA,5.64
UNI,19/06/2023,ETANOL,4.24
UNI,31/05/2023,ETANOL,4.36
UNI,15/06/2023,ETANOL,4.19
UNI,19/06/2023,GASOLINA,5.36
UNI,06/06/2023,ETANOL,4.24
UNI,26/06/2023,ETANOL,4.34
UNI,26/06/2023,GASOLINA ADITIVADA,5.56
UNI,26/06/2023,GASOLINA,5.46
