Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
S,PR,PINHAIS,AUTO POSTO UNICO LTDA,02.210.200/0001-02,ESTRADA DA GRACIOSA,1062,C,VL CAROLINA,83326-670,ETANOL,20/03/2023,4.15,,R$ / litro,UNI,2023-11-21
S,PR,PINHAIS,AUTO POSTO UNICO LTDA,02.210.200/0001-02,ESTRADA DA GRACIOSA,1062,C,VL CAROLINA,83326-670,GASOLINA ADITIVADA,20/03/2023,5.82,,R$ / litro,UNI,2023-11-21
S,PR,PINHAIS,AUTO POSTO UNICO LTDA,02.210.200/0001-02,ESTRADA DA GRACIOSA,1062,C,VL CAROLINA,83326-670,GASOLINA,20/03/2023,5.72,,R$ / litro,UNI,2023-11-21
S,PR,PINHAIS,AUTO POSTO UNICO LTDA,02.210.200/0001-02,ESTRADA DA GRACIOSA,1062,C,VL CAROLINA,83326-670,ETANOL,29/03/2023,4.19,,R$ / litro,UNI,2023-11-21
S,PR,PINHAIS,AUTO POSTO UNICO LTDA,02.210.200/0001-02,ESTRADA DA GRACIOSA,1062,C,VL CAROLINA,83326-670,GASOLINA ADITIVADA,29/03/2023,5.72,,R$ / litro,UNI,2023-11-21
S,PR,PINHAIS,AUTO POSTO UNICO LTDA,02.210.200/0001-02,ESTRADA DA GRACIOSA,1062,C,VL CAROLINA,83326-670,GASOLINA,29/03/2023,5.59,,R$ / litro,UNI,2023-11-21
S,PR,PINHAIS,AUTO POSTO UNICO LTDA,02.210.200/0001-02,ESTRADA DA GRACIOSA,1062,C,VL CAROLINA,83326-670,ETANOL,06/04/2023,5.24,,R$ / litro,UNI,2023-11-21
S,PR,PINHAIS,AUTO POSTO UNICO LTDA,02.210.200/0001-02,ESTRADA DA GRACIOSA,1062,C,VL CAROLINA,83326-670,GASOLINA ADITIVADA,06/04/2023,5.74,,R$ / litro,UNI,2023-11-21
S,PR,PINHAIS,AUTO POSTO UNICO LTDA,02.210.200/0001-02,ESTRADA DA GRACIOSA,1062,C,VL CAROLINA,83326-670,GASOLINA,06/04/2023,5.67,,R$ / litro,UNI,2023-11-21
S,PR,PINHAIS,AUTO POSTO UNICO LTDA,02.210.200/0001-02,ESTRADA DA GRACIOSA,1062,C,VL CAROLINA,83326-670,ETANOL,10/04/2023,4.24,,R$ / litro,UNI,2023-11-21
S,PR,PINHAIS,AUTO POSTO UNICO LTDA,02.210.200/0001-02,ESTRADA DA GRACIOSA,1062,C,VL CAROLINA,83326-670,GASOLINA ADITIVADA,10/04/2023,5.74,,R$ / litro,UNI,2023-11-21
S,PR,PINHAIS,AUTO POSTO UNICO LTDA,02.210.200/0001-02,ESTRADA DA GRACIOSA,1062,C,VL CAROLINA,83326-670,GASOLINA,10/04/2023,5.64,,R$ / litro,UNI,2023-11-21
