Bandeira,Data da Coleta,Produto,Valor de Venda
VIBRA ENERGIA,09/01/2023,GASOLINA,1379.99
VIBRA ENERGIA,16/01/2023,ETANOL,1110.72
VIBRA ENERGIA,10/01/2023,DIESEL,604.94
VIBRA ENERGIA,11/01/2023,DIESEL S10,798.15
VIBRA ENERGIA,09/01/2023,ETANOL,987.54
VIBRA ENERGIA,04/01/2023,DIESEL S10,662.82
VIBRA ENERGIA,17/01/2023,DIESEL,594.69
VIBRA ENERGIA,25/01/2023,DIESEL S10,866.49
VIBRA ENERGIA,06/01/2023,GASOLINA,21.54
VIBRA ENERGIA,25/01/2023,GASOLINA,1030.72
VIBRA ENERGIA,20/01/2023,GASOLINA,71.22
VIBRA ENERGIA,16/01/2023,GNV,219.93
VIBRA ENERGIA,12/01/2023,GNV,36.98
VIBRA ENERGIA,17/01/2023,GASOLINA,1214.83
VIBRA ENERGIA,24/01/2023,DIESEL S10,1247.24
VIBRA ENERGIA,26/01/2023,GASOLINA ADITIVADA,434.14
VIBRA ENERGIA,10/01/2023,ETANOL,861.0
VIBRA ENERGIA,02/01/2023,DIESEL,535.15
VIBRA ENERGIA,09/01/2023,DIESEL S10,1098.8
VIBRA ENERGIA,19/01/2023,GASOLINA,391.59
VIBRA ENERGIA,18/01/2023,ETANOL,646.37
VIBRA ENERGIA,23/01/2023,GASOLINA,1434.07
VIBRA ENERGIA,05/01/2023,GASOLINA,603.08
VIBRA ENERGIA,05/01/2023,ETANOL,407.52
VIBRA ENERGIA,05/01/2023,DIESEL S10,455.81
VIBRA ENERGIA,13/01/2023,DIESEL S10,12.68
VIBRA ENERGIA,23/01/2023,GASOLINA ADITIVADA,1264.07
VIBRA ENERGIA,12/01/2023,DIESEL,304.89
VIBRA ENERGIA,12/01/2023,ETANOL,292.9
VIBRA ENERGIA,12/01/2023,GASOLINA,464.63
VIBRA ENERGIA,18/01/2023,DIESEL,417.28
VIBRA ENERGIA,25/01/2023,DIESEL,519.53
VIBRA ENERGIA,24/01/2023,GASOLINA,1408.56
VIBRA ENERGIA,04/01/2023,ETANOL,506.25
VIBRA ENERGIA,17/01/2023,ETANOL,845.54
VIBRA ENERGIA,16/01/2023,GASOLINA,1585.3
VIBRA ENERGIA,20/01/2023,DIESEL S10,64.45
VIBRA ENERGIA,05/01/2023,DIESEL,260.89
VIBRA ENERGIA,18/01/2023,GNV,153.02
VIBRA ENERGIA,02/01/2023,ETANOL,922.33
VIBRA ENERGIA,16/01/2023,GASOLINA ADITIVADA,1382.76
VIBRA ENERGIA,17/01/2023,GASOLINA ADITIVADA,1061.86
VIBRA ENERGIA,24/01/2023,ETANOL,960.19
VIBRA ENERGIA,06/01/2023,GASOLINA ADITIVADA,22.0
VIBRA ENERGIA,18/01/2023,GASOLINA ADITIVADA,868.78
VIBRA ENERGIA,16/01/2023,DIESEL,814.84
VIBRA ENERGIA,03/01/2023,DIESEL S10,1049.67
VIBRA ENERGIA,11/01/2023,DIESEL,427.22
VIBRA ENERGIA,04/01/2023,GASOLINA,758.09
VIBRA ENERGIA,18/01/2023,GASOLINA,972.81
VIBRA ENERGIA,20/01/2023,ETANOL,46.61
VIBRA ENERGIA,13/01/2023,GASOLINA,29.84
VIBRA ENERGIA,19/01/2023,GNV,18.95
VIBRA ENERGIA,04/01/2023,GASOLINA ADITIVADA,695.28
VIBRA ENERGIA,10/01/2023,GASOLINA,1276.5
VIBRA ENERGIA,11/01/2023,GASOLINA ADITIVADA,887.88
VIBRA ENERGIA,09/01/2023,DIESEL,607.76
VIBRA ENERGIA,17/01/2023,GNV,148.25
VIBRA ENERGIA,24/01/2023,GNV,165.07
VIBRA ENERGIA,03/01/2023,DIESEL,649.53
VIBRA ENERGIA,19/01/2023,GASOLINA ADITIVADA,328.84
VIBRA ENERGIA,20/01/2023,GASOLINA ADITIVADA,68.73
VIBRA ENERGIA,26/01/2023,DIESEL S10,424.35
VIBRA ENERGIA,18/01/2023,DIESEL S10,828.13
VIBRA ENERGIA,12/01/2023,DIESEL S10,450.48
VIBRA ENERGIA,09/01/2023,GASOLINA ADITIVADA,1218.92
VIBRA ENERGIA,25/01/2023,GNV,144.93
VIBRA ENERGIA,26/01/2023,DIESEL,288.84
VIBRA ENERGIA,26/01/2023,GNV,26.41
VIBRA ENERGIA,11/01/2023,GNV,152.93
VIBRA ENERGIA,13/01/2023,GASOLINA ADITIVADA,15.79
VIBRA ENERGIA,26/01/2023,GASOLINA,489.21
VIBRA ENERGIA,03/01/2023,GASOLINA ADITIVADA,1006.87
VIBRA ENERGIA,11/01/2023,GASOLINA,1002.19
VIBRA ENERGIA,23/01/2023,DIESEL,658.91
VIBRA ENERGIA,04/01/2023,GNV,102.02
VIBRA ENERGIA,05/01/2023,GNV,39.59
VIBRA ENERGIA,06/01/2023,DIESEL S10,6.36
VIBRA ENERGIA,24/01/2023,GASOLINA ADITIVADA,1188.17
VIBRA ENERGIA,05/01/2023,GASOLINA ADITIVADA,508.12
VIBRA ENERGIA,10/01/2023,DIESEL S10,1120.0
VIBRA ENERGIA,17/01/2023,DIESEL S10,1079.46
VIBRA ENERGIA,02/01/2023,GASOLINA,1253.72
VIBRA ENERGIA,20/01/2023,GNV,5.27
VIBRA ENERGIA,24/01/2023,DIESEL,722.53
VIBRA ENERGIA,03/01/2023,GNV,146.38
VIBRA ENERGIA,04/01/2023,DIESEL,363.44
VIBRA ENERGIA,26/01/2023,ETANOL,337.7
VIBRA ENERGIA,16/01/2023,DIESEL S10,1338.12
VIBRA ENERGIA,09/01/2023,GNV,159.86
VIBRA ENERGIA,10/01/2023,GNV,163.72
VIBRA ENERGIA,19/01/2023,DIESEL S10,331.46
VIBRA ENERGIA,19/01/2023,DIESEL,242.99
VIBRA ENERGIA,11/01/2023,ETANOL,685.75
VIBRA ENERGIA,19/01/2023,ETANOL,287.87
VIBRA ENERGIA,10/01/2023,GASOLINA ADITIVADA,1106.15
VIBRA ENERGIA,25/01/2023,GASOLINA ADITIVADA,926.89
VIBRA ENERGIA,02/01/2023,DIESEL S10,932.73
VIBRA ENERGIA,12/01/2023,GASOLINA ADITIVADA,372.47
VIBRA ENERGIA,13/01/2023,DIESEL,6.36
VIBRA ENERGIA,03/01/2023,ETANOL,746.75
VIBRA ENERGIA,20/01/2023,DIESEL,37.52
VIBRA ENERGIA,23/01/2023,ETANOL,941.02
VIBRA ENERGIA,23/01/2023,DIESEL S10,1160.72
VIBRA ENERGIA,25/01/2023,ETANOL,699.58
VIBRA ENERGIA,02/01/2023,GASOLINA ADITIVADA,1164.81
VIBRA ENERGIA,13/01/2023,ETANOL,16.46
VIBRA ENERGIA,06/01/2023,ETANOL,17.22
VIBRA ENERGIA,03/01/2023,GASOLINA,1170.06
VIBRA ENERGIA,23/01/2023,GNV,165.67
VIBRA ENERGIA,02/01/2023,GNV,177.37
VIBRA ENERGIA,24/02/2023,GNV,4.14
VIBRA ENERGIA,31/01/2023,GASOLINA,1471.14
VIBRA ENERGIA,17/02/2023,GASOLINA,21.54
VIBRA ENERGIA,15/02/2023,DIESEL,509.05
VIBRA ENERGIA,15/02/2023,GASOLINA,1082.91
VIBRA ENERGIA,02/02/2023,DIESEL S10,354.28
VIBRA ENERGIA,22/02/2023,ETANOL,825.29
VIBRA ENERGIA,13/02/2023,DIESEL S10,1316.46
VIBRA ENERGIA,10/02/2023,DIESEL S10,12.59
VIBRA ENERGIA,08/02/2023,GNV,123.51
VIBRA ENERGIA,09/02/2023,GASOLINA,370.52
VIBRA ENERGIA,21/02/2023,GNV,162.59
VIBRA ENERGIA,09/02/2023,DIESEL,205.2
VIBRA ENERGIA,22/02/2023,DIESEL S10,1073.11
VIBRA ENERGIA,08/02/2023,DIESEL,691.53
VIBRA ENERGIA,14/02/2023,DIESEL,792.65
VIBRA ENERGIA,17/02/2023,ETANOL,17.54
VIBRA ENERGIA,08/02/2023,ETANOL,850.56
VIBRA ENERGIA,06/02/2023,GASOLINA,1472.75
VIBRA ENERGIA,30/01/2023,GNV,218.52
VIBRA ENERGIA,15/02/2023,ETANOL,739.11
VIBRA ENERGIA,13/02/2023,GNV,171.27
VIBRA ENERGIA,15/02/2023,GNV,182.66
VIBRA ENERGIA,09/02/2023,GNV,13.54
VIBRA ENERGIA,23/02/2023,GASOLINA ADITIVADA,713.97
VIBRA ENERGIA,07/02/2023,ETANOL,839.74
VIBRA ENERGIA,03/02/2023,DIESEL S10,5.99
VIBRA ENERGIA,01/02/2023,GASOLINA,779.4
VIBRA ENERGIA,21/02/2023,ETANOL,719.66
VIBRA ENERGIA,17/02/2023,GNV,10.91
VIBRA ENERGIA,17/02/2023,GASOLINA ADITIVADA,22.09
VIBRA ENERGIA,22/02/2023,DIESEL,678.02
VIBRA ENERGIA,22/02/2023,GNV,122.55
VIBRA ENERGIA,15/02/2023,GASOLINA ADITIVADA,940.29
VIBRA ENERGIA,08/02/2023,DIESEL S10,1072.03
VIBRA ENERGIA,14/02/2023,GNV,141.22
VIBRA ENERGIA,13/02/2023,ETANOL,1157.89
VIBRA ENERGIA,23/02/2023,GASOLINA,878.11
VIBRA ENERGIA,30/01/2023,DIESEL,784.28
VIBRA ENERGIA,31/01/2023,GNV,147.36
VIBRA ENERGIA,09/02/2023,DIESEL S10,376.84
VIBRA ENERGIA,31/01/2023,GASOLINA ADITIVADA,1195.21
VIBRA ENERGIA,10/02/2023,GASOLINA,15.38
VIBRA ENERGIA,20/02/2023,GASOLINA ADITIVADA,1029.24
VIBRA ENERGIA,06/02/2023,ETANOL,990.76
VIBRA ENERGIA,01/02/2023,DIESEL S10,651.82
VIBRA ENERGIA,14/02/2023,DIESEL S10,1271.58
VIBRA ENERGIA,13/02/2023,GASOLINA ADITIVADA,1465.64
VIBRA ENERGIA,31/01/2023,DIESEL S10,1252.81
VIBRA ENERGIA,02/02/2023,GASOLINA,410.48
