Bandeira,Data da Coleta,Produto,Valor de Venda
WALENDOWSKY,26/01/2023,GASOLINA,5.49
WALENDOWSKY,26/01/2023,DIESEL,6.52
WALENDOWSKY,26/01/2023,GASOLINA ADITIVADA,5.5
WALENDOWSKY,26/01/2023,ETANOL,4.29
WALENDOWSKY,13/02/2023,ETANOL,4.29
WALENDOWSKY,13/02/2023,DIESEL,6.32
WALENDOWSKY,13/02/2023,DIESEL S10,6.41
WALENDOWSKY,13/02/2023,GASOLINA,5.49
WALENDOWSKY,13/02/2023,GASOLINA ADITIVADA,5.5
WALENDOWSKY,28/02/2023,ETANOL,4.29
WALENDOWSKY,28/02/2023,DIESEL,6.04
WALENDOWSKY,28/02/2023,GASOLINA ADITIVADA,5.5
WALENDOWSKY,28/02/2023,GASOLINA,5.49
WALENDOWSKY,28/02/2023,DIESEL S10,6.09
WALENDOWSKY,06/04/2023,DIESEL,5.84
WALENDOWSKY,06/04/2023,GASOLINA ADITIVADA,5.76
WALENDOWSKY,06/04/2023,ETANOL,4.69
WALENDOWSKY,06/04/2023,GASOLINA,5.75
WALENDOWSKY,06/04/2023,DIESEL S10,5.89
WALENDOWSKY,13/04/2023,GASOLINA,5.75
WALENDOWSKY,13/04/2023,DIESEL,5.84
WALENDOWSKY,13/04/2023,GASOLINA ADITIVADA,5.76
WALENDOWSKY,13/04/2023,DIESEL S10,5.89
WALENDOWSKY,11/05/2023,ETANOL,4.69
WALENDOWSKY,19/05/2023,ETANOL,4.49
WALENDOWSKY,11/05/2023,DIESEL S10,5.84
WALENDOWSKY,04/05/2023,GASOLINA ADITIVADA,5.76
WALENDOWSKY,04/05/2023,ETANOL,4.69
WALENDOWSKY,04/05/2023,DIESEL,5.79
WALENDOWSKY,04/05/2023,DIESEL S10,5.84
WALENDOWSKY,19/05/2023,GASOLINA,5.55
WALENDOWSKY,04/05/2023,GASOLINA,5.75
WALENDOWSKY,11/05/2023,DIESEL,5.79
WALENDOWSKY,19/05/2023,DIESEL S10,5.64
WALENDOWSKY,11/05/2023,GASOLINA,5.75
WALENDOWSKY,19/05/2023,GASOLINA ADITIVADA,5.56
WALENDOWSKY,11/05/2023,GASOLINA ADITIVADA,5.76
WALENDOWSKY,19/05/2023,DIESEL,5.59
WALENDOWSKY,14/06/2023,GASOLINA,5.79
WALENDOWSKY,07/06/2023,ETANOL,4.49
WALENDOWSKY,14/06/2023,GASOLINA ADITIVADA,5.8
WALENDOWSKY,07/06/2023,DIESEL S10,5.54
WALENDOWSKY,07/06/2023,GASOLINA ADITIVADA,5.8
WALENDOWSKY,14/06/2023,ETANOL,4.49
WALENDOWSKY,14/06/2023,DIESEL S10,5.54
WALENDOWSKY,14/06/2023,DIESEL,5.44
WALENDOWSKY,07/06/2023,GASOLINA,5.79
WALENDOWSKY,07/06/2023,DIESEL,5.44
WALENDOWSKY,20/06/2023,DIESEL,5.39
WALENDOWSKY,20/06/2023,GASOLINA ADITIVADA,5.8
WALENDOWSKY,20/06/2023,ETANOL,4.49
WALENDOWSKY,20/06/2023,DIESEL S10,5.49
WALENDOWSKY,20/06/2023,GASOLINA,5.79
