Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
S,SC,BRUSQUE,AUTO POSTO DANIELA LTDA,24.541.540/0001-40,RUA BLUMENAU,240,,STEFFEN,88350-000,GASOLINA,04/05/2023,5.75,,R$ / litro,WALENDOWSKY,2023-11-21
S,SC,BRUSQUE,AUTO POSTO DANIELA LTDA,24.541.540/0001-40,RUA BLUMENAU,240,,STEFFEN,88350-000,ETANOL,04/05/2023,4.69,,R$ / litro,WALENDOWSKY,2023-11-21
S,SC,BRUSQUE,AUTO POSTO DANIELA LTDA,24.541.540/0001-40,RUA BLUMENAU,240,,STEFFEN,88350-000,DIESEL S10,04/05/2023,5.84,,R$ / litro,WALENDOWSKY,2023-11-21
S,SC,BRUSQUE,AUTO POSTO DANIELA LTDA,24.541.540/0001-40,RUA BLUMENAU,240,,STEFFEN,88350-000,DIESEL,04/05/2023,5.79,,R$ / litro,WALENDOWSKY,2023-11-21
S,SC,BRUSQUE,AUTO POSTO DANIELA LTDA,24.541.540/0001-40,RUA BLUMENAU,240,,STEFFEN,88350-000,GASOLINA ADITIVADA,04/05/2023,5.76,,R$ / litro,WALENDOWSKY,2023-11-21
S,SC,BRUSQUE,AUTO POSTO DANIELA LTDA,24.541.540/0001-40,RUA BLUMENAU,240,,STEFFEN,88350-000,ETANOL,11/05/2023,4.69,,R$ / litro,WALENDOWSKY,2023-11-21
S,SC,BRUSQUE,AUTO POSTO DANIELA LTDA,24.541.540/0001-40,RUA BLUMENAU,240,,STEFFEN,88350-000,DIESEL S10,11/05/2023,5.84,,R$ / litro,WALENDOWSKY,2023-11-21
S,SC,BRUSQUE,AUTO POSTO DANIELA LTDA,24.541.540/0001-40,RUA BLUMENAU,240,,STEFFEN,88350-000,DIESEL,11/05/2023,5.79,,R$ / litro,WALENDOWSKY,2023-11-21
S,SC,BRUSQUE,AUTO POSTO DANIELA LTDA,24.541.540/0001-40,RUA BLUMENAU,240,,STEFFEN,88350-000,GASOLINA ADITIVADA,11/05/2023,5.76,,R$ / litro,WALENDOWSKY,2023-11-21
S,SC,BRUSQUE,AUTO POSTO DANIELA LTDA,24.541.540/0001-40,RUA BLUMENAU,240,,STEFFEN,88350-000,GASOLINA,11/05/2023,5.75,,R$ / litro,WALENDOWSKY,2023-11-21
S,SC,BRUSQUE,AUTO POSTO DANIELA LTDA,24.541.540/0001-40,RUA BLUMENAU,240,,STEFFEN,88350-000,ETANOL,19/05/2023,4.49,,R$ / litro,WALENDOWSKY,2023-11-21
S,SC,BRUSQUE,AUTO POSTO DANIELA LTDA,24.541.540/0001-40,RUA BLUMENAU,240,,STEFFEN,88350-000,DIESEL S10,19/05/2023,5.64,,R$ / litro,WALENDOWSKY,2023-11-21
S,SC,BRUSQUE,AUTO POSTO DANIELA LTDA,24.541.540/0001-40,RUA BLUMENAU,240,,STEFFEN,88350-000,DIESEL,19/05/2023,5.59,,R$ / litro,WALENDOWSKY,2023-11-21
S,SC,BRUSQUE,AUTO POSTO DANIELA LTDA,24.541.540/0001-40,RUA BLUMENAU,240,,STEFFEN,88350-000,GASOLINA ADITIVADA,19/05/2023,5.56,,R$ / litro,WALENDOWSKY,2023-11-21
S,SC,BRUSQUE,AUTO POSTO DANIELA LTDA,24.541.540/0001-40,RUA BLUMENAU,240,,STEFFEN,88350-000,GASOLINA,19/05/2023,5.55,,R$ / litro,WALENDOWSKY,2023-11-21
